actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-27T01:40:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T01:40:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-27T01:40:26.2Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-01-27T01:40:26Z,40000,,,0,,Jump Ball J. Poeltl vs. S. Adams: Tip to D. Murray,"[1627749, 1627751, 203500]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-27T01:40:41.6Z,1,REGULAR,2pt,Jump Shot,[],203926,25.04927726675427,30.392156862745097,1610612759,2,0,2022-01-27T01:40:46Z,70000,98.0,183.0,1,left,D. McDermott 20' pullup Jump Shot (2 PTS) (J. Poeltl 1 AST),"[203926, 1627751]",1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,20.76,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-01-27T01:41:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,70.90998685939553,78.92156862745098,1610612763,2,0,2022-01-27T01:48:39Z,90000,145.0,221.0,1,right,MISS D. Bane 26' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-27T01:41:07.3Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,2,0,2022-01-27T01:48:39Z,100000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M12.00S,2022-01-27T01:41:11.4Z,1,REGULAR,2pt,Hook,['2ndchance'],203500,95.48291721419186,31.862745098039213,1610612763,2,2,2022-01-27T01:43:37Z,110000,-91.0,-10.0,1,right,S. Adams 9' turnaround Hook (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,9.12,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-01-27T01:41:28.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,19.136005256241788,93.13725490196079,1610612759,2,2,2022-01-27T01:41:32Z,130000,-216.0,127.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-01-27T01:41:30.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,2,2022-01-27T01:41:30Z,140000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M43.00S,2022-01-27T01:41:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,91.67214191852825,47.549019607843135,1610612763,2,2,2022-01-27T01:41:49Z,150000,-12.0,26.0,1,right,MISS J. Morant driving Layup,[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,2.86,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-01-27T01:41:42.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,2,2022-01-27T01:41:42Z,160000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,
