actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-13T01:40:11.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T01:40:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-13T01:40:13.7Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-11-13T01:40:13Z,40000,,,0,,Jump Ball K. Porzingis vs. D. Eubanks: Tip to D. Powell,"[203939, 204001, 1629234]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-13T01:40:25.8Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612742,0,0,2021-11-13T01:40:42Z,70000,,,0,,D. White shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628401, 1629029]",1610612759.0,SAS,shooting,,,White,D. White,,,,,1628172.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2021-11-13T01:40:53.1Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,0,1,2021-11-13T01:40:53Z,90000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2021-11-13T01:41:08.5Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,0,2,2021-11-13T01:41:08Z,100000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M36.00S,2021-11-13T01:41:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,93.11760840998686,51.225490196078425,1610612759,0,2,2021-11-13T01:41:26Z,110000,6.0,12.0,1,right,MISS D. Murray cutting Layup,[1627749],1610612759.0,SAS,cutting,,,Murray,D. Murray,,,,,,,,,,Missed,,1.36,,,,,,,,,,,,
12,PT11M34.00S,2021-11-13T01:41:22.1Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,2,2021-11-13T01:41:26Z,120000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M30.00S,2021-11-13T01:41:26.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629029,12.565703022339028,68.38235294117648,1610612742,0,2,2021-11-13T01:41:37Z,130000,-92.0,66.0,1,left,MISS L. Doncic 11' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,,,,,,Missed,,11.29,,,,,,,,,,,,
14,PT11M25.00S,2021-11-13T01:41:31.2Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,2,2021-11-13T01:41:37Z,140000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M20.00S,2021-11-13T01:41:35.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,90.88370565045992,96.07843137254902,1610612759,0,2,2021-11-13T01:41:45Z,150000,230.0,33.0,1,right,MISS D. Murray 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,Missed,,23.28,,,,,,,,,,,,
16,PT11M20.00S,2021-11-13T01:41:35.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,2,2021-11-13T01:41:45Z,160000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT11M02.00S,2021-11-13T01:41:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,7.966491458607096,39.705882352941174,1610612742,0,2,2021-11-13T01:42:49Z,170000,51.0,22.0,1,left,MISS K. Porzingis fadeaway Shot,[204001],1610612742.0,DAL,fadeaway,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,5.62,,,,,,,,,,,,
18,PT10M59.00S,2021-11-13T01:41:57.7Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,0,2,2021-11-13T01:42:00Z,180000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M50.00S,2021-11-13T01:42:05.9Z,1,REGULAR,3pt,Jump Shot,[],1629640,75.64060446780552,87.00980392156863,1610612759,3,2,2021-11-13T01:42:13Z,190000,185.0,176.0,1,right,K. Johnson 25' 3PT  (3 PTS) (D. McDermott 1 AST),"[1629640, 203926]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,3.0,25.57,,,,,D. McDermott,203926.0,1.0,,,,,
21,PT10M37.00S,2021-11-13T01:42:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,5.863994743758213,44.36274509803921,1610612742,3,4,2021-11-13T01:42:25Z,210000,28.0,3.0,1,left,T. Hardaway Jr. cutting Layup (2 PTS) (L. Doncic 1 AST),"[203501, 1629029]",1610612742.0,DAL,cutting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Made,2.0,2.83,,,,,L. Doncic,1629029.0,1.0,,,,,
23,PT10M25.00S,2021-11-13T01:42:30.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,91.67214191852825,57.84313725490197,1610612759,3,4,2021-11-13T01:42:39Z,230000,39.0,26.0,1,right,MISS D. Eubanks Hook,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,Missed,,4.69,,,,,,,,,,,,
24,PT10M22.00S,2021-11-13T01:42:33.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,3,4,2021-11-13T01:42:39Z,240000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT10M17.00S,2021-11-13T01:42:39.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",204001,7.835085413929041,42.64705882352941,1610612742,3,6,2021-11-13T01:42:56Z,250000,37.0,21.0,1,left,K. Porzingis turnaround bank Hook (2 PTS) (D. Finney-Smith 1 AST),"[204001, 1627827]",1610612742.0,DAL,turnaround bank,,,Porzingis,K. Porzingis,,,,,,,,,,Made,2.0,4.24,,,,,D. Finney-Smith,1627827.0,1.0,,,,,
27,PT10M17.00S,2021-11-13T01:42:45.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,3,6,2021-11-13T01:42:45Z,270000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M02.00S,2021-11-13T01:45:52.6Z,1,REGULAR,foul,personal,[],1629029,,,1610612759,3,6,2021-11-13T01:46:05Z,280000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 1628401]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,1179.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
30,PT09M56.00S,2021-11-13T01:46:12.7Z,1,REGULAR,3pt,Jump Shot,[],1629640,67.88764783180025,28.676470588235293,1610612759,6,6,2021-11-13T01:46:19Z,300000,-107.0,249.0,1,right,K. Johnson 27' 3PT  (6 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,6.0,27.12,,,,,D. Murray,1627749.0,1.0,,,,,
32,PT09M37.00S,2021-11-13T01:46:32.3Z,1,REGULAR,2pt,Jump Shot,[],204001,7.5722733245729295,67.40196078431373,1610612742,6,6,2021-11-13T01:46:40Z,320000,-87.0,19.0,1,left,MISS K. Porzingis 8' turnaround bank Shot,[204001],1610612742.0,DAL,turnaround bank,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,8.9,,,,,,,,,,,,
33,PT09M35.00S,2021-11-13T01:46:34.3Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,6,6,2021-11-13T01:46:40Z,330000,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,
34,PT09M27.00S,2021-11-13T01:46:43.4Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612759,6,6,2021-11-13T01:46:51Z,340000,,,0,,D. White bad pass out-of-bounds TURNOVER (1 TO),[1628401],1610612759.0,SAS,bad pass,,,White,D. White,,,,,1179.0,,,,,,,,,,,,,,,1.0,,,,
35,PT09M15.00S,2021-11-13T01:47:00.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203501,24.78646517739816,36.51960784313725,1610612742,6,6,2021-11-13T01:47:04Z,350000,67.0,180.0,1,left,MISS T. Hardaway Jr. 19' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Missed,,19.27,,,,,,,,,,,,
36,PT09M12.00S,2021-11-13T01:47:03.0Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,6,6,2021-11-13T01:47:04Z,360000,,,0,,D. Eubanks REBOUND (Off:0 Def:3),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,35.0,3.0,3.0,0.0,,,,,,,,
37,PT09M01.00S,2021-11-13T01:47:18.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,6,6,2021-11-13T01:47:18Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2021-11-13T01:47:33.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,70.25295663600527,20.588235294117645,1610612759,6,6,2021-11-13T01:47:39Z,380000,-147.0,227.0,1,right,MISS K. Johnson 27' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Missed,,27.06,,,,,,,,,,,,
39,PT08M49.00S,2021-11-13T01:47:36.4Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612759,6,6,2021-11-13T01:47:39Z,390000,,,0,,D. Eubanks REBOUND (Off:1 Def:3),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,38.0,4.0,3.0,1.0,,,,,,,,
40,PT08M46.00S,2021-11-13T01:47:39.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203926,69.99014454664915,17.401960784313726,1610612759,9,6,2021-11-13T01:47:44Z,400000,-163.0,230.0,1,right,D. McDermott 28' 3PT  (3 PTS) (D. White 1 AST),"[203926, 1628401]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,Made,3.0,28.16,,,,,D. White,1628401.0,1.0,,,,,
