actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-28T01:42:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-28T01:42:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-12-28T01:42:14.5Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,0,0,2021-12-28T01:42:14Z,40000,,,0,,Jump Ball R. Gobert vs. J. Poeltl: Tip to M. Conley,"[201144, 203497, 1627751]",1610612762.0,UTA,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-28T01:42:23.4Z,1,REGULAR,turnover,lost ball,[],202711,,,1610612762,0,0,2021-12-28T01:42:29Z,70000,,,0,,B. Bogdanovic lost ball TURNOVER (1 TO),"[202711, 1629640]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,1.0,Johnson,1629640.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-28T01:42:23.4Z,1,REGULAR,steal,,[],1629640,,,1610612759,0,0,2021-12-28T01:42:26Z,80000,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-28T01:42:35.7Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612759,0,0,2021-12-28T01:42:46Z,90000,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1626220]",1610612759.0,SAS,,,,White,D. White,,,,,1.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2021-12-28T01:42:35.7Z,1,REGULAR,steal,,[],1626220,,,1610612762,0,0,2021-12-28T01:43:13Z,100000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2021-12-28T01:42:43.0Z,1,REGULAR,foul,personal,['2freethrow'],203926,,,1610612762,0,0,2021-12-28T01:43:07Z,110000,,,0,,D. McDermott shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[203926, 202711]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,,,,202026.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,,,,
13,PT11M30.00S,2021-12-28T01:43:11.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202711,,,1610612762,0,0,2021-12-28T01:43:11Z,130000,,,0,,MISS B. Bogdanovic Free Throw 1 of 2,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,Missed,,,,,,,,,,,
14,PT11M30.00S,2021-12-28T01:43:11.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,0,0,2021-12-28T01:43:11Z,140000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,
15,PT11M30.00S,2021-12-28T01:43:30.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202711,,,1610612762,0,1,2021-12-28T01:43:30Z,150000,,,0,,B. Bogdanovic Free Throw 2 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,Made,,1.0,,,,,,,,,
16,PT11M09.00S,2021-12-28T01:43:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,10.200394218134035,40.44117647058824,1610612759,2,1,2021-12-28T01:44:57Z,160000,48.0,43.0,1,left,D. McDermott 6' driving Layup (2 PTS),[203926],1610612759.0,SAS,driving,,,McDermott,D. McDermott,,,,,,,,,,,,,Made,,2.0,6.46,,,,,,,,
17,PT10M59.00S,2021-12-28T01:44:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,90.3580814717477,48.529411764705884,1610612762,2,1,2021-12-28T01:44:07Z,170000,-7.0,38.0,1,right,MISS M. Conley floating Shot,[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,,,,,,,,,Missed,,,3.88,,,,,,,,
18,PT10M56.00S,2021-12-28T01:44:05.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,2,1,2021-12-28T01:44:07Z,180000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,17.0,,,1.0,1.0,0.0,,,,,
67,PT10M41.00S,2021-12-28T01:44:17.0Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612759,2,1,2021-12-28T01:52:49Z,200000,,,0,,D. White bad pass TURNOVER (2 TO),"[1628401, 201144]",1610612759.0,SAS,,,,White,D. White,,,,,2.0,Conley,201144.0,,,,,,,,,,,,,,,,,
68,PT10M41.00S,2021-12-28T01:44:17.0Z,1,REGULAR,steal,,[],201144,,,1610612762,2,1,2021-12-28T01:52:49Z,210000,,,0,,M. Conley STEAL (1 STL),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2021-12-28T01:44:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612762,2,1,2021-12-28T01:44:58Z,220000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Ingles 2 FT),"[1627751, 204060]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,2882.0,1.0,0.0,Ingles,204060.0,,,,,,,,,,,,
24,PT10M31.00S,2021-12-28T01:45:03.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],204060,,,1610612762,2,2,2021-12-28T01:52:49Z,240000,,,0,,J. Ingles Free Throw 1 of 2 (1 PTS),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,Made,,1.0,,,,,,,,,
25,PT10M31.00S,2021-12-28T01:45:03.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],204060,,,1610612762,2,2,2021-12-28T01:52:49Z,250000,,,0,,MISS J. Ingles Free Throw 2 of 2,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,Missed,,,,,,,,,,,
26,PT10M28.00S,2021-12-28T01:45:06.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,2,2,2021-12-28T01:45:22Z,260000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,25.0,,,2.0,2.0,0.0,,,,,
27,PT10M14.00S,2021-12-28T01:45:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,10.068988173455978,37.00980392156863,1610612759,4,2,2021-12-28T01:45:41Z,270000,65.0,42.0,1,left,K. Johnson 7' floating Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1629640, 1627751]",1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,,,,,,,,,Made,,2.0,7.74,,,,J. Poeltl,1627751.0,1.0,,
28,PT10M00.00S,2021-12-28T01:45:47.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,88.64980289093299,46.81372549019608,1610612762,4,4,2021-12-28T01:45:52Z,280000,-16.0,54.0,1,right,B. Bogdanovic floating Jump Shot (3 PTS),[202711],1610612762.0,UTA,floating,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,Made,,3.0,5.65,,,,,,,,
29,PT09M48.00S,2021-12-28T01:45:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,8.492115637319317,42.15686274509804,1610612759,6,4,2021-12-28T01:46:04Z,290000,39.0,27.0,1,left,D. McDermott driving finger roll Layup (4 PTS) (K. Bates-Diop 1 AST),"[203926, 1628966]",1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,,,,,,,,,Made,,4.0,4.78,,,,K. Bates-Diop,1628966.0,1.0,,
31,PT09M23.00S,2021-12-28T01:46:24.4Z,1,REGULAR,3pt,Jump Shot,[],201144,68.41327201051249,25.245098039215684,1610612762,6,4,2021-12-28T01:46:37Z,310000,-124.0,244.0,1,right,MISS M. Conley 27' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,Missed,,,27.4,,,,,,,,
32,PT09M21.00S,2021-12-28T01:46:26.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,6,4,2021-12-28T01:46:37Z,320000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,
33,PT09M21.00S,2021-12-28T01:46:36.0Z,1,REGULAR,foul,personal,[],203926,,,1610612762,6,4,2021-12-28T01:46:51Z,330000,,,0,,D. McDermott loose ball personal FOUL (2 PF),"[203926, 203497]",1610612759.0,SAS,loose ball,,,McDermott,D. McDermott,,,,,,,,202026.0,2.0,0.0,Gobert,203497.0,,,,,,,,,,,,
35,PT09M07.00S,2021-12-28T01:47:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201144,91.93495400788436,37.99019607843137,1610612762,6,6,2021-12-28T01:47:12Z,350000,-60.0,23.0,1,right,M. Conley 6' driving finger roll Layup (2 PTS) (B. Bogdanovic 1 AST),"[201144, 202711]",1610612762.0,UTA,driving finger roll,,,Conley,M. Conley,,,,,,,,,,,,,Made,,2.0,6.44,,,,B. Bogdanovic,202711.0,1.0,,
37,PT08M57.00S,2021-12-28T01:47:17.4Z,1,REGULAR,3pt,Jump Shot,[],203926,31.750985545335087,30.14705882352941,1610612759,6,6,2021-12-28T01:47:22Z,370000,99.0,246.0,1,left,MISS D. McDermott 26' pullup 3PT,[203926],1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,,,,,,,,,Missed,,,26.53,,,,,,,,
38,PT08M53.00S,2021-12-28T01:47:21.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,6,6,2021-12-28T01:47:22Z,380000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,37.0,,,1.0,1.0,0.0,,,,,
39,PT08M46.00S,2021-12-28T01:47:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,82.34231274638634,55.14705882352941,1610612762,6,6,2021-12-28T01:47:34Z,390000,26.0,113.0,1,right,MISS M. Conley 11' floating Shot,[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,,,,,,,,,Missed,,,11.64,,,,,,,,
40,PT08M40.00S,2021-12-28T01:47:34.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,6,6,2021-12-28T01:47:34Z,400000,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,39.0,,,3.0,3.0,0.0,,,,,
41,PT08M38.00S,2021-12-28T01:47:38.3Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612759,6,6,2021-12-28T01:47:53Z,410000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (White 2 FT),"[1626220, 1628401]",1610612762.0,UTA,shooting,,,O'Neale,R. O'Neale,,,,,,,,1629174.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,
43,PT08M38.00S,2021-12-28T01:48:10.7Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612759,7,6,2021-12-28T01:48:10Z,430000,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,Made,,1.0,,,,,,,,,
44,PT08M38.00S,2021-12-28T01:48:11.9Z,1,REGULAR,substitution,out,[],203926,,,1610612759,7,6,2021-12-28T01:48:20Z,440000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M38.00S,2021-12-28T01:48:11.9Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,7,6,2021-12-28T01:48:20Z,450000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M38.00S,2021-12-28T01:48:39.6Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612759,8,6,2021-12-28T01:48:39Z,460000,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,Made,,2.0,,,,,,,,,
47,PT08M32.00S,2021-12-28T01:48:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,87.33574244415243,44.11764705882353,1610612762,8,8,2021-12-28T01:48:59Z,470000,-29.0,67.0,1,right,M. Conley 7' pullup Jump Shot (4 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,,,,,,,,,Made,,4.0,7.27,,,,,,,,
48,PT08M21.00S,2021-12-28T01:49:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,13.61695137976347,50.49019607843137,1610612759,10,8,2021-12-28T01:49:05Z,480000,-2.0,75.0,1,left,J. Poeltl 7' floating Jump Shot (2 PTS) (K. Bates-Diop 2 AST),"[1627751, 1628966]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,,,,,,,,,Made,,2.0,7.55,,,,K. Bates-Diop,1628966.0,2.0,,
50,PT08M06.00S,2021-12-28T01:49:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,91.01511169513797,44.11764705882353,1610612762,10,8,2021-12-28T01:49:25Z,500000,-29.0,32.0,1,right,MISS B. Bogdanovic finger roll Layup - blocked,"[202711, 1628966]",1610612762.0,UTA,finger roll,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,Missed,,,4.35,,,,,,,Bates-Diop,1628966.0
51,PT08M06.00S,2021-12-28T01:49:19.1Z,1,REGULAR,block,,[],1628966,,,1610612762,10,8,2021-12-28T01:49:23Z,510000,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M06.00S,2021-12-28T01:49:19.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,10,8,2021-12-28T01:49:25Z,520000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,
53,PT08M06.00S,2021-12-28T01:49:26.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,10,8,2021-12-28T01:49:26Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M47.00S,2021-12-28T01:49:49.4Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612759,10,8,2021-12-28T01:50:13Z,540000,,,0,,R. Gobert shooting personal FOUL (1 PF) (Poeltl 2 FT),"[203497, 1627751]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,202026.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,,,,
56,PT07M47.00S,2021-12-28T01:50:15.6Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,10,8,2021-12-28T01:50:34Z,560000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,Missed,,,,,,,,,,,
57,PT07M47.00S,2021-12-28T01:50:15.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,10,8,2021-12-28T01:50:34Z,570000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,
58,PT07M47.00S,2021-12-28T01:50:15.6Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,10,8,2021-12-28T01:50:34Z,580000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,Missed,,,,,,,,,,,
59,PT07M43.00S,2021-12-28T01:50:19.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,10,8,2021-12-28T01:50:34Z,590000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,58.0,,,1.0,1.0,0.0,,,,,
60,PT07M31.00S,2021-12-28T01:50:45.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.59198423127464,48.28431372549019,1610612762,10,10,2021-12-28T01:50:51Z,600000,-9.0,17.0,1,right,R. Gobert DUNK (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,Made,,2.0,1.91,,,,M. Conley,201144.0,1.0,,
62,PT07M08.00S,2021-12-28T01:51:08.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.013797634691194,72.54901960784314,1610612759,10,10,2021-12-28T01:51:12Z,620000,-113.0,248.0,1,left,MISS D. White 27' pullup 3PT,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,,,,,,,,,Missed,,,27.28,,,,,,,,
63,PT07M05.00S,2021-12-28T01:51:11.2Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,10,10,2021-12-28T01:51:12Z,630000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,62.0,,,1.0,1.0,0.0,,,,,
