actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T01:40:08.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T01:40:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-10T01:40:10.7Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-03-10T01:40:10Z,40000,,,0,,Jump Ball J. Poeltl vs. S. Barnes: Tip to K. Johnson,"[1629640, 1627751, 1630567]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-10T01:40:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,93.64323258869908,45.34313725490196,1610612759,2,0,2022-03-10T01:40:27Z,70000,-23.0,7.0,1,right,D. Murray driving finger roll Layup (2 PTS),[1627749],1610612759.0,SAS,driving finger roll,,,Murray,D. Murray,,,,,2.44,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-03-10T01:40:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.1268068331143235,43.627450980392155,1610612761,2,0,2022-03-10T01:40:46Z,80000,32.0,5.0,1,left,MISS P. Siakam Layup,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,3.23,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-10T01:40:42.9Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,2,0,2022-03-10T01:40:46Z,90000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2022-03-10T01:40:50.6Z,1,REGULAR,3pt,Jump Shot,[],1629640,72.61826544021025,14.705882352941178,1610612759,2,0,2022-03-10T01:40:55Z,100000,-176.0,205.0,1,right,MISS K. Johnson 27' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,27.04,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-03-10T01:40:53.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,2,0,2022-03-10T01:40:55Z,110000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M06.00S,2022-03-10T01:41:01.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,31.488173455978973,72.54901960784314,1610612761,2,0,2022-03-10T01:41:06Z,120000,-113.0,243.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.83,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2022-03-10T01:41:04.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,2,0,2022-03-10T01:41:06Z,130000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M54.00S,2022-03-10T01:41:14.0Z,1,REGULAR,3pt,Jump Shot,[],203926,70.51576872536137,18.38235294117647,1610612759,2,0,2022-03-10T01:41:19Z,140000,-158.0,225.0,1,right,MISS D. McDermott 27' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,27.47,Missed,,,,,,,,,,,,,,,,,,
