actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-13T01:40:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T01:40:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-01-13T01:40:17.8Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-01-13T01:40:17Z,40000,,,0,,Jump Ball C. Wood vs. J. Poeltl: Tip to K. Porter Jr.,"[1629645, 1626174, 1627751]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-13T01:40:29.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626174,6.258212877792378,50.245098039215684,1610612745,0,2,2022-01-13T01:40:37Z,70000,-1.0,6.0,1,left,C. Wood DUNK (2 PTS) (J. Tate 1 AST),"[1626174, 1630256]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,0.64,Made,2.0,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-13T01:40:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628966,86.28449408672799,49.26470588235294,1610612759,0,2,2022-01-13T01:40:55Z,90000,-4.0,76.0,1,right,MISS K. Bates-Diop 7' pullup Shot - blocked,"[1628966, 1630256]",1610612759.0,SAS,pullup,,,Bates-Diop,K. Bates-Diop,,,,,7.65,Missed,,,,,Tate,1630256.0,,,,,,,,,,,,,
10,PT11M24.00S,2022-01-13T01:40:46.4Z,1,REGULAR,block,,[],1630256,,,1610612759,0,2,2022-01-13T01:40:48Z,100000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-01-13T01:40:49.4Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,0,2,2022-01-13T01:40:55Z,110000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M19.00S,2022-01-13T01:40:51.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629022,92.59198423127464,3.6764705882352944,1610612759,3,2,2022-01-13T01:40:58Z,120000,-232.0,17.0,1,right,L. Walker IV 3PT  (3 PTS) (K. Bates-Diop 1 AST),"[1629022, 1628966]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,23.22,Made,3.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-01-13T01:40:56.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201569,17.95335085413929,5.392156862745098,1610612745,3,5,2022-01-13T01:41:02Z,140000,223.0,116.0,1,left,E. Gordon 25' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[201569, 1629645]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,25.15,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
16,PT11M03.00S,2022-01-13T01:41:11.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,3,5,2022-01-13T01:41:11Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2022-01-13T01:41:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.56307490144546,46.568627450980394,1610612759,5,5,2022-01-13T01:41:37Z,170000,-17.0,-1.0,1,right,J. Poeltl cutting Layup (2 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,1.73,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,,
