actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-15T00:40:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-15T00:40:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-15T00:40:13.3Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-03-15T00:40:13Z,40000,,,0,,Jump Ball J. Poeltl vs. K. Towns: Tip to D. Murray,"[1627749, 1627751, 1626157]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-03-15T00:40:35.9Z,1,REGULAR,turnover,lost ball,[],1630170,,,1610612759,0,0,2022-03-15T00:40:40Z,70000,,,0,,D. Vassell lost ball TURNOVER (1 TO),"[1630170, 1626157]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-15T00:40:35.9Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,0,2022-03-15T00:40:37Z,80000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-03-15T00:40:45.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626157,13.222733245729303,32.59803921568628,1610612750,0,2,2022-03-15T00:42:59Z,90000,87.0,72.0,1,left,K. Towns 11' fadeaway bank Jump Shot (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,fadeaway bank,,,Towns,K. Towns,,,,,,,,11.28,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,
11,PT11M13.00S,2022-03-15T00:40:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.51182654402102,50.245098039215684,1610612759,2,2,2022-03-15T00:41:00Z,110000,1.0,8.0,1,right,J. Poeltl Layup (2 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,0.86,Made,2.0,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-03-15T00:41:11.4Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,2,2,2022-03-15T00:41:14Z,120000,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1626196]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,1.0,Richardson,1626196.0,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-03-15T00:41:11.4Z,1,REGULAR,steal,,[],1626196,,,1610612759,2,2,2022-03-15T00:41:13Z,130000,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2022-03-15T00:41:22.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,95.3515111695138,94.85294117647058,1610612759,2,2,2022-03-15T00:41:28Z,140000,224.0,-9.0,1,right,MISS D. Murray 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,22.45,Missed,,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-03-15T00:41:26.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,2,2022-03-15T00:41:28Z,150000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M33.00S,2022-03-15T00:41:36.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,7.178055190538765,48.28431372549019,1610612750,2,4,2022-03-15T00:41:41Z,160000,9.0,15.0,1,left,K. Towns driving DUNK (4 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,1.73,Made,4.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,
18,PT10M23.00S,2022-03-15T00:41:50.6Z,1,REGULAR,foul,offensive,[],1627749,,,1610612759,2,4,2022-03-15T00:42:01Z,180000,,,0,,D. Murray offensive FOUL (1 PF),"[1627749, 201976]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Beverley,201976.0,,,
20,PT10M23.00S,2022-03-15T00:41:50.6Z,1,REGULAR,turnover,offensive foul,[],1627749,,,1610612759,2,4,2022-03-15T00:41:50Z,200000,,,0,,D. Murray offensive foul TURNOVER (1 TO),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,1.0,,,,,,,,,,,,,202027.0,,,,,,,
21,PT10M11.00S,2022-03-15T00:42:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201976,6.783837056504599,50.245098039215684,1610612750,2,6,2022-03-15T00:42:37Z,210000,-1.0,11.0,1,left,P. Beverley driving finger roll Layup (2 PTS),[201976],1610612750.0,MIN,driving finger roll,,,Beverley,P. Beverley,,,,,,,,1.14,Made,2.0,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-03-15T00:42:42.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629640,88.38699080157687,37.00980392156863,1610612759,4,6,2022-03-15T00:43:11Z,220000,-65.0,57.0,1,right,K. Johnson 8' floating Jump Shot (2 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,,,,8.63,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,
