actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-18T01:40:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-18T01:40:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-18T01:40:21.8Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-18T01:40:21Z,40000,,,0,,Jump Ball J. McGee vs. J. Poeltl: Tip to C. Paul,"[101108, 201580, 1627751]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,McGee,201580.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-18T01:40:42.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,93.38042049934296,78.67647058823529,1610612756,0,2,2022-01-18T01:40:47Z,70000,143.0,10.0,1,right,D. Booker 14' pullup Jump Shot (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,14.37,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-01-18T01:41:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,6.521024967148489,63.48039215686274,1610612759,2,2,2022-01-18T01:41:07Z,90000,-67.0,9.0,1,left,D. Murray 6' fadeaway bank Jump Shot (2 PTS),[1627749],1610612759.0,SAS,fadeaway bank,,,Murray,D. Murray,,,,,6.8,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2022-01-18T01:41:15.0Z,1,REGULAR,2pt,Jump Shot,[],1626164,80.3712220762155,72.54901960784314,1610612756,2,4,2022-01-18T01:41:20Z,100000,113.0,132.0,1,right,D. Booker 17' step back Jump Shot (4 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,17.36,Made,4.0,,,,,,,,,,,,,,,,,
11,PT10M44.00S,2022-01-18T01:41:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,13.222733245729303,41.911764705882355,1610612759,4,4,2022-01-18T01:41:43Z,110000,40.0,72.0,1,left,K. Johnson 8' floating Jump Shot (2 PTS),[1629640],1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,8.24,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M37.00S,2022-01-18T01:41:44.0Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612756,4,4,2022-01-18T01:41:55Z,120000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Booker 2 FT),"[1629640, 1626164]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,,,,,,,201246.0,1.0,0.0,Booker,1626164.0,,,,,,,,,
14,PT10M37.00S,2022-01-18T01:42:09.2Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,4,4,2022-01-18T01:42:09Z,140000,,,0,,MISS D. Booker Free Throw 1 of 2,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT10M37.00S,2022-01-18T01:42:09.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,4,4,2022-01-18T01:42:09Z,150000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
16,PT10M37.00S,2022-01-18T01:42:26.0Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,4,5,2022-01-18T01:42:26Z,160000,,,0,,D. Booker Free Throw 2 of 2 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
17,PT10M26.00S,2022-01-18T01:42:39.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,26.888961892247043,49.754901960784316,1610612759,4,5,2022-01-18T01:42:46Z,170000,1.0,200.0,1,left,MISS D. Murray 20' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,20.03,Missed,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2022-01-18T01:42:43.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,4,5,2022-01-18T01:42:46Z,180000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M18.00S,2022-01-18T01:42:46.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,72.09264126149803,80.3921568627451,1610612756,4,8,2022-01-18T01:42:53Z,190000,152.0,210.0,1,right,D. Booker 25' 3PT  (8 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.91,Made,8.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
21,PT09M50.00S,2022-01-18T01:43:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,17.296320630749015,39.705882352941174,1610612759,6,8,2022-01-18T01:43:19Z,210000,51.0,110.0,1,left,D. White 12' driving floating Jump Shot (2 PTS),[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,12.15,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M37.00S,2022-01-18T01:43:28.2Z,1,REGULAR,2pt,Jump Shot,[],1628969,93.38042049934296,19.362745098039216,1610612756,6,8,2022-01-18T01:43:34Z,220000,-153.0,10.0,1,right,MISS M. Bridges 15' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,15.35,Missed,,,,,,,,,,,,,,,,,,
23,PT09M33.00S,2022-01-18T01:43:32.2Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,6,8,2022-01-18T01:43:34Z,230000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,
24,PT09M21.00S,2022-01-18T01:43:44.8Z,1,REGULAR,2pt,Jump Shot,[],1628401,5.469776609724048,29.166666666666668,1610612759,8,8,2022-01-18T01:43:49Z,240000,104.0,-1.0,1,left,D. White 10' driving floating Jump Shot (4 PTS),[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,10.42,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M13.00S,2022-01-18T01:43:52.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1626164,81.15965834428384,34.80392156862745,1610612756,8,10,2022-01-18T01:43:58Z,250000,-76.0,125.0,1,right,D. Booker 14' fadeaway Jump Shot (10 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,14.59,Made,10.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,
27,PT09M01.00S,2022-01-18T01:44:06.9Z,1,REGULAR,foul,personal,[],1626164,,,1610612759,8,10,2022-01-18T01:44:20Z,270000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 203926]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,202056.0,1.0,0.0,McDermott,203926.0,,,,,,,,,
29,PT08M52.00S,2022-01-18T01:44:37.3Z,1,REGULAR,foul,personal,['2freethrow'],201580,,,1610612759,8,10,2022-01-18T01:44:47Z,290000,,,0,,J. McGee shooting personal FOUL (1 PF) (Poeltl 2 FT),"[201580, 1627751]",1610612756.0,PHX,shooting,,,McGee,J. McGee,,,,,,,,,,,200833.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
