actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-16T01:40:07.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T01:40:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-16T01:40:10.3Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-01-16T01:40:10Z,40000,,,0,,Jump Ball I. Zubac vs. J. Landale: Tip to M. Morris Sr.,"[202694, 1627826, 1629111]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Landale,1629111.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-16T01:40:19.3Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,0,0,2022-01-16T01:40:25Z,70000,,,0,,N. Batum bad pass TURNOVER (1 TO),"[201587, 1629111]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,1.0,Landale,1629111.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-01-16T01:40:19.3Z,1,REGULAR,steal,,[],1629111,,,1610612759,0,0,2022-01-16T01:40:21Z,80000,,,0,,J. Landale STEAL (1 STL),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-01-16T01:40:25.7Z,1,REGULAR,turnover,bad pass,[],1629640,,,1610612759,0,0,2022-01-16T01:40:29Z,90000,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1629640, 202694]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,1.0,Morris Sr.,202694.0,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2022-01-16T01:40:25.7Z,1,REGULAR,steal,,[],202694,,,1610612746,0,0,2022-01-16T01:40:27Z,100000,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2022-01-16T01:40:44.5Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,0,0,2022-01-16T01:40:49Z,110000,,,0,,N. Batum bad pass TURNOVER (2 TO),"[201587, 1627749]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,2.0,Murray,1627749.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2022-01-16T01:40:44.5Z,1,REGULAR,steal,,[],1627749,,,1610612759,0,0,2022-01-16T01:40:47Z,120000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-01-16T01:40:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627749,7.966491458607096,40.19607843137255,1610612759,0,0,2022-01-16T01:40:59Z,130000,49.0,22.0,1,left,MISS D. Murray driving finger roll Layup,[1627749],1610612759.0,SAS,driving finger roll,,,Murray,D. Murray,,,,,,,,5.39,Missed,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-01-16T01:40:54.5Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612759,0,0,2022-01-16T01:40:54Z,140000,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
