actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-15T01:40:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T01:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-15T01:40:57.4Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-01-15T01:40:57Z,40000,,,0,,Jump Ball J. Allen vs. J. Poeltl: Tip to D. Garland,"[1629636, 1628386, 1627751]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-15T01:41:13.0Z,1,REGULAR,2pt,Hook,[],1628386,5.863994743758213,68.87254901960785,1610612739,0,0,2022-01-15T01:41:18Z,70000,-94.0,3.0,1,left,MISS J. Allen 9' Hook,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,9.44,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-15T01:41:15.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-01-15T01:41:18Z,80000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-01-15T01:41:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,79.84559789750328,59.068627450980394,1610612759,0,0,2022-01-15T01:41:40Z,90000,45.0,137.0,1,right,MISS J. Poeltl 14' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,14.43,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-15T01:41:37.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2022-01-15T01:41:40Z,100000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M09.00S,2022-01-15T01:41:48.9Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612739,0,0,2022-01-15T01:41:59Z,110000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Allen 2 FT),"[1627751, 1628386]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,1628485.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,
13,PT11M09.00S,2022-01-15T01:42:10.3Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,0,1,2022-01-15T01:42:10Z,130000,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
14,PT11M09.00S,2022-01-15T01:42:10.3Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,0,1,2022-01-15T01:42:35Z,140000,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2022-01-15T01:42:12.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,1,2022-01-15T01:42:35Z,150000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-01-15T01:42:42.6Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,0,1,2022-01-15T01:42:51Z,160000,,,0,,J. Poeltl bad pass out-of-bounds TURNOVER (1 TO),[1627751],1610612759.0,SAS,bad pass,,,Poeltl,J. Poeltl,,,,,,,,,,,1628485.0,,,,,,1.0,,,,,,,,
17,PT10M35.00S,2022-01-15T01:43:12.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,23.078186596583443,9.068627450980392,1610612739,0,1,2022-01-15T01:43:20Z,170000,205.0,164.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2022-01-15T01:43:16.9Z,1,REGULAR,rebound,offensive,[],1630205,,,1610612739,0,1,2022-01-15T01:43:20Z,180000,,,0,,L. Stevens REBOUND (Off:1 Def:0),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
