actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-17T00:40:14.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-17T00:40:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-17T00:40:18.9Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2022-03-17T00:40:18Z,40000,,,0,,Jump Ball I. Roby vs. J. Poeltl: Tip to S. Gilgeous-Alexander,"[1628983, 1629676, 1627751]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Roby,1629676.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-17T00:40:37.0Z,1,REGULAR,turnover,lost ball,[],1630544,,,1610612760,0,0,2022-03-17T00:40:40Z,70000,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1630544, 1629640]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,1.0,Johnson,1629640.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-17T00:40:37.0Z,1,REGULAR,steal,,[],1629640,,,1610612759,0,0,2022-03-17T00:40:38Z,80000,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-17T00:40:53.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626196,93.24901445466492,51.71568627450981,1610612759,2,0,2022-03-17T00:40:58Z,90000,9.0,11.0,1,right,J. Richardson driving Layup (2 PTS) (D. Vassell 1 AST),"[1626196, 1630170]",1610612759.0,SAS,driving,,,Richardson,J. Richardson,,,,,,,,1.4,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,
10,PT11M01.00S,2022-03-17T00:41:12.3Z,1,REGULAR,3pt,Jump Shot,[],1630598,4.944152431011826,96.81372549019608,1610612760,2,0,2022-03-17T00:41:16Z,100000,-234.0,-6.0,1,left,MISS A. Wiggins 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,23.42,Missed,,,,,,,,,,,,,,,,
11,PT10M58.00S,2022-03-17T00:41:15.3Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,2,0,2022-03-17T00:41:16Z,110000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M50.00S,2022-03-17T00:41:23.0Z,1,REGULAR,3pt,Jump Shot,[],1626196,80.23981603153744,93.62745098039215,1610612759,5,0,2022-03-17T00:41:27Z,120000,218.0,133.0,1,right,J. Richardson 25' 3PT  (5 PTS) (D. Murray 1 AST),"[1626196, 1627749]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,25.56,Made,5.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,
14,PT10M39.00S,2022-03-17T00:41:37.0Z,1,REGULAR,foul,personal,[],1629640,,,1610612760,5,0,2022-03-17T00:41:45Z,140000,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1629647]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,Bazley,1629647.0,,,
16,PT10M28.00S,2022-03-17T00:42:05.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,5,0,2022-03-17T00:42:05Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
