actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-10T01:40:13.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-10T01:40:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-12-10T01:40:18.5Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-12-10T01:40:18Z,40000,,,0,,Jump Ball J. Poeltl vs. N. Jokic: Tip to D. Murray,"[1627749, 1627751, 203999]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-12-10T01:40:35.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,68.15045992115637,50.98039215686274,1610612759,3,0,2021-12-10T01:40:44Z,70000,5.0,247.0,1,right,D. Murray 24' 3PT  (3 PTS) (K. Bates-Diop 1 AST),"[1627749, 1628966]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,24.69,Made,3.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,,,,,,,,
9,PT11M12.00S,2021-12-10T01:41:01.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201145,6.258212877792378,49.754901960784316,1610612743,3,0,2021-12-10T01:41:06Z,90000,1.0,6.0,1,left,MISS J. Green DUNK,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,0.64,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2021-12-10T01:41:04.1Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,3,0,2021-12-10T01:41:06Z,100000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M08.00S,2021-12-10T01:41:04.6Z,1,REGULAR,turnover,bad pass,[],1628966,,,1610612759,3,0,2021-12-10T01:41:10Z,110000,,,0,,K. Bates-Diop bad pass TURNOVER (1 TO),"[1628966, 203115]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,1.0,Barton,203115.0,,,,,,,,
12,PT11M08.00S,2021-12-10T01:41:04.6Z,1,REGULAR,steal,,[],203115,,,1610612743,3,0,2021-12-10T01:41:08Z,120000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-12-10T01:41:09.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203115,5.863994743758213,46.32352941176471,1610612743,3,2,2021-12-10T01:42:29Z,130000,18.0,3.0,1,left,W. Barton running finger roll Layup (2 PTS),[203115],1610612743.0,DEN,running finger roll,,,Barton,W. Barton,,,,,1.86,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2021-12-10T01:41:21.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203926,92.46057818659659,49.01960784313725,1610612759,5,2,2021-12-10T01:43:29Z,140000,-5.0,18.0,1,right,D. McDermott driving Hook (2 PTS),[203926],1610612759.0,SAS,driving,,,McDermott,D. McDermott,,,,,1.9,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2021-12-10T01:41:33.1Z,1,REGULAR,2pt,Jump Shot,[],1628420,22.421156373193167,65.68627450980392,1610612743,5,2,2021-12-10T01:41:40Z,150000,-78.0,158.0,1,left,MISS M. Morris 17' pullup Shot - blocked,"[1628420, 1628401]",1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,17.67,Missed,,,,,,,,,,,,White,1628401.0,,,,,,
16,PT10M39.00S,2021-12-10T01:41:33.1Z,1,REGULAR,block,,[],1628401,,,1610612743,5,2,2021-12-10T01:41:36Z,160000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2021-12-10T01:41:37.1Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,5,2,2021-12-10T01:41:40Z,170000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M31.00S,2021-12-10T01:41:41.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,72.35545335085413,82.1078431372549,1610612759,8,2,2021-12-10T01:41:47Z,180000,161.0,207.0,1,right,D. White 26' 3PT  (3 PTS) (D. Murray 1 AST),"[1628401, 1627749]",1610612759.0,SAS,,,,White,D. White,,,,,26.22,Made,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,,
