actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-24T00:10:11.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-24T00:10:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-24T00:10:14.1Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612759,0,0,2022-01-24T00:10:14Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Embiid: Tip to D. White,"[1628401, 1627751, 203954]",1610612759.0,SAS,startperiod,D. White,1628401.0,White,D. White,Poeltl,1627751.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-24T00:10:22.9Z,1,REGULAR,3pt,Jump Shot,[],203926,69.85873850197109,27.941176470588236,1610612759,0,0,2022-01-24T00:10:28Z,70000,-110.0,231.0,1,right,MISS D. McDermott 25' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-01-24T00:10:24.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2022-01-24T00:10:28Z,80000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-24T00:10:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627788,6.258212877792378,49.50980392156863,1610612755,0,2,2022-01-24T00:11:08Z,90000,2.0,6.0,1,left,F. Korkmaz driving Layup (2 PTS),[1627788],1610612755.0,PHI,driving,,,Korkmaz,F. Korkmaz,,,,,0.68,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2022-01-24T00:10:45.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629640,95.22010512483574,3.1862745098039214,1610612759,3,2,2022-01-24T00:11:41Z,100000,-234.0,-8.0,1,right,K. Johnson 3PT running (3 PTS) (D. McDermott 1 AST),"[1629640, 203926]",1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,23.42,Made,,,,,3.0,D. McDermott,203926.0,1.0,,,,,,,,,,,
12,PT11M02.00S,2022-01-24T00:11:08.9Z,1,REGULAR,2pt,Jump Shot,[],203954,13.091327201051248,75.24509803921569,1610612755,3,2,2022-01-24T00:11:15Z,120000,-126.0,71.0,1,left,MISS J. Embiid 14' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,14.46,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-24T00:11:11.8Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,3,2,2022-01-24T00:11:11Z,130000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M47.00S,2022-01-24T00:11:23.4Z,1,REGULAR,2pt,Jump Shot,[],1627749,77.61169513797634,50.0,1610612759,5,2,2022-01-24T00:11:27Z,140000,0.0,158.0,1,right,D. Murray 15' pullup Jump Shot (2 PTS) (K. Johnson 1 AST),"[1627749, 1629640]",1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,15.8,Made,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,
15,PT10M30.00S,2022-01-24T00:11:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.258212877792378,50.49019607843137,1610612755,5,4,2022-01-24T00:11:47Z,150000,-2.0,6.0,1,left,J. Embiid Layup (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,0.68,Made,,,,,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
