actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-04T01:40:35.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T01:40:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-04T01:40:37.6Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-03-04T01:40:37Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Sabonis: Tip to D. Murray,"[1627749, 1627751, 1627734]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-04T01:40:57.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,73.14388961892247,79.65686274509804,1610612759,0,0,2022-03-04T01:41:03Z,70000,148.0,200.0,1,right,MISS K. Johnson 24' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-03-04T01:40:59.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2022-03-04T01:41:03Z,80000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-03-04T01:41:04.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2022-03-04T01:41:04Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-03-04T01:41:23.4Z,1,REGULAR,violation,kicked ball,[],1628368,,,1610612759,0,0,2022-03-04T01:41:32Z,100000,,,0,,D. Fox kicked ball VIOLATION,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,203593.0,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-03-04T01:41:40.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,81.42247043363994,27.205882352941174,1610612759,0,0,2022-03-04T01:42:25Z,110000,-114.0,122.0,1,right,MISS D. Murray 16' step back Shot,[1627749],1610612759.0,SAS,step back,,,Murray,D. Murray,,,,,16.7,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-03-04T01:41:43.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2022-03-04T01:41:45Z,120000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,11.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M07.00S,2022-03-04T01:42:01.2Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612758,0,0,2022-03-04T01:42:12Z,130000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Lyles 2 FT),"[1627751, 1626168]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,2882.0,,,,1.0,0.0,Lyles,1626168.0,,,,,,,,,,
15,PT11M07.00S,2022-03-04T01:42:24.7Z,1,REGULAR,freethrow,1 of 2,[],1626168,,,1610612758,0,1,2022-03-04T01:42:24Z,150000,,,0,,T. Lyles Free Throw 1 of 2 (1 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
16,PT11M07.00S,2022-03-04T01:42:41.9Z,1,REGULAR,freethrow,2 of 2,[],1626168,,,1610612758,0,2,2022-03-04T01:42:41Z,160000,,,0,,T. Lyles Free Throw 2 of 2 (2 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
17,PT10M45.00S,2022-03-04T01:43:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,87.33574244415243,49.01960784313725,1610612759,0,2,2022-03-04T01:44:07Z,170000,-5.0,67.0,1,right,MISS D. Vassell 6' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,6.67,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2022-03-04T01:43:06.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,2,2022-03-04T01:43:08Z,180000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,17.0,,2.0,2.0,0.0,,,,,,,,,,,,,,
