actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-13T00:10:16.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-13T00:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-12-13T00:10:21.2Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-12-13T00:10:21Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Valanciunas: Tip to K. Johnson,"[1629640, 1627751, 202685]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-13T00:10:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,6.652431011826544,52.69607843137255,1610612759,0,0,2021-12-13T00:10:40Z,70000,-13.0,10.0,1,left,MISS D. McDermott cutting Layup,[203926],1610612759.0,SAS,cutting,,,McDermott,D. McDermott,,,,,1.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-13T00:10:34.4Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,0,2021-12-13T00:10:34Z,80000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M34.00S,2021-12-13T00:10:41.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,22.815374507227332,60.5392156862745,1610612759,2,0,2021-12-13T00:10:47Z,90000,-53.0,162.0,1,left,D. Murray 17' pullup Jump Shot (2 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,17.04,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M17.00S,2021-12-13T00:11:00.4Z,1,REGULAR,foul,personal,[],1627749,,,1610612740,2,0,2021-12-13T00:11:11Z,100000,,,0,,D. Murray personal FOUL (1 PF),"[1627749, 1628984]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,203592.0,1.0,0.0,Graham,1628984.0,,,,,,,,
12,PT11M08.00S,2021-12-13T00:11:21.2Z,1,REGULAR,2pt,Jump Shot,[],202685,78.26872536136662,54.90196078431373,1610612740,2,0,2021-12-13T00:11:26Z,120000,25.0,152.0,1,right,MISS J. Valanciunas 15' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,15.38,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2021-12-13T00:11:23.2Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,2,0,2021-12-13T00:11:26Z,130000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M00.00S,2021-12-13T00:11:29.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627749,10.068988173455978,32.1078431372549,1610612759,2,0,2021-12-13T00:11:37Z,140000,89.0,42.0,1,left,MISS D. Murray 9' driving floating bank Shot,[1627749],1610612759.0,SAS,driving floating bank,,,Murray,D. Murray,,,,,9.89,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2021-12-13T00:11:32.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,0,2021-12-13T00:11:37Z,150000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
