actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-08T01:40:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-08T01:40:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-08T01:40:16.8Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612752,0,0,2021-12-08T01:40:16Z,40000,,,0,,Jump Ball N. Noel vs. J. Poeltl: Tip to R. Barrett,"[1629628, 203457, 1627751]",1610612752.0,NYK,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Noel,203457.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-08T01:40:31.6Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,0,0,2021-12-08T01:40:39Z,70000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1629640]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,1.0,Johnson,1629640.0,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-12-08T01:40:31.6Z,1,REGULAR,steal,,[],1629640,,,1610612759,0,0,2021-12-08T01:40:34Z,80000,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-08T01:40:49.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,83.78777923784494,57.59803921568627,1610612759,2,0,2021-12-08T01:40:56Z,90000,38.0,100.0,1,right,J. Poeltl 10' floating Jump Shot (2 PTS) (D. White 1 AST),"[1627751, 1628401]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,,,,10.69,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,
11,PT11M05.00S,2021-12-08T01:41:08.4Z,1,REGULAR,2pt,Jump Shot,[],202692,24.52365308804205,35.294117647058826,1610612752,2,2,2021-12-08T01:43:25Z,110000,74.0,178.0,1,left,A. Burks 19' pullup Jump Shot (2 PTS) (N. Noel 1 AST),"[202692, 203457]",1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,,,,19.26,Made,2.0,N. Noel,203457.0,1.0,,,,,,,,,,,,
13,PT10M46.00S,2021-12-08T01:41:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,83.78777923784494,49.50980392156863,1610612759,2,2,2021-12-08T01:41:32Z,130000,-2.0,100.0,1,right,MISS D. White 9' floating Shot,[1628401],1610612759.0,SAS,floating,,,White,D. White,,,,,,,,9.99,Missed,,,,,,,,,,,,,,,,
14,PT10M44.00S,2021-12-08T01:41:28.5Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,2,2,2021-12-08T01:41:32Z,140000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M35.00S,2021-12-08T01:41:38.2Z,1,REGULAR,2pt,Jump Shot,[],1629628,24.52365308804205,54.90196078431373,1610612752,2,4,2021-12-08T01:41:43Z,150000,-25.0,178.0,1,left,R. Barrett 17' pullup Jump Shot (2 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,,,,17.97,Made,2.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,
16,PT10M19.00S,2021-12-08T01:41:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.24901445466492,53.67647058823529,1610612759,4,4,2021-12-08T01:42:00Z,160000,18.0,11.0,1,right,J. Poeltl driving finger roll Layup (4 PTS) (D. White 2 AST),"[1627751, 1628401]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,,,,2.14,Made,4.0,D. White,1628401.0,2.0,,,,,,,,,,,,
