actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-04T00:10:14.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-04T00:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-04T00:10:17.8Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-02-04T00:10:17Z,40000,,,0,,Jump Ball B. Adebayo vs. T. Young: Tip to K. Lowry,"[200768, 1628389, 201152]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Young,201152.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-04T00:10:31.4Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,0,0,2022-02-04T00:10:35Z,70000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 201152]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,1.0,Young,201152.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-04T00:10:31.4Z,1,REGULAR,steal,,[],201152,,,1610612759,0,0,2022-02-04T00:10:33Z,80000,,,0,,T. Young STEAL (1 STL),[201152],1610612759.0,SAS,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-02-04T00:10:44.5Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612759,0,0,2022-02-04T00:10:55Z,90000,,,0,,D. White bad pass out-of-bounds TURNOVER (1 TO),[1628401],1610612759.0,SAS,bad pass,,,White,D. White,,,,,1.0,,,1627541.0,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-02-04T00:11:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,6.1268068331143235,51.470588235294116,1610612748,0,2,2022-02-04T00:11:14Z,100000,-7.0,5.0,1,left,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,,,,,0.9,Made,2.0,,,,,,,,,,,,,
11,PT10M59.00S,2022-02-04T00:11:23.6Z,1,REGULAR,3pt,Jump Shot,[],1630170,67.09921156373193,48.03921568627451,1610612759,0,2,2022-02-04T00:11:27Z,110000,-10.0,257.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,25.7,Missed,,,,,,,,,,,,,,
12,PT10M56.00S,2022-02-04T00:11:26.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,2,2022-02-04T00:11:27Z,120000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M44.00S,2022-02-04T00:11:38.6Z,1,REGULAR,2pt,Jump Shot,[],202710,7.966491458607096,26.96078431372549,1610612748,0,2,2022-02-04T00:11:42Z,130000,115.0,22.0,1,left,MISS J. Butler 11' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,,,,,11.74,Missed,,,,,,,,,,,,,,
14,PT10M42.00S,2022-02-04T00:11:40.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,0,2,2022-02-04T00:11:42Z,140000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M35.00S,2022-02-04T00:11:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,84.1819973718791,50.0,1610612759,0,2,2022-02-04T00:11:56Z,150000,0.0,96.0,1,right,MISS K. Johnson 9' turnaround Shot,[1629640],1610612759.0,SAS,turnaround,,,Johnson,K. Johnson,,,,,,,,,9.62,Missed,,,,,,,,,,,,,,
16,PT10M32.00S,2022-02-04T00:11:51.0Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,2,2022-02-04T00:11:56Z,160000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M10.00S,2022-02-04T00:12:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,5.995400788436268,50.73529411764706,1610612748,0,4,2022-02-04T00:12:16Z,170000,-4.0,4.0,1,left,B. Adebayo Layup (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,0.54,Made,4.0,,,,,,,,,,,,,
18,PT09M56.00S,2022-02-04T00:12:26.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,75.24638633377135,14.705882352941178,1610612759,0,4,2022-02-04T00:12:30Z,180000,-176.0,180.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,25.22,Missed,,,,,,,,,,,,,,
19,PT09M53.00S,2022-02-04T00:12:29.0Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,4,2022-02-04T00:12:30Z,190000,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,
20,PT09M46.00S,2022-02-04T00:12:37.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.882391590013142,62.99019607843137,1610612748,0,4,2022-02-04T00:12:41Z,200000,-65.0,247.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,25.56,Missed,,,,,,,,,,,,,,
21,PT09M43.00S,2022-02-04T00:12:39.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,4,2022-02-04T00:12:39Z,210000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT09M29.00S,2022-02-04T00:12:56.1Z,1,REGULAR,foul,personal,[],202710,,,1610612759,0,4,2022-02-04T00:13:02Z,220000,,,0,,J. Butler personal FOUL (1 PF),"[202710, 1628401]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,201246.0,,,,,,,,1.0,0.0,White,1628401.0,,,,,
24,PT09M18.00S,2022-02-04T00:13:26.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,79.84559789750328,92.40196078431373,1610612759,3,4,2022-02-04T00:13:31Z,240000,212.0,137.0,1,right,D. White 25' 3PT  (3 PTS) (T. Jones 1 AST),"[1628401, 1630200]",1610612759.0,SAS,,,,White,D. White,,,,,,,,,25.24,Made,3.0,,,,,,,,,T. Jones,1630200.0,1.0,,
26,PT08M57.00S,2022-02-04T00:13:48.3Z,1,REGULAR,3pt,Jump Shot,[],200782,3.630091984231275,1.4705882352941175,1610612748,3,4,2022-02-04T00:13:53Z,260000,243.0,-18.0,1,left,MISS P. Tucker 24' 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,24.33,Missed,,,,,,,,,,,,,,
27,PT08M54.00S,2022-02-04T00:13:51.3Z,1,REGULAR,rebound,defensive,[],201152,,,1610612759,3,4,2022-02-04T00:13:53Z,270000,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612759.0,SAS,,,,Young,T. Young,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
28,PT08M50.00S,2022-02-04T00:14:00.5Z,1,REGULAR,foul,personal,[],1628389,,,1610612759,3,4,2022-02-04T00:14:08Z,280000,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 201152]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,202035.0,,,,,,,,1.0,0.0,Young,201152.0,,,,,
30,PT08M41.00S,2022-02-04T00:14:26.2Z,1,REGULAR,2pt,Jump Shot,[],1630170,82.21090670170827,21.323529411764707,1610612759,3,4,2022-02-04T00:14:30Z,300000,-143.0,115.0,1,right,MISS D. Vassell 18' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,,,,,18.36,Missed,,,,,,,,,,,,,,
31,PT08M38.00S,2022-02-04T00:14:29.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,3,4,2022-02-04T00:14:30Z,310000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT08M30.00S,2022-02-04T00:14:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,5.732588699080158,49.754901960784316,1610612748,3,6,2022-02-04T00:14:43Z,320000,1.0,1.0,1,left,B. Adebayo reverse Layup (6 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,reverse,,,Adebayo,B. Adebayo,,,,,,,,,0.18,Made,6.0,,,,,,,,,K. Lowry,200768.0,1.0,,
33,PT08M18.00S,2022-02-04T00:14:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,69.20170827858082,26.225490196078432,1610612759,3,6,2022-02-04T00:14:53Z,330000,-119.0,237.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,26.52,Missed,,,,,,,,,,,,,,
34,PT08M15.00S,2022-02-04T00:14:52.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,3,6,2022-02-04T00:14:53Z,340000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,
35,PT07M56.00S,2022-02-04T00:15:10.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629130,12.171484888304862,49.50980392156863,1610612748,3,6,2022-02-04T00:15:54Z,350000,2.0,62.0,1,left,MISS D. Robinson 6' driving floating Shot,[1629130],1610612748.0,MIA,driving floating,,,Robinson,D. Robinson,,,,,,,,,6.2,Missed,,,,,,,,,,,,,,
36,PT07M54.00S,2022-02-04T00:15:12.0Z,1,REGULAR,rebound,defensive,[],201152,,,1610612759,3,6,2022-02-04T00:15:54Z,360000,,,0,,T. Young REBOUND (Off:0 Def:2),[201152],1610612759.0,SAS,,,,Young,T. Young,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,
