actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-11T01:40:44.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T01:40:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-11T01:40:48.9Z,1,REGULAR,jumpball,recovered,[],203090,,,1610612758,0,0,2021-11-11T01:40:48Z,40000,,,0,,Jump Ball R. Holmes vs. D. Eubanks: Tip to M. Harkless,"[203090, 1626158, 1629234]",1610612758.0,SAC,startperiod,M. Harkless,203090.0,Harkless,M. Harkless,Holmes,1626158.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-11T01:40:58.4Z,1,REGULAR,turnover,out-of-bounds,[],1626158,,,1610612758,0,0,2021-11-11T01:41:09Z,70000,,,0,,R. Holmes bad pass out-of-bounds TURNOVER (1 TO),[1626158],1610612758.0,SAC,bad pass,,,Holmes,R. Holmes,,,,,202901.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2021-11-11T01:41:26.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,74.85216819973719,85.29411764705883,1610612759,3,0,2021-11-11T01:41:31Z,80000,176.0,184.0,1,right,K. Johnson 25' 3PT  (3 PTS) (D. McDermott 1 AST),"[1629640, 203926]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,25.49,Made,3.0,D. McDermott,203926.0,1.0,,,,,,,,,,,,,
10,PT11M11.00S,2021-11-11T01:41:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,16.245072273324574,50.98039215686274,1610612758,3,0,2021-11-11T01:41:50Z,100000,-5.0,100.0,1,left,MISS D. Fox 10' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,,,10.03,Missed,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2021-11-11T01:41:48.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,3,0,2021-11-11T01:41:48Z,110000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M00.00S,2021-11-11T01:42:00.8Z,1,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612759,3,0,2021-11-11T01:42:17Z,120000,,,0,,R. Holmes shooting personal FOUL (1 PF) (Eubanks 2 FT),"[1626158, 1629234]",1610612758.0,SAC,shooting,,,Holmes,R. Holmes,,,,,1199.0,,,,,,,,,,,,1.0,0.0,Eubanks,1629234.0,,,,,
14,PT11M00.00S,2021-11-11T01:42:25.8Z,1,REGULAR,freethrow,1 of 2,[],1629234,,,1610612759,4,0,2021-11-11T01:42:25Z,140000,,,0,,D. Eubanks Free Throw 1 of 2 (1 PTS),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
15,PT11M00.00S,2021-11-11T01:42:38.8Z,1,REGULAR,freethrow,2 of 2,[],1629234,,,1610612759,5,0,2021-11-11T01:42:38Z,150000,,,0,,D. Eubanks Free Throw 2 of 2 (2 PTS),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
16,PT10M56.00S,2021-11-11T01:42:44.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,21.76412614980289,90.93137254901961,1610612758,5,0,2021-11-11T01:42:50Z,160000,-205.0,152.0,1,left,MISS B. Hield 25' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,25.5,Missed,,,,,,,,,,,,,,,,,
