actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-12T01:40:17.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-12T01:40:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-12T01:40:19.8Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-12-12T01:40:19Z,40000,,,0,,Jump Ball J. Poeltl vs. N. Jokic: Tip to K. Johnson,"[1629640, 1627751, 203999]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-12T01:40:29.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,75.50919842312747,89.95098039215686,1610612759,0,0,2021-12-12T01:40:35Z,70000,200.0,178.0,1,right,MISS D. White 26' 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-12T01:40:33.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2021-12-12T01:40:35Z,80000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-12T01:40:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,5.601182654402102,55.63725490196079,1610612743,0,2,2021-12-12T01:40:51Z,90000,-28.0,0.0,1,left,A. Gordon Layup (2 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,2.82,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M20.00S,2021-12-12T01:40:56.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,79.97700394218134,94.11764705882352,1610612759,3,2,2021-12-12T01:41:00Z,100000,221.0,136.0,1,right,K. Johnson 25' 3PT  (3 PTS) (J. Poeltl 1 AST),"[1629640, 1627751]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.9,Made,,,,,3.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,
12,PT10M58.00S,2021-12-12T01:41:18.5Z,1,REGULAR,3pt,Jump Shot,[],203932,21.50131406044678,8.088235294117647,1610612743,3,2,2021-12-12T01:41:24Z,120000,210.0,150.0,1,left,MISS A. Gordon 25' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2021-12-12T01:41:21.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,3,2,2021-12-12T01:41:24Z,130000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M51.00S,2021-12-12T01:41:27.2Z,1,REGULAR,foul,personal,[],1628432,,,1610612759,3,2,2021-12-12T01:41:38Z,140000,,,0,,D. Reed personal FOUL (1 PF),"[1628432, 1628401]",1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,1199.0,1.0,0.0,White,1628401.0,,,,,,
16,PT10M43.00S,2021-12-12T01:41:55.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,3,2,2021-12-12T01:41:55Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2021-12-12T01:42:09.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,93.51182654402102,76.9607843137255,1610612759,3,2,2021-12-12T01:42:18Z,170000,135.0,8.0,1,right,MISS D. Murray 13' fadeaway Shot,[1627749],1610612759.0,SAS,fadeaway,,,Murray,D. Murray,,,,,13.51,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2021-12-12T01:42:14.7Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,3,2,2021-12-12T01:42:18Z,180000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M21.00S,2021-12-12T01:42:27.8Z,1,REGULAR,2pt,Jump Shot,[],1628432,25.04927726675427,68.38235294117648,1610612743,3,2,2021-12-12T01:42:32Z,190000,-92.0,183.0,1,left,MISS D. Reed 20' Jump Shot,[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,20.48,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2021-12-12T01:42:31.8Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,3,2,2021-12-12T01:42:32Z,200000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M09.00S,2021-12-12T01:42:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,89.56964520367937,50.73529411764706,1610612759,3,2,2021-12-12T01:43:21Z,210000,4.0,46.0,1,right,MISS J. Poeltl floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,4.57,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2021-12-12T01:42:45.3Z,1,REGULAR,rebound,defensive,[],1628432,,,1610612743,3,2,2021-12-12T01:42:44Z,220000,,,0,,D. Reed REBOUND (Off:0 Def:1),[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT09M56.00S,2021-12-12T01:42:53.4Z,1,REGULAR,turnover,lost ball,[],1628420,,,1610612743,3,2,2021-12-12T01:44:54Z,230000,,,0,,M. Morris lost ball TURNOVER (1 TO),"[1628420, 1628401]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,1.0,White,1628401.0,,,
24,PT09M56.00S,2021-12-12T01:42:53.4Z,1,REGULAR,steal,,[],1628401,,,1610612759,3,2,2021-12-12T01:42:56Z,240000,,,0,,D. White STEAL (1 STL),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M50.00S,2021-12-12T01:42:59.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203926,72.35545335085413,13.23529411764706,1610612759,3,2,2021-12-12T01:43:13Z,250000,-184.0,207.0,1,right,MISS D. McDermott 27' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,27.71,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2021-12-12T01:43:01.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,3,2,2021-12-12T01:43:01Z,260000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M42.00S,2021-12-12T01:43:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.046649145860711,54.41176470588235,1610612743,3,4,2021-12-12T01:45:23Z,270000,-22.0,14.0,1,left,A. Gordon driving Layup (4 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,2.6,Made,,,,,4.0,,,,,,,,,,,,,,
