actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-25T01:40:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T01:40:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-25T01:40:16.8Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-11-25T01:40:16Z,40000,,,0,,Jump Ball C. Capela vs. J. Poeltl: Tip to T. Young,"[1629027, 203991, 1627751]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-25T01:40:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,5.206964520367937,2.450980392156863,1610612737,0,0,2021-11-25T01:40:36Z,70000,238.0,-4.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,23.77,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-25T01:40:30.0Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,0,0,2021-11-25T01:40:36Z,80000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-11-25T01:40:32.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628381,6.389618922470433,49.01960784313725,1610612737,0,0,2021-11-25T01:41:29Z,90000,5.0,8.0,1,left,MISS J. Collins driving DUNK,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,0.9,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2021-11-25T01:40:32.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,0,2021-11-25T01:41:29Z,100000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
11,PT11M40.00S,2021-11-25T01:40:38.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,0,0,2021-11-25T01:40:38Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2021-11-25T01:40:53.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,38.32128777923784,74.50980392156863,1610612737,0,0,2021-11-25T01:41:00Z,120000,-123.0,308.0,1,left,MISS T. Young 33' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,33.12,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2021-11-25T01:40:57.9Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,0,2021-11-25T01:41:00Z,130000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M18.00S,2021-11-25T01:41:08.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629640,93.11760840998686,50.73529411764706,1610612759,2,0,2021-11-25T01:41:15Z,140000,4.0,12.0,1,right,K. Johnson driving DUNK (2 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,1.27,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,
