actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-30T01:40:24.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T01:40:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-30T01:40:27.1Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-11-30T01:40:27Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Gafford: Tip to K. Johnson,"[1629640, 1627751, 1629655]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-30T01:40:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,81.42247043363994,49.50980392156863,1610612759,0,0,2021-11-30T01:40:45Z,70000,-2.0,122.0,1,right,MISS D. White 12' floating Shot,[1628401],1610612759.0,SAS,floating,,,White,D. White,,,,,12.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-30T01:40:41.2Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612759,0,0,2021-11-30T01:40:41Z,80000,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2021-11-30T01:40:43.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629640,77.4802890932983,11.27450980392157,1610612759,3,0,2021-11-30T01:40:47Z,90000,-194.0,159.0,1,right,K. Johnson 25' 3PT  (3 PTS) (D. White 1 AST),"[1629640, 1628401]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.07,Made,,,,,3.0,D. White,1628401.0,1.0,,,,,,,,,,
11,PT11M17.00S,2021-11-30T01:41:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,18.873193166885677,48.529411764705884,1610612764,3,2,2021-11-30T01:41:15Z,110000,7.0,125.0,1,left,K. Kuzma 12' floating Jump Shot (2 PTS),[1628398],1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,12.51,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M03.00S,2021-11-30T01:41:19.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,83.78777923784494,50.98039215686274,1610612759,5,2,2021-11-30T01:41:35Z,120000,5.0,100.0,1,right,J. Poeltl 10' floating Jump Shot (2 PTS) (D. White 2 AST),"[1627751, 1628401]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,10.0,Made,,,,,2.0,D. White,1628401.0,2.0,,,,,,,,,,
14,PT10M52.00S,2021-11-30T01:41:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,5.995400788436268,50.0,1610612764,5,4,2021-11-30T01:41:40Z,140000,0.0,4.0,1,left,D. Gafford driving Layup (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,driving,,,Gafford,D. Gafford,,,,,0.39,Made,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,
16,PT10M38.00S,2021-11-30T01:41:44.9Z,1,REGULAR,3pt,Jump Shot,[],1627749,71.56701708278581,74.01960784313727,1610612759,5,4,2021-11-30T01:41:53Z,160000,120.0,215.0,1,right,MISS D. Murray 24' pullup 3PT,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2021-11-30T01:41:46.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,5,4,2021-11-30T01:41:53Z,170000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2021-11-30T01:41:52.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,5,4,2021-11-30T01:41:52Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2021-11-30T01:42:11.6Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612759,5,4,2021-11-30T01:42:22Z,190000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629655, 1627751]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,,,,202035.0,1.0,0.0,Poeltl,1627751.0,,,,,
21,PT10M31.00S,2021-11-30T01:42:37.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,5,4,2021-11-30T01:42:59Z,210000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,
