actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-02T01:40:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-02T01:40:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-02T01:40:29.9Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-02-02T01:40:29Z,40000,,,0,,Jump Ball J. Poeltl vs. K. Looney: Tip to D. Murray,"[1627749, 1627751, 1626172]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-02T01:40:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,87.99277266754271,50.49019607843137,1610612759,0,0,2022-02-02T01:40:44Z,70000,2.0,60.0,1,right,MISS D. Murray 6' turnaround Shot,[1627749],1610612759.0,SAS,turnaround,,,Murray,D. Murray,,,,,6.05,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-02-02T01:40:41.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,0,0,2022-02-02T01:40:44Z,80000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-02T01:40:55.4Z,1,REGULAR,2pt,Jump Shot,[],1627814,14.931011826544022,29.65686274509804,1610612744,0,2,2022-02-02T01:41:31Z,90000,102.0,88.0,1,left,D. Lee 13' pullup bank Jump Shot (2 PTS) (J. Toscano-Anderson 1 AST),"[1627814, 1629308]",1610612744.0,GSW,pullup bank,,,Lee,D. Lee,,,,,13.44,Made,,,,,2.0,J. Toscano-Anderson,1629308.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2022-02-02T01:41:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,94.43166885676742,51.470588235294116,1610612759,2,2,2022-02-02T01:41:13Z,110000,7.0,0.0,1,right,D. McDermott driving finger roll Layup (2 PTS) (J. Poeltl 1 AST),"[203926, 1627751]",1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,0.74,Made,,,,,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,
13,PT11M04.00S,2022-02-02T01:41:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627814,6.521024967148489,51.470588235294116,1610612744,2,4,2022-02-02T01:43:06Z,130000,-7.0,9.0,1,left,D. Lee driving reverse Layup (4 PTS),[1627814],1610612744.0,GSW,driving reverse,,,Lee,D. Lee,,,,,1.15,Made,,,,,4.0,,,,,,,,,,,,,,
14,PT10M55.00S,2022-02-02T01:41:31.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203926,82.07950065703022,5.637254901960785,1610612759,5,4,2022-02-02T01:41:37Z,140000,-222.0,116.0,1,right,D. McDermott 25' 3PT  (5 PTS) (D. White 1 AST),"[203926, 1628401]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,25.03,Made,,,,,5.0,D. White,1628401.0,1.0,,,,,,,,,,,
16,PT10M39.00S,2022-02-02T01:41:47.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,20.844283837056505,73.0392156862745,1610612744,5,6,2022-02-02T01:41:51Z,160000,-115.0,143.0,1,left,J. Poole 18' pullup Jump Shot (2 PTS),[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,18.39,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT10M24.00S,2022-02-02T01:42:01.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,92.85479632063075,95.58823529411765,1610612759,5,6,2022-02-02T01:44:13Z,170000,228.0,15.0,1,right,MISS D. White 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,22.84,Missed,,,,,,,,,,,,,,,,,,,
