actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-27T01:40:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T01:40:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-27T01:40:14.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-11-27T01:40:14Z,40000,,,0,,Jump Ball A. Horford vs. J. Poeltl: Tip to M. Smart,"[203935, 201143, 1627751]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-27T01:40:22.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.87450722733246,53.18627450980392,1610612738,0,0,2021-11-27T01:40:30Z,70000,16.0,155.0,1,right,MISS J. Brown 15' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,15.63,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-27T01:40:28.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2021-11-27T01:40:35Z,80000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-27T01:40:35.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,6.389618922470433,55.88235294117647,1610612759,0,0,2021-11-27T01:40:53Z,90000,-29.0,8.0,1,left,MISS D. White floating Shot,[1628401],1610612759.0,SAS,floating,,,White,D. White,,,,,3.04,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-27T01:40:40.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-11-27T01:40:40Z,100000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2021-11-27T01:40:47.7Z,1,REGULAR,2pt,Jump Shot,[],201143,91.93495400788436,68.38235294117648,1610612738,0,0,2021-11-27T01:40:59Z,110000,92.0,23.0,1,right,MISS A. Horford 9' floating Shot,[201143],1610612738.0,BOS,floating,,,Horford,A. Horford,,,,,9.48,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2021-11-27T01:40:52.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2021-11-27T01:40:59Z,120000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M11.00S,2021-11-27T01:40:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,19.66162943495401,46.81372549019608,1610612759,2,0,2021-11-27T01:41:12Z,130000,16.0,132.0,1,left,D. Murray 13' pullup Jump Shot (2 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,13.33,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M51.00S,2021-11-27T01:41:17.9Z,1,REGULAR,3pt,Jump Shot,[],201143,94.1688567674113,3.1862745098039214,1610612738,2,0,2021-11-27T01:41:24Z,140000,-234.0,2.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
