actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-27T00:10:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-27T00:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-27T00:10:12.2Z,1,REGULAR,jumpball,recovered,[],1628977,,,1610612765,0,0,2021-12-27T00:10:12Z,40000,,,0,,Jump Ball L. Garza vs. J. Poeltl: Tip to H. Diallo,"[1628977, 1630568, 1627751]",1610612765.0,DET,startperiod,H. Diallo,1628977.0,Diallo,H. Diallo,Garza,1630568.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-27T00:10:21.6Z,1,REGULAR,3pt,Jump Shot,[],1630568,30.042706964520367,76.47058823529412,1610612765,0,0,2021-12-27T00:10:33Z,70000,-132.0,230.0,1,left,MISS L. Garza 26' 3PT,[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-12-27T00:10:24.7Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,0,0,2021-12-27T00:10:24Z,80000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-12-27T00:10:30.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,86.81011826544021,48.28431372549019,1610612759,2,0,2021-12-27T00:10:42Z,90000,-9.0,71.0,1,right,J. Poeltl 7' cutting finger roll Layup (2 PTS) (D. White 1 AST),"[1627751, 1628401]",1610612759.0,SAS,cutting finger roll,,,Poeltl,J. Poeltl,,,,,7.2,Made,,,,,2.0,D. White,1628401.0,1.0,,,,,,,,,,,
11,PT11M27.00S,2021-12-27T00:10:41.3Z,1,REGULAR,3pt,Jump Shot,[],1628402,5.338370565045992,95.83333333333334,1610612765,2,3,2021-12-27T00:10:47Z,110000,-229.0,-2.0,1,left,F. Jackson 3PT  (3 PTS) (D. Walton Jr. 1 AST),"[1628402, 1628476]",1610612765.0,DET,,,,Jackson,F. Jackson,,,,,22.92,Made,,,,,3.0,D. Walton Jr.,1628476.0,1.0,,,,,,,,,,,
13,PT11M13.00S,2021-12-27T00:10:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,93.24901445466492,54.90196078431373,1610612759,4,3,2021-12-27T00:11:07Z,130000,25.0,11.0,1,right,D. McDermott driving finger roll Layup (2 PTS),[203926],1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,2.69,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT11M13.00S,2021-12-27T00:11:09.2Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612765,4,3,2021-12-27T00:11:34Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2021-12-27T00:11:12.1Z,1,REGULAR,2pt,Jump Shot,[],1628402,14.011169513797633,25.245098039215684,1610612765,4,3,2021-12-27T00:11:24Z,150000,124.0,79.0,1,left,MISS F. Jackson 14' pullup bank Shot,[1628402],1610612765.0,DET,pullup bank,,,Jackson,F. Jackson,,,,,14.7,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2021-12-27T00:11:14.9Z,1,REGULAR,rebound,offensive,[],1630568,,,1610612765,4,3,2021-12-27T00:11:14Z,160000,,,0,,L. Garza REBOUND (Off:1 Def:0),[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
