actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-21T00:42:10.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T00:42:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-21T00:42:13.6Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-10-21T00:42:13Z,40000,,,0,,Jump Ball J. Poeltl vs. M. Bamba: Tip to K. Johnson,"[1629640, 1627751, 1628964]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-21T00:42:29.8Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612759,0,0,2021-10-21T00:42:40Z,70000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Johnson 2 FT),"[1628964, 1629640]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,1151.0,1.0,0.0,Johnson,1629640.0,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-10-21T00:42:51.3Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,0,0,2021-10-21T00:42:51Z,90000,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M45.00S,2021-10-21T00:42:51.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,0,2021-10-21T00:42:51Z,100000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M45.00S,2021-10-21T00:42:58.8Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,1,0,2021-10-21T00:42:58Z,110000,,,0,,K. Johnson Free Throw 2 of 2 (1 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M27.00S,2021-10-21T00:43:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,7.178055190538765,44.36274509803921,1610612753,1,2,2021-10-21T00:43:27Z,120000,28.0,15.0,1,left,M. Bamba driving finger roll Layup (2 PTS),[1628964],1610612753.0,ORL,driving finger roll,,,Bamba,M. Bamba,,,,,,,,,,Made,,2.0,3.19,,,,,,,,,,,,
13,PT11M12.00S,2021-10-21T00:43:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,91.80354796320631,49.754901960784316,1610612759,1,2,2021-10-21T00:43:41Z,130000,-1.0,25.0,1,right,MISS D. McDermott driving finger roll Layup - blocked,"[203926, 1628964]",1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,,,,,,Missed,,,2.45,Bamba,1628964.0,,,,,,,,,,
42,PT11M12.00S,2021-10-21T00:43:32.8Z,1,REGULAR,block,,[],1628964,,,1610612759,1,2,2021-10-21T00:48:51Z,135000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2021-10-21T00:43:34.8Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,1,2,2021-10-21T00:43:41Z,140000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,
15,PT11M07.00S,2021-10-21T00:43:38.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628964,28.597240473061763,74.75490196078431,1610612753,1,5,2021-10-21T00:43:45Z,150000,-124.0,216.0,1,left,M. Bamba 24' 3PT  (5 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,Made,,5.0,24.92,,,,,,C. Anthony,1630175.0,1.0,,,,
17,PT10M51.00S,2021-10-21T00:43:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,93.24901445466492,53.67647058823529,1610612759,3,5,2021-10-21T00:44:03Z,170000,18.0,11.0,1,right,D. Murray Layup (2 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,Made,,2.0,2.14,,,,,,,,,,,,
18,PT10M40.00S,2021-10-21T00:44:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,6.258212877792378,55.392156862745104,1610612753,3,7,2021-10-21T00:44:14Z,180000,-27.0,6.0,1,left,C. Anthony cutting Layup (2 PTS) (W. Carter Jr. 1 AST),"[1630175, 1628976]",1610612753.0,ORL,cutting,,,Anthony,C. Anthony,,,,,,,,,,Made,,2.0,2.77,,,,,,W. Carter Jr.,1628976.0,1.0,,,,
20,PT10M27.00S,2021-10-21T00:44:21.5Z,1,REGULAR,2pt,Jump Shot,[],1629640,84.05059132720105,23.284313725490197,1610612759,5,7,2021-10-21T00:44:26Z,200000,-134.0,97.0,1,right,K. Johnson 16' pullup Jump Shot (3 PTS),[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,,,,,,Made,,3.0,16.53,,,,,,,,,,,,
22,PT10M14.00S,2021-10-21T00:44:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.601182654402102,51.71568627450981,1610612753,5,9,2021-10-21T00:44:43Z,220000,-9.0,0.0,1,left,F. Wagner reverse Layup (2 PTS) (M. Bamba 1 AST),"[1630532, 1628964]",1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,,,,,,Made,,2.0,0.86,,,,,,M. Bamba,1628964.0,1.0,,,,
24,PT10M02.00S,2021-10-21T00:44:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.03745072273325,47.05882352941176,1610612759,5,9,2021-10-21T00:44:52Z,240000,-15.0,4.0,1,right,MISS J. Poeltl driving finger roll Layup,[1627751],1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,,,,,,Missed,,,1.51,,,,,,,,,,,,
25,PT10M00.00S,2021-10-21T00:44:50.1Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,5,9,2021-10-21T00:44:52Z,250000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,24.0,,,,,1.0,1.0,0.0,,,,,,,
26,PT09M47.00S,2021-10-21T00:45:04.5Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,5,9,2021-10-21T00:45:15Z,260000,,,0,,J. Suggs lost ball TURNOVER (1 TO),"[1630591, 1628401]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,1.0,White,1628401.0,
27,PT09M47.00S,2021-10-21T00:45:04.5Z,1,REGULAR,steal,,[],1628401,,,1610612759,5,9,2021-10-21T00:45:06Z,270000,,,0,,D. White STEAL (1 STL),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M39.00S,2021-10-21T00:45:12.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,70.51576872536137,72.30392156862744,1610612759,8,9,2021-10-21T00:45:17Z,280000,112.0,225.0,1,right,D. White 25' 3PT  (3 PTS) (D. Murray 1 AST),"[1628401, 1627749]",1610612759.0,SAS,,,,White,D. White,,,,,,,,,,Made,,3.0,25.08,,,,,,D. Murray,1627749.0,1.0,,,,
30,PT09M18.00S,2021-10-21T00:45:36.0Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612753,8,9,2021-10-21T00:45:52Z,300000,,,0,,D. White shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1628401, 1628976]",1610612759.0,SAS,shooting,,,White,D. White,,,,,1151.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,
32,PT09M18.00S,2021-10-21T00:46:07.1Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,8,10,2021-10-21T00:46:07Z,320000,,,0,,W. Carter Jr. Free Throw 1 of 2 (1 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
33,PT09M18.00S,2021-10-21T00:46:26.2Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,8,11,2021-10-21T00:46:26Z,330000,,,0,,W. Carter Jr. Free Throw 2 of 2 (2 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Made,,2.0,,,,,,,,,,,,,
34,PT09M06.00S,2021-10-21T00:46:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,94.69448094612353,51.71568627450981,1610612759,8,11,2021-10-21T00:46:50Z,340000,9.0,-3.0,1,right,MISS D. Murray driving finger roll Layup,[1627749],1610612759.0,SAS,driving finger roll,,,Murray,D. Murray,,,,,,,,,,Missed,,,0.9,,,,,,,,,,,,
35,PT09M04.00S,2021-10-21T00:46:45.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,8,11,2021-10-21T00:46:50Z,350000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,34.0,,,,,1.0,1.0,0.0,,,,,,,
36,PT08M59.00S,2021-10-21T00:46:49.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630591,18.610381077529567,37.5,1610612753,8,13,2021-10-21T01:49:09Z,360000,62.0,122.0,1,left,J. Suggs 13' floating Jump Shot (2 PTS),[1630591],1610612753.0,ORL,floating,,,Suggs,J. Suggs,,,,,,,,,,Made,,2.0,13.74,,,,,,,,,,,,
37,PT08M45.00S,2021-10-21T00:47:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203926,87.86136662286465,43.627450980392155,1610612759,8,13,2021-10-21T00:47:25Z,370000,-32.0,62.0,1,right,MISS D. McDermott 6' driving floating Shot,[203926],1610612759.0,SAS,driving floating,,,McDermott,D. McDermott,,,,,,,,,,Missed,,,6.94,,,,,,,,,,,,
38,PT08M41.00S,2021-10-21T00:47:07.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,8,13,2021-10-21T00:47:07Z,380000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,37.0,,,,,1.0,0.0,1.0,,,,,,,
39,PT08M41.00S,2021-10-21T00:47:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.40999984741211,50.0,1610612759,10,13,2021-10-21T00:47:07Z,390000,0.0,0.0,1,right,J. Poeltl tip Layup (2 PTS),[1627751],1610612759.0,SAS,tip,,,Poeltl,J. Poeltl,,,,,,,,,,Made,,2.0,0.0,,,,,,,,,,,,
40,PT08M27.00S,2021-10-21T00:47:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,9.543363994743759,44.11764705882353,1610612753,10,15,2021-10-21T00:47:29Z,400000,29.0,37.0,1,left,F. Wagner Layup (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,Made,,4.0,4.74,,,,,,,,,,,,
41,PT08M26.00S,2021-10-21T00:47:33.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,15,2021-10-21T00:47:33Z,410000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M19.00S,2021-10-21T00:50:28.7Z,1,REGULAR,foul,offensive,[],1627751,,,1610612759,10,15,2021-10-21T00:50:38Z,420000,,,0,,J. Poeltl offensive FOUL (1 PF),"[1627751, 1630591]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,1628954.0,1.0,0.0,Suggs,1630591.0,,,,,,,,,,,,,,,,
45,PT08M19.00S,2021-10-21T00:50:28.7Z,1,REGULAR,turnover,offensive foul,[],1627751,,,1610612759,10,15,2021-10-21T00:50:28Z,440000,,,0,,J. Poeltl offensive foul TURNOVER (1 TO),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,1628954.0,,,,,,,,,,,,,,,,,1.0,,,
46,PT07M55.00S,2021-10-21T00:51:02.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628976,9.411957950065702,42.15686274509804,1610612753,10,15,2021-10-21T00:51:09Z,450000,39.0,36.0,1,left,MISS W. Carter Jr. Hook,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Missed,,,5.32,,,,,,,,,,,,
47,PT07M53.00S,2021-10-21T00:51:04.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,10,15,2021-10-21T00:51:04Z,460000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,46.0,,,,,2.0,1.0,1.0,,,,,,,
48,PT07M45.00S,2021-10-21T00:51:14.0Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612759,10,15,2021-10-21T00:51:31Z,470000,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1628964]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,1.0,Bamba,1628964.0,
49,PT07M45.00S,2021-10-21T00:51:14.0Z,1,REGULAR,steal,,[],1628964,,,1610612753,10,15,2021-10-21T00:51:26Z,480000,,,0,,M. Bamba STEAL (1 STL),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M45.00S,2021-10-21T00:51:28.4Z,1,REGULAR,turnover,out-of-bounds,[],1628964,,,1610612753,10,15,2021-10-21T00:51:38Z,490000,,,0,,M. Bamba lost ball out-of-bounds TURNOVER (1 TO),[1628964],1610612753.0,ORL,lost ball,,,Bamba,M. Bamba,,,,,202049.0,,,,,,,,,,,,,,,,,1.0,,,
51,PT07M45.00S,2021-10-21T00:51:33.9Z,1,REGULAR,substitution,out,[],1630532,,,1610612759,10,15,2021-10-21T00:51:44Z,500000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2021-10-21T00:51:33.9Z,1,REGULAR,substitution,in,[],203082,,,1610612759,10,15,2021-10-21T00:51:44Z,510000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M37.00S,2021-10-21T00:51:48.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628401,95.0886990801577,46.32352941176471,1610612759,10,15,2021-10-21T00:51:52Z,520000,-18.0,-6.0,1,right,MISS D. White Layup,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,Missed,,,1.94,,,,,,,,,,,,
54,PT07M34.00S,2021-10-21T00:51:51.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,10,15,2021-10-21T00:51:52Z,530000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,53.0,,,,,2.0,2.0,0.0,,,,,,,
55,PT07M23.00S,2021-10-21T00:52:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,5.469776609724048,42.64705882352941,1610612753,10,15,2021-10-21T00:52:09Z,540000,37.0,-1.0,1,left,MISS C. Anthony driving Layup,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,,,,,,Missed,,,3.68,,,,,,,,,,,,
56,PT07M22.00S,2021-10-21T00:52:03.7Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,10,15,2021-10-21T00:52:03Z,550000,,,0,,C. Anthony REBOUND (Off:1 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,55.0,,,,,2.0,1.0,1.0,,,,,,,
57,PT07M15.00S,2021-10-21T00:52:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,4.944152431011826,53.431372549019606,1610612753,10,17,2021-10-21T00:52:14Z,560000,-17.0,-6.0,1,left,W. Carter Jr. Layup (4 PTS) (M. Bamba 2 AST),"[1628976, 1628964]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Made,,4.0,1.82,,,,,,M. Bamba,1628964.0,2.0,,,,
59,PT07M05.00S,2021-10-21T00:52:22.7Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612759,10,17,2021-10-21T00:52:31Z,580000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Johnson 2 FT),"[1628976, 1629640]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,1151.0,1.0,0.0,Johnson,1629640.0,,,,,,,,,,,,,,,,
61,PT07M05.00S,2021-10-21T00:52:46.3Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,10,17,2021-10-21T00:52:46Z,600000,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
