actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-23T01:40:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T01:40:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-23T01:40:21.9Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-11-23T01:40:21Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Ayton: Tip to D. Murray,"[1627749, 1627751, 1629028]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-23T01:40:42.8Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612759,0,0,2021-11-23T01:41:08Z,70000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1628969, 1627751]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,203591.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-11-23T01:41:16.1Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,0,0,2021-11-23T01:41:41Z,90000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M38.00S,2021-11-23T01:41:16.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,0,0,2021-11-23T01:41:41Z,100000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M38.00S,2021-11-23T01:41:16.1Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,0,0,2021-11-23T01:41:41Z,110000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,Missed,,,,,,,,,,,,,,,
12,PT11M36.00S,2021-11-23T01:41:18.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-11-23T01:41:41Z,120000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M23.00S,2021-11-23T01:41:50.2Z,1,REGULAR,3pt,Jump Shot,[],203109,67.62483574244416,30.392156862745097,1610612756,0,3,2021-11-23T01:41:56Z,130000,-98.0,252.0,1,right,J. Crowder 27' 3PT  (3 PTS) (D. Booker 1 AST),"[203109, 1626164]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,Made,,,,,27.02,3.0,D. Booker,1626164.0,1.0,,,,,,
15,PT11M05.00S,2021-11-23T01:42:08.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,21.895532194480946,54.41176470588235,1610612759,2,3,2021-11-23T01:42:17Z,150000,-22.0,153.0,1,left,D. Murray 15' pullup Jump Shot (2 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,,,,Made,,,,,15.49,2.0,,,,,,,,,
16,PT10M43.00S,2021-11-23T01:42:29.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,80.55190538764782,68.65042892156863,1610612756,2,3,2021-11-23T01:42:38Z,160000,93.0,130.0,1,right,MISS D. Booker 16' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,Missed,,,,,16.03,,,,,,,,,,
17,PT10M40.00S,2021-11-23T01:42:32.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,2,3,2021-11-23T01:42:38Z,170000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M35.00S,2021-11-23T01:42:37.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628401,15.193823915900131,32.35294117647059,1610612759,4,3,2021-11-23T01:44:13Z,180000,88.0,90.0,1,left,D. White 12' floating Jump Shot (2 PTS),[1628401],1610612759.0,SAS,floating,,,White,D. White,,,,,,,,,,Made,,,,,12.62,2.0,,,,,,,,,
19,PT10M16.00S,2021-11-23T01:42:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,84.57621550591328,55.63725490196079,1610612756,4,5,2021-11-23T01:43:07Z,190000,28.0,92.0,1,right,C. Paul 9' pullup Jump Shot (2 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,,,,,,Made,,,,,9.67,2.0,,,,,,,,,
20,PT10M00.00S,2021-11-23T01:43:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,8.754927726675426,44.85294117647059,1610612759,4,5,2021-11-23T01:43:26Z,200000,26.0,30.0,1,left,MISS D. White driving floating Shot,[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,,,,,,Missed,,,,,3.94,,,,,,,,,,
21,PT09M52.00S,2021-11-23T01:43:21.2Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,4,5,2021-11-23T01:43:26Z,210000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,
22,PT09M52.00S,2021-11-23T01:43:21.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,5.590000152587891,50.0,1610612759,6,5,2021-11-23T01:43:21Z,220000,0.0,0.0,1,left,K. Bates-Diop tip Layup (2 PTS),[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,Made,,,,,0.0,2.0,,,,,,,,,
23,PT09M50.00S,2021-11-23T01:43:23.8Z,1,REGULAR,3pt,Jump Shot,[],203109,77.7431011826544,88.48039215686273,1610612756,6,5,2021-11-23T01:43:31Z,230000,192.0,157.0,1,right,MISS J. Crowder 24' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,Missed,,,,,24.81,,,,,,,,,,
24,PT09M45.00S,2021-11-23T01:43:28.8Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,6,5,2021-11-23T01:43:31Z,240000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
