actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-04-02T00:41:26.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T00:41:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-02T00:41:29.3Z,1,REGULAR,jumpball,recovered,[],1630535,,,1610612757,0,0,2022-04-02T00:41:29Z,40000,,,0,,Jump Ball D. Eubanks vs. J. Poeltl: Tip to G. Brown III,"[1630535, 1629234, 1627751]",1610612757.0,POR,startperiod,G. Brown III,1630535.0,Brown III,G. Brown III,Eubanks,1629234.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-02T00:41:46.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629234,7.35873850197109,52.428002450980394,1610612757,0,0,2022-04-02T00:41:58Z,70000,-12.0,17.0,1,left,MISS D. Eubanks Layup - blocked,"[1629234, 1627751]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,2.06,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-04-02T00:41:46.9Z,1,REGULAR,block,,[],1627751,,,1610612757,0,0,2022-04-02T00:41:49Z,80000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-04-02T00:41:46.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,0,2022-04-02T00:41:58Z,90000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-04-02T00:41:52.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2022-04-02T00:41:52Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-04-02T00:42:07.4Z,1,REGULAR,3pt,Jump Shot,[],1630563,71.96123521681997,20.098039215686274,1610612759,0,0,2022-04-02T00:42:16Z,110000,-150.0,211.0,1,right,MISS J. Primo 25' 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2022-04-02T00:42:10.4Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,0,0,2022-04-02T00:42:16Z,120000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M13.00S,2022-04-02T00:42:20.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630535,4.681340341655716,49.26470588235294,1610612757,0,2,2022-04-02T00:42:26Z,130000,4.0,-8.0,1,left,G. Brown III cutting DUNK (2 PTS) (C. Elleby 1 AST),"[1630535, 1629604]",1610612757.0,POR,cutting,,,Brown III,G. Brown III,,,,,0.93,Made,,,,,,,2.0,C. Elleby,1629604.0,1.0,,,,,,,,,
15,PT11M01.00S,2022-04-02T00:42:32.2Z,1,REGULAR,turnover,bad pass,[],1629640,,,1610612759,0,2,2022-04-02T00:42:44Z,150000,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1629640, 1630535]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,1.0,Brown III,1630535.0,,,,,,
