actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-05T01:40:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T01:40:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT12M00.00S,2022-02-05T01:40:35.3Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-02-05T01:47:48Z,35000,,,0,,Jump Ball C. Wood vs. J. Poeltl: Tip to K. Porter Jr.,"[1629645, 1626174, 1627751]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
4,PT11M41.00S,2022-02-05T01:40:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.389618922470433,55.88235294117647,1610612745,0,0,2022-02-05T01:40:52Z,40000,-29.0,8.0,1,left,MISS E. Gordon driving finger roll Layup,[201569],1610612745.0,HOU,driving finger roll,,,Gordon,E. Gordon,,,,,3.04,Missed,,,,,,,,,,,,,,,,,,
5,PT11M39.00S,2022-02-05T01:40:46.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-02-05T01:40:52Z,50000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6,PT11M29.00S,2022-02-05T01:40:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.24901445466492,46.07843137254902,1610612759,2,0,2022-02-05T01:41:08Z,60000,-20.0,11.0,1,right,J. Poeltl reverse Layup (2 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,2.25,Made,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,
8,PT11M19.00S,2022-02-05T01:41:08.7Z,1,REGULAR,foul,personal,[],203926,,,1610612745,2,0,2022-02-05T01:41:15Z,80000,,,0,,D. McDermott personal FOUL (1 PF),"[203926, 1629645]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Porter Jr.,1629645.0,,,,,
13,PT11M08.00S,2022-02-05T01:41:33.8Z,1,REGULAR,3pt,Jump Shot,[],1626174,31.225361366622867,78.92156862745098,1610612745,2,3,2022-02-05T01:42:01Z,100000,-145.0,241.0,1,left,C. Wood 28' 3PT  (3 PTS) (J. Green 1 AST),"[1626174, 1630224]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,28.11,Made,,,,,3.0,J. Green,1630224.0,1.0,,,,,,,,,,
15,PT10M46.00S,2022-02-05T01:41:55.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,84.31340341655716,44.6078431372549,1610612759,4,3,2022-02-05T01:42:06Z,120000,-27.0,95.0,1,right,J. Poeltl 9' Hook (4 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,9.88,Made,,,,,4.0,,,,,,,,,,,,,
16,PT10M36.00S,2022-02-05T01:42:06.2Z,1,REGULAR,3pt,Jump Shot,[],1629645,20.05584756898817,92.40196078431373,1610612745,4,3,2022-02-05T01:42:32Z,130000,-212.0,136.0,1,left,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2022-02-05T01:42:09.5Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,4,3,2022-02-05T01:42:09Z,140000,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
