actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-04T00:40:07.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T00:40:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-04T00:40:09.4Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-11-04T00:40:09Z,40000,,,0,,Jump Ball D. Eubanks vs. D. Powell: Tip to D. Murray,"[1627749, 1629234, 203939]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Eubanks,1629234.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-04T00:40:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629234,92.85479632063075,44.85294117647059,1610612759,0,0,2021-11-04T00:40:27Z,70000,-26.0,15.0,1,right,MISS D. Eubanks cutting Layup,[1629234],1610612759.0,SAS,cutting,,,Eubanks,D. Eubanks,,,,,2.96,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-04T00:40:24.5Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,0,2021-11-04T00:40:27Z,80000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-11-04T00:40:36.8Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612742,0,0,2021-11-04T00:40:53Z,90000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Doncic 2 FT),"[1629640, 1629029]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,,,,,,,204058.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,
11,PT11M32.00S,2021-11-04T00:41:05.4Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,0,0,2021-11-04T00:42:25Z,110000,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2021-11-04T00:41:05.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,0,0,2021-11-04T00:42:25Z,120000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2021-11-04T00:41:05.4Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,0,0,2021-11-04T00:42:25Z,130000,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M30.00S,2021-11-04T00:41:07.4Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,0,0,2021-11-04T00:42:25Z,140000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M22.00S,2021-11-04T00:41:33.4Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612759,0,0,2021-11-04T00:41:57Z,150000,,,0,,L. Doncic shooting personal FOUL (1 PF) (Johnson 2 FT),"[1629029, 1629640]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,,,,,,,2715.0,1.0,0.0,Johnson,1629640.0,,,,,,,,,,
