actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-29T01:10:24.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T01:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-29T01:10:27.2Z,1,REGULAR,jumpball,recovered,[],1627747,,,1610612754,0,0,2022-01-29T01:10:27Z,40000,,,0,,Jump Ball D. Sabonis vs. J. Robinson-Earl: Tip to C. LeVert,"[1627747, 1627734, 1630526]",1610612754.0,IND,startperiod,C. LeVert,1627747.0,LeVert,C. LeVert,Sabonis,1627734.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-29T01:10:43.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,93.38042049934296,36.27450980392157,1610612754,0,2,2022-01-29T01:11:45Z,70000,-69.0,10.0,1,right,D. Sabonis 6' turnaround Hook (2 PTS),[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,6.93,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-01-29T01:11:01.1Z,1,REGULAR,3pt,Jump Shot,[],1630544,32.276609724047304,72.54901960784314,1610612760,0,2,2022-01-29T01:11:06Z,80000,-113.0,251.0,1,left,MISS T. Mann 27' 3PT,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,27.5,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-01-29T01:11:04.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,0,2,2022-01-29T01:11:06Z,90000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M08.00S,2022-01-29T01:11:15.7Z,1,REGULAR,2pt,Jump Shot,[],1630537,77.87450722733246,55.63725490196079,1610612754,0,4,2022-01-29T01:11:20Z,100000,28.0,155.0,1,right,C. Duarte 15' pullup Jump Shot (2 PTS) (C. LeVert 1 AST),"[1630537, 1627747]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,15.8,Made,2.0,,,,,C. LeVert,1627747.0,1.0,,,,,,,,,,,
11,PT10M52.00S,2022-01-29T01:11:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,10.5946123521682,52.94117647058824,1610612760,0,4,2022-01-29T01:12:50Z,110000,-15.0,47.0,1,left,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.93,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2022-01-29T01:11:33.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,0,4,2022-01-29T01:11:34Z,120000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT10M37.00S,2022-01-29T01:11:45.7Z,1,REGULAR,3pt,Jump Shot,[],1628470,66.5735873850197,69.11764705882352,1610612754,0,4,2022-01-29T01:11:49Z,130000,96.0,262.0,1,right,MISS T. Craig 27' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,27.86,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M36.00S,2022-01-29T01:11:46.7Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,0,4,2022-01-29T01:11:49Z,140000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
