actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-09T01:10:22.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-09T01:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-09T01:10:24.5Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-03-09T01:10:24Z,40000,,,0,,Jump Ball B. Portis vs. I. Roby: Tip to G. Antetokounmpo,"[203507, 1626171, 1629676]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-09T01:10:38.0Z,1,REGULAR,3pt,Jump Shot,[],1626171,28.07161629434954,20.833333333333336,1610612749,0,0,2022-03-09T01:10:42Z,70000,146.0,211.0,1,left,MISS B. Portis 25' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-09T01:10:40.0Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,0,0,2022-03-09T01:10:42Z,80000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-09T01:10:51.6Z,1,REGULAR,3pt,Jump Shot,[],1629676,66.17936925098554,52.69607843137255,1610612760,3,0,2022-03-09T01:10:57Z,90000,13.0,265.0,1,right,I. Roby 26' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629676, 1628983]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,26.57,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
11,PT11M18.00S,2022-03-09T01:11:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,19.793035479632064,50.0,1610612749,3,0,2022-03-09T01:11:34Z,110000,0.0,134.0,1,left,MISS G. Antetokounmpo 13' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,13.36,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-03-09T01:11:07.2Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,3,0,2022-03-09T01:11:08Z,120000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M13.00S,2022-03-09T01:11:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,6.652431011826544,49.754901960784316,1610612749,3,2,2022-03-09T01:11:11Z,130000,1.0,10.0,1,left,B. Portis putback Layup (2 PTS),[1626171],1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,1.01,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M02.00S,2022-03-09T01:11:18.5Z,1,REGULAR,3pt,Jump Shot,[],1630544,68.15045992115637,68.38235294117648,1610612760,6,2,2022-03-09T01:11:25Z,140000,92.0,247.0,1,right,T. Mann 26' 3PT pullup (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630544, 1628983]",1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,26.34,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,
16,PT10M53.00S,2022-03-09T01:11:28.1Z,1,REGULAR,turnover,lost ball,[],203114,,,1610612749,6,2,2022-03-09T01:11:33Z,160000,,,0,,K. Middleton lost ball TURNOVER (1 TO),"[203114, 1628983]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,
