actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-15T00:10:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-15T00:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-15T00:10:24.9Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2021-11-15T00:10:24Z,40000,,,0,,Jump Ball J. Robinson-Earl vs. B. Griffin: Tip to J. Giddey,"[1630581, 1630526, 201933]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Robinson-Earl,1630526.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-15T00:10:41.0Z,1,REGULAR,3pt,Jump Shot,[],1630526,20.18725361366623,6.127450980392156,1610612760,0,0,2021-11-15T00:10:47Z,70000,219.0,137.0,1,left,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-11-15T00:10:44.0Z,1,REGULAR,rebound,offensive,[],1629647,,,1610612760,0,0,2021-11-15T00:10:47Z,80000,,,0,,D. Bazley REBOUND (Off:1 Def:0),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2021-11-15T00:10:51.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,22.158344283837057,88.23529411764706,1610612760,0,0,2021-11-15T00:11:01Z,90000,-191.0,156.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.66,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2021-11-15T00:10:53.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2021-11-15T00:16:24Z,100000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-11-15T00:11:12.7Z,1,REGULAR,2pt,Jump Shot,[],201142,95.0886990801577,85.29411764705883,1610612751,0,2,2021-11-15T00:16:30Z,120000,176.0,-6.0,1,right,K. Durant 17' Jump Shot (2 PTS) (J. Harris 1 AST),"[201142, 203925]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,17.66,Made,,,,,2.0,J. Harris,203925.0,1.0,,,,,,,,,,,
13,PT11M10.00S,2021-11-15T00:11:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,6.521024967148489,50.49019607843137,1610612760,0,2,2021-11-15T00:11:26Z,130000,-2.0,9.0,1,left,MISS D. Bazley Layup,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,0.91,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-11-15T00:11:24.4Z,1,REGULAR,rebound,offensive,[],1629647,,,1610612760,0,2,2021-11-15T00:11:26Z,140000,,,0,,D. Bazley REBOUND (Off:2 Def:0),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,13.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
15,PT11M07.00S,2021-11-15T00:11:24.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629647,5.590000152587891,50.0,1610612760,0,2,2021-11-15T00:11:29Z,150000,0.0,0.0,1,left,MISS D. Bazley tip Layup,[1629647],1610612760.0,OKC,tip,,,Bazley,D. Bazley,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
