actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-16T00:49:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T00:49:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT12M00.00S,2022-01-16T01:00:43.7Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2022-01-16T01:12:33Z,27500,,,0,,Jump Ball D. Favors vs. J. Allen: Tip to L. Dort,"[1629652, 202324, 1628386]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Favors,202324.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
3,PT11M36.00S,2022-01-16T01:11:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1630205,,,1610612760,0,0,2022-01-16T01:11:46Z,30000,,,0,,L. Stevens shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630205, 1628983]",1610612739.0,CLE,shooting,,,Stevens,L. Stevens,,,,,2005.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
5,PT11M36.00S,2022-01-16T01:12:09.9Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,0,0,2022-01-16T01:12:15Z,50000,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,Missed,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-16T01:12:09.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,0,0,2022-01-16T01:12:15Z,55000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
6,PT11M36.00S,2022-01-16T01:12:09.9Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,1,0,2022-01-16T01:12:15Z,60000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
8,PT11M20.00S,2022-01-16T01:12:29.9Z,1,REGULAR,2pt,Jump Shot,[],1630596,87.86136662286465,28.186274509803923,1610612739,1,0,2022-01-16T01:13:18Z,70000,-109.0,62.0,1,right,MISS E. Mobley 12' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,,,,,,Missed,,,12.53,,,,,,,,,,,
9,PT11M16.00S,2022-01-16T01:12:33.9Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,1,0,2022-01-16T01:12:35Z,80000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,8.0,,,1.0,1.0,0.0,,,,,,,,
14,PT11M05.00S,2022-01-16T01:12:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,11.383048620236531,43.872549019607845,1610612760,1,0,2022-01-16T01:13:54Z,90000,31.0,55.0,1,left,MISS S. Gilgeous-Alexander 6' driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,Missed,,,6.25,,,,,,,,,,,
15,PT11M05.00S,2022-01-16T01:12:43.9Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,1,0,2022-01-16T01:12:50Z,100000,,,0,,D. Favors REBOUND (Off:1 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,14.0,,,2.0,1.0,1.0,,,,,,,,
16,PT11M04.00S,2022-01-16T01:12:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202324,7.5722733245729295,45.34313725490196,1610612760,1,0,2022-01-16T01:12:54Z,110000,23.0,19.0,1,left,MISS D. Favors putback Layup,[202324],1610612760.0,OKC,putback,,,Favors,D. Favors,,,,,,,,,,Missed,,,2.99,,,,,,,,,,,
17,PT11M02.00S,2022-01-16T01:12:47.8Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,1,0,2022-01-16T01:12:47Z,120000,,,0,,D. Favors REBOUND (Off:2 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,16.0,,,3.0,1.0,2.0,,,,,,,,
