actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-28T00:10:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-28T00:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-28T00:10:23.4Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2021-10-28T00:10:23Z,40000,,,0,,Jump Ball D. Favors vs. D. Jordan: Tip to S. Gilgeous-Alexander,"[1628983, 202324, 201599]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Favors,202324.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-28T00:10:41.8Z,1,REGULAR,turnover,out-of-bounds,[],1629647,,,1610612760,0,0,2021-10-28T00:10:49Z,70000,,,0,,D. Bazley step out-of-bounds TURNOVER (1 TO),[1629647],1610612760.0,OKC,step,,,Bazley,D. Bazley,,,,,204058.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2021-10-28T00:11:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203076,79.05716162943496,38.72549019607843,1610612747,0,0,2021-10-28T00:11:10Z,80000,-56.0,144.0,1,right,MISS A. Davis 15' pullup Shot,[203076],1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,,,15.5,Missed,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2021-10-28T00:11:07.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,0,0,2021-10-28T00:11:10Z,90000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2021-10-28T00:11:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,11.645860709592641,51.71568627450981,1610612760,0,0,2021-10-28T00:11:26Z,100000,-9.0,57.0,1,left,MISS L. Dort driving floating Shot,[1629652],1610612760.0,OKC,driving floating,,,Dort,L. Dort,,,,,,,5.76,Missed,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2021-10-28T00:11:23.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,0,2021-10-28T00:11:26Z,110000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M04.00S,2021-10-28T00:11:32.8Z,1,REGULAR,2pt,Jump Shot,[],201566,75.1149802890933,75.98039215686273,1610612747,0,0,2021-10-28T00:30:56Z,120000,130.0,181.0,1,right,MISS R. Westbrook 22' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,,,22.31,Missed,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2021-10-28T00:11:34.8Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2021-10-28T00:32:33Z,130000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M55.00S,2021-10-28T00:11:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,5.995400788436268,48.28431372549019,1610612760,0,0,2021-10-28T00:11:44Z,140000,9.0,4.0,1,left,MISS J. Giddey driving Layup - blocked,"[1630581, 201599]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,,0.94,Missed,,,,,Jordan,201599.0,,,,,,,,,,,
