actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-03T00:10:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-03T00:10:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-03T00:10:16.2Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2022-01-03T00:10:16Z,40000,,,0,,Jump Ball D. Powell vs. I. Roby: Tip to L. Doncic,"[1629029, 203939, 1629676]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-03T00:10:34.3Z,1,REGULAR,foul,personal,[],1629660,,,1610612742,0,0,2022-01-03T00:10:46Z,70000,,,0,,T. Jerome personal FOUL (1 PF),"[1629660, 1629029]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,1628484.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-01-03T00:11:07.9Z,1,REGULAR,violation,kicked ball,[],1629676,,,1610612742,0,0,2022-01-03T00:11:18Z,90000,,,0,,I. Roby kicked ball VIOLATION,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,1201.0,,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-01-03T00:11:24.1Z,1,REGULAR,2pt,Jump Shot,[],1628973,89.83245729303549,23.52941176470588,1610612742,0,2,2022-01-03T00:11:28Z,100000,-132.0,43.0,1,right,J. Brunson 13' pullup Jump Shot (2 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,13.92,Made,2.0,,,,,,,,,,,,,
12,PT11M00.00S,2022-01-03T00:11:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630197,7.046649145860711,58.333333333333336,1610612760,0,2,2022-01-03T00:11:52Z,120000,-42.0,14.0,1,left,MISS A. Pokusevski pullup Shot,[1630197],1610612760.0,OKC,pullup,,,Pokusevski,A. Pokusevski,,,,,,,,,,4.39,Missed,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-03T00:11:49.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,2,2022-01-03T00:11:52Z,130000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M48.00S,2022-01-03T00:11:59.8Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,2,2022-01-03T00:12:04Z,140000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1630581]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,1.0,Giddey,1630581.0,,,,,,
15,PT10M48.00S,2022-01-03T00:11:59.8Z,1,REGULAR,steal,,[],1630581,,,1610612760,0,2,2022-01-03T00:12:01Z,150000,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-01-03T00:12:03.4Z,1,REGULAR,foul,personal,[],1628467,,,1610612760,0,2,2022-01-03T00:12:15Z,160000,,,0,,M. Kleber take personal FOUL (1 PF),"[1628467, 1630581]",1610612742.0,DAL,take,,,Kleber,M. Kleber,,,,,1201.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,,
