actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-01T01:10:21.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T01:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-01T01:10:23.6Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-02-01T01:10:23Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Favors: Tip to A. Simons,"[1629014, 203994, 202324]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-01T01:10:40.6Z,1,REGULAR,foul,personal,[],202324,,,1610612757,0,0,2022-02-01T01:10:49Z,70000,,,0,,D. Favors personal FOUL (1 PF),"[202324, 203994]",1610612760.0,OKC,,,,Favors,D. Favors,,,,,201246.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-01T01:11:04.8Z,1,REGULAR,3pt,Jump Shot,[],203468,71.04139290407359,19.362745098039216,1610612757,0,3,2022-02-01T01:11:08Z,90000,-153.0,220.0,1,right,C. McCollum 26' 3PT pullup (3 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,,,26.78,Made,3.0,,,,,,,,,,,,,
10,PT11M18.00S,2022-02-01T01:11:17.1Z,1,REGULAR,2pt,Jump Shot,[],1629652,16.113666228646515,19.11764705882353,1610612760,0,3,2022-02-01T01:11:22Z,100000,154.0,99.0,1,left,MISS L. Dort 18' Jump Shot,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,18.34,Missed,,,,,,,,,,,,,,
11,PT11M16.00S,2022-02-01T01:11:19.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,3,2022-02-01T01:11:22Z,110000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M00.00S,2022-02-01T01:11:35.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,91.40932982917214,95.83333333333334,1610612757,0,6,2022-02-01T01:11:39Z,120000,229.0,28.0,1,right,N. Powell 3PT  (3 PTS) (R. Covington 1 AST),"[1626181, 203496]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,23.09,Made,3.0,,,,,R. Covington,203496.0,1.0,,,,,,
14,PT10M35.00S,2022-02-01T01:12:02.3Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612760,0,6,2022-02-01T01:12:11Z,140000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Giddey 2 FT),"[203994, 1630581]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,201246.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-02-01T01:12:24.1Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612760,1,6,2022-02-01T01:12:24Z,160000,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
17,PT10M35.00S,2022-02-01T01:12:36.9Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612760,2,6,2022-02-01T01:12:36Z,170000,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
