actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-02T01:10:11.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-02T01:10:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-02T01:10:14.8Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2021-12-02T01:10:14Z,40000,,,0,,Jump Ball C. Wood vs. J. Robinson-Earl: Tip to K. Porter Jr.,"[1629645, 1626174, 1630526]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-02T01:10:24.0Z,1,REGULAR,3pt,Jump Shot,[],1626174,64.99671484888306,49.26470588235294,1610612745,0,0,2021-12-02T01:10:29Z,70000,-4.0,277.0,1,right,MISS C. Wood 27' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,27.65,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-12-02T01:10:27.0Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,0,0,2021-12-02T01:10:29Z,80000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-12-02T01:10:44.8Z,1,REGULAR,3pt,Jump Shot,[],1630544,27.808804204993432,77.20588235294117,1610612760,3,0,2021-12-02T01:10:50Z,90000,-136.0,209.0,1,left,T. Mann 24' 3PT  (3 PTS) (L. Dort 1 AST),"[1630544, 1629652]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,24.93,Made,,,,,3.0,L. Dort,1629652.0,1.0,,,,,,,,,,,
11,PT11M14.00S,2021-12-02T01:10:56.3Z,1,REGULAR,3pt,Jump Shot,[],1629645,77.7431011826544,90.44117647058823,1610612745,3,3,2021-12-02T01:12:50Z,110000,202.0,157.0,1,right,K. Porter Jr. 25' 3PT  (3 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.58,Made,,,,,3.0,,,,,,,,,,,,,,
13,PT10M58.00S,2021-12-02T01:11:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,7.178055190538765,51.470588235294116,1610612760,5,3,2021-12-02T01:11:16Z,130000,-7.0,15.0,1,left,J. Robinson-Earl cutting Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630526, 1628983]",1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,1.67,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,
15,PT10M44.00S,2021-12-02T01:11:26.3Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,5,3,2021-12-02T01:11:30Z,150000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1629652]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,1.0,Dort,1629652.0,,,,,,,,
16,PT10M44.00S,2021-12-02T01:11:26.3Z,1,REGULAR,steal,,[],1629652,,,1610612760,5,3,2021-12-02T01:34:59Z,160000,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2021-12-02T01:11:35.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,1.7904073587385019,95.83333333333334,1610612760,5,3,2021-12-02T01:11:44Z,170000,-229.0,-36.0,1,left,MISS S. Gilgeous-Alexander 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
