actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-10-24T23:10:46.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T23:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-24T23:10:50.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2021-10-24T23:10:50Z,40000,,,0,,Jump Ball J. Embiid vs. D. Favors: Tip to T. Maxey,"[1630178, 203954, 202324]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-10-24T23:11:02.3Z,1,REGULAR,2pt,Jump Shot,[],203954,85.3646517739816,33.088235294117645,1610612755,0,0,2021-10-24T23:11:12Z,70000,-85.0,85.0,1,right,MISS J. Embiid 12' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,12.0,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-10-24T23:11:07.3Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,0,0,2021-10-24T23:11:12Z,80000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-10-24T23:11:13.3Z,1,REGULAR,foul,personal,[],203552,,,1610612760,0,0,2021-10-24T23:11:23Z,90000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1630581]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,1627963.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,
11,PT11M24.00S,2021-10-24T23:11:37.9Z,1,REGULAR,2pt,Jump Shot,[],202324,4.02431011826544,17.15686274509804,1610612760,0,0,2021-10-24T23:11:43Z,110000,164.0,-15.0,1,left,MISS D. Favors 16' Jump Shot,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,16.49,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2021-10-24T23:11:40.9Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,0,0,2021-10-24T23:11:43Z,120000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M07.00S,2021-10-24T23:11:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,90.09526938239159,58.57843137254902,1610612755,0,2,2021-10-24T23:12:44Z,130000,43.0,41.0,1,right,T. Harris turnaround bank Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround bank,,,Harris,T. Harris,,,,,5.91,Made,,,,,,,,,,2.0,,,,,,,,,
14,PT10M56.00S,2021-10-24T23:12:14.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,0,2,2021-10-24T23:12:14Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2021-10-24T23:12:32.2Z,1,REGULAR,3pt,Jump Shot,[],1629652,19.793035479632064,93.13725490196079,1610612760,0,2,2021-10-24T23:12:37Z,150000,-216.0,134.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2021-10-24T23:12:36.2Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,0,2,2021-10-24T23:12:37Z,160000,,,0,,D. Favors REBOUND (Off:1 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
17,PT10M41.00S,2021-10-24T23:12:38.1Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,0,2,2021-10-24T23:12:44Z,170000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 203954]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,1.0,Embiid,203954.0,,,,,,
18,PT10M41.00S,2021-10-24T23:12:38.1Z,1,REGULAR,steal,,[],203954,,,1610612755,0,2,2021-10-24T23:12:40Z,180000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2021-10-24T23:12:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612755,0,2,2021-10-24T23:13:04Z,190000,,,0,,L. Dort shooting personal FOUL (1 PF) (Curry 2 FT),"[1629652, 203552]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,1179.0,1.0,0.0,Curry,203552.0,,,,,,,,,,
21,PT10M36.00S,2021-10-24T23:13:12.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203552,,,1610612755,0,2,2021-10-24T23:13:12Z,210000,,,0,,MISS S. Curry Free Throw 1 of 2,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M36.00S,2021-10-24T23:13:12.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,0,2,2021-10-24T23:13:12Z,220000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
23,PT10M36.00S,2021-10-24T23:13:25.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203552,,,1610612755,0,3,2021-10-24T23:13:25Z,230000,,,0,,S. Curry Free Throw 2 of 2 (1 PTS),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
24,PT10M20.00S,2021-10-24T23:13:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202324,7.440867279894875,34.55882352941176,1610612760,0,3,2021-10-24T23:13:51Z,240000,77.0,17.0,1,left,MISS D. Favors 7' Layup - blocked,"[202324, 203954]",1610612760.0,OKC,,,,Favors,D. Favors,,,,,7.91,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,,
25,PT10M20.00S,2021-10-24T23:13:42.7Z,1,REGULAR,block,,[],203954,,,1610612760,0,3,2021-10-24T23:13:46Z,250000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2021-10-24T23:13:47.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,3,2021-10-24T23:16:31Z,260000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT10M10.00S,2021-10-24T23:13:52.0Z,1,REGULAR,3pt,Jump Shot,[],203552,87.86136662286465,94.36274509803921,1610612755,0,6,2021-10-24T23:14:04Z,270000,222.0,62.0,1,right,S. Curry 3PT  (4 PTS) (J. Embiid 1 AST),"[203552, 203954]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,23.02,Made,,,,,,,,,,4.0,,,,,,J. Embiid,203954.0,1.0,
29,PT09M50.00S,2021-10-24T23:14:12.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,5.732588699080158,27.696078431372552,1610612760,0,6,2021-10-24T23:14:17Z,290000,112.0,1.0,1,left,MISS S. Gilgeous-Alexander 11' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,11.15,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M47.00S,2021-10-24T23:14:15.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,6,2021-10-24T23:14:17Z,300000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M36.00S,2021-10-24T23:14:28.7Z,1,REGULAR,turnover,out-of-bounds,[],201980,,,1610612755,0,6,2021-10-24T23:14:37Z,310000,,,0,,D. Green step out-of-bounds TURNOVER (1 TO),[201980],1610612755.0,PHI,step,,,Green,D. Green,,,,,,,,,,,1179.0,,,,,,1.0,,,,,,,,
32,PT09M23.00S,2021-10-24T23:14:54.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202324,17.427726675427067,35.53921568627451,1610612760,2,6,2021-10-24T23:15:00Z,320000,72.0,111.0,1,left,D. Favors 13' Jump Shot (2 PTS) (L. Dort 1 AST),"[202324, 1629652]",1610612760.0,OKC,,,,Favors,D. Favors,,,,,13.27,Made,,,,,,,,,,2.0,,,,,,L. Dort,1629652.0,1.0,
34,PT09M00.00S,2021-10-24T23:15:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203552,92.85479632063075,55.392156862745104,1610612755,2,8,2021-10-24T23:15:19Z,340000,27.0,15.0,1,right,S. Curry driving Layup (6 PTS) (J. Embiid 2 AST),"[203552, 203954]",1610612755.0,PHI,driving,,,Curry,S. Curry,,,,,3.07,Made,,,,,,,,,,6.0,,,,,,J. Embiid,203954.0,2.0,
36,PT08M50.00S,2021-10-24T23:15:26.1Z,1,REGULAR,3pt,Jump Shot,[],1629647,29.517082785808146,75.24509803921569,1610612760,2,8,2021-10-24T23:15:31Z,360000,-126.0,225.0,1,left,MISS D. Bazley 25' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M46.00S,2021-10-24T23:15:30.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,8,2021-10-24T23:15:31Z,370000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,36.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
38,PT08M41.00S,2021-10-24T23:15:35.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,94.95729303547962,95.83333333333334,1610612755,2,8,2021-10-24T23:15:42Z,380000,229.0,-5.0,1,right,MISS T. Maxey 3PT - blocked,"[1630178, 1629647]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,22.93,Missed,,,,,,,,,,,,,,Bazley,1629647.0,,,,
39,PT08M41.00S,2021-10-24T23:15:35.2Z,1,REGULAR,block,,[],1629647,,,1610612755,2,8,2021-10-24T23:15:39Z,390000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M36.00S,2021-10-24T23:15:40.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,8,2021-10-24T23:15:42Z,400000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M34.00S,2021-10-24T23:15:42.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629647,4.155716162943495,57.59803921568627,1610612760,2,8,2021-10-24T23:15:50Z,410000,-38.0,-13.0,1,left,MISS D. Bazley running DUNK - blocked,"[1629647, 203954]",1610612760.0,OKC,running,,,Bazley,D. Bazley,,,,,4.03,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,,
42,PT08M34.00S,2021-10-24T23:15:42.8Z,1,REGULAR,block,,[],203954,,,1610612760,2,8,2021-10-24T23:15:46Z,420000,,,0,,J. Embiid BLOCK (2 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M30.00S,2021-10-24T23:15:46.8Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,2,8,2021-10-24T23:15:50Z,430000,,,0,,D. Favors REBOUND (Off:2 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,41.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
44,PT08M27.00S,2021-10-24T23:15:48.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,32.276609724047304,27.696078431372552,1610612760,5,8,2021-10-24T23:15:53Z,440000,112.0,251.0,1,left,L. Dort 27' 3PT  (3 PTS) (D. Favors 1 AST),"[1629652, 202324]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,27.46,Made,,,,,,,,,,3.0,,,,,,D. Favors,202324.0,1.0,
46,PT08M06.00S,2021-10-24T23:16:12.1Z,1,REGULAR,foul,personal,['2freethrow'],202324,,,1610612755,5,8,2021-10-24T23:16:24Z,460000,,,0,,D. Favors shooting personal FOUL (1 PF) (Embiid 2 FT),"[202324, 203954]",1610612760.0,OKC,shooting,,,Favors,D. Favors,,,,,,,,,,,1179.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
48,PT08M06.00S,2021-10-24T23:16:54.2Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612755,5,8,2021-10-24T23:17:29Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M06.00S,2021-10-24T23:17:39.7Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,5,9,2021-10-24T23:17:39Z,490000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
50,PT08M06.00S,2021-10-24T23:17:57.4Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,5,10,2021-10-24T23:17:57Z,500000,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
51,PT08M06.00S,2021-10-24T23:18:11.5Z,1,REGULAR,substitution,out,[],203954,,,1610612760,5,10,2021-10-24T23:18:17Z,510000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M06.00S,2021-10-24T23:18:11.5Z,1,REGULAR,substitution,in,[],1627777,,,1610612760,5,10,2021-10-24T23:18:17Z,520000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M47.00S,2021-10-24T23:18:39.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629647,9.149145860709593,45.83333333333333,1610612760,7,10,2021-10-24T23:18:46Z,530000,21.0,34.0,1,left,D. Bazley driving DUNK (2 PTS) (J. Giddey 1 AST),"[1629647, 1630581]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,3.94,Made,,,,,,,,,,2.0,,,,,,J. Giddey,1630581.0,1.0,
55,PT07M36.00S,2021-10-24T23:18:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,87.72996057818659,49.754901960784316,1610612755,7,12,2021-10-24T23:18:57Z,550000,-1.0,63.0,1,right,S. Curry 6' driving floating Jump Shot (8 PTS) (G. Niang 1 AST),"[203552, 1627777]",1610612755.0,PHI,driving floating,,,Curry,S. Curry,,,,,6.28,Made,,,,,,,,,,8.0,,,,,,G. Niang,1627777.0,1.0,
56,PT07M27.00S,2021-10-24T23:19:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.521024967148489,40.931372549019606,1610612760,9,12,2021-10-24T23:26:08Z,560000,45.0,9.0,1,left,J. Giddey driving Layup (2 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,4.61,Made,,,,,,,,,,2.0,,,,,,,,,
57,PT07M17.00S,2021-10-24T23:19:09.6Z,1,REGULAR,3pt,Jump Shot,[],202699,68.28186596583443,23.52941176470588,1610612755,9,12,2021-10-24T23:19:20Z,570000,-132.0,246.0,1,right,MISS T. Harris 27' pullup 3PT,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,27.91,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M14.00S,2021-10-24T23:19:13.4Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,9,12,2021-10-24T23:19:13Z,580000,,,0,,T. Maxey REBOUND (Off:1 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
59,PT07M11.00S,2021-10-24T23:19:15.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,67.23061760840999,39.46078431372549,1610612755,9,12,2021-10-24T23:19:22Z,590000,-53.0,256.0,1,right,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M08.00S,2021-10-24T23:19:18.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,9,12,2021-10-24T23:19:22Z,600000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
61,PT06M58.00S,2021-10-24T23:19:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.178055190538765,56.86274509803921,1610612760,11,12,2021-10-24T23:19:33Z,610000,-34.0,15.0,1,left,S. Gilgeous-Alexander Layup (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.74,Made,,,,,,,,,,2.0,,,,,,,,,
62,PT06M42.00S,2021-10-24T23:19:45.4Z,1,REGULAR,2pt,Jump Shot,[],203552,75.1149802890933,45.588235294117645,1610612755,11,12,2021-10-24T23:19:49Z,620000,-22.0,181.0,1,right,MISS S. Curry 18' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,18.27,Missed,,,,,,,,,,,,,,,,,,,
