actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-01T01:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T01:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-01T01:10:28.7Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612752,0,0,2022-01-01T01:10:28Z,40000,,,0,,Jump Ball M. Robinson vs. I. Roby: Tip to O. Toppin,"[1630167, 1629011, 1629676]",1610612752.0,NYK,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Robinson,1629011.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-01T01:10:39.5Z,1,REGULAR,3pt,Jump Shot,[],203095,69.85873850197109,30.88235294117647,1610612752,0,3,2022-01-01T01:10:44Z,70000,-96.0,231.0,1,right,E. Fournier 24' 3PT  (3 PTS) (M. McBride 1 AST),"[203095, 1630540]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.98,Made,3.0,M. McBride,1630540.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-01T01:11:00.2Z,1,REGULAR,3pt,Jump Shot,[],1630598,25.706307490144546,82.1078431372549,1610612760,3,3,2022-01-01T01:11:04Z,90000,-161.0,189.0,1,left,A. Wiggins 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,24.8,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2022-01-01T01:11:18.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,93.51182654402102,49.50980392156863,1610612752,3,5,2022-01-01T01:11:23Z,110000,-2.0,8.0,1,right,M. Robinson alley-oop DUNK (2 PTS) (E. Fournier 1 AST),"[1629011, 203095]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,0.89,Made,2.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,
13,PT10M52.00S,2022-01-01T01:11:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630598,22.552562417871222,88.97058823529412,1610612760,3,5,2022-01-01T01:11:37Z,130000,-195.0,159.0,1,left,MISS A. Wiggins 25' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-01-01T01:11:35.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,3,5,2022-01-01T01:11:37Z,140000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M36.00S,2022-01-01T01:11:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,93.64323258869908,53.67647058823529,1610612752,3,7,2022-01-01T01:11:52Z,150000,18.0,7.0,1,right,M. Robinson cutting Layup (4 PTS),[1629011],1610612752.0,NYK,cutting,,,Robinson,M. Robinson,,,,,1.98,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M19.00S,2022-01-01T01:12:05.3Z,1,REGULAR,3pt,Jump Shot,[],1628983,30.042706964520367,26.96078431372549,1610612760,3,7,2022-01-01T01:12:09Z,170000,115.0,230.0,1,left,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,
18,PT10M16.00S,2022-01-01T01:12:08.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,3,7,2022-01-01T01:12:09Z,180000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
19,PT10M11.00S,2022-01-01T01:12:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629011,94.30026281208936,52.20588235294118,1610612752,3,9,2022-01-01T01:12:18Z,190000,11.0,1.0,1,right,M. Robinson Layup (6 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1.11,Made,6.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
21,PT10M00.00S,2022-01-01T01:12:24.8Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,3,9,2022-01-01T01:12:29Z,210000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 203095]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,
22,PT10M00.00S,2022-01-01T01:12:24.8Z,1,REGULAR,steal,,[],203095,,,1610612752,3,9,2022-01-01T01:12:26Z,220000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M57.00S,2022-01-01T01:12:29.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203095,94.03745072273325,47.549019607843135,1610612752,3,9,2022-01-01T01:12:37Z,230000,-12.0,4.0,1,right,MISS E. Fournier driving Layup - blocked,"[203095, 1628983]",1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,1.28,Missed,,,,,,,,,,,,Gilgeous-Alexander,1628983.0,,,,,
24,PT09M57.00S,2022-01-01T01:12:29.0Z,1,REGULAR,block,,[],1628983,,,1610612752,3,9,2022-01-01T01:12:31Z,240000,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2022-01-01T01:12:29.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,3,9,2022-01-01T01:12:37Z,250000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,
26,PT09M57.00S,2022-01-01T01:12:36.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,3,9,2022-01-01T01:12:36Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M51.00S,2022-01-01T01:12:51.4Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612752,3,9,2022-01-01T01:13:04Z,270000,,,0,,L. Dort shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629652, 1629628]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,1629183.0,1.0,0.0,Barrett,1629628.0
