actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-01T01:10:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-01T01:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-01T01:10:26.9Z,1,REGULAR,jumpball,recovered,[],1630598,,,1610612760,0,0,2022-03-01T01:10:26Z,40000,,,0,,Jump Ball I. Roby vs. D. Sabonis: Tip to A. Wiggins,"[1630598, 1629676, 1627734]",1610612760.0,OKC,startperiod,A. Wiggins,1630598.0,Wiggins,A. Wiggins,Roby,1629676.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-01T01:10:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,10.33180026281209,41.911764705882355,1610612760,2,0,2022-03-01T01:10:43Z,70000,40.0,45.0,1,left,T. Mann 6' driving finger roll Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630544, 1628983]",1610612760.0,OKC,driving finger roll,,,Mann,T. Mann,,,,,6.02,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-01T01:10:55.7Z,1,REGULAR,2pt,Jump Shot,[],1626168,89.96386333771353,84.31372549019608,1610612758,2,2,2022-03-01T01:11:00Z,90000,172.0,42.0,1,right,T. Lyles 17' pullup Jump Shot (2 PTS) (H. Barnes 1 AST),"[1626168, 203084]",1610612758.0,SAC,pullup,,,Lyles,T. Lyles,,,,,17.66,Made,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2022-03-01T01:11:11.3Z,1,REGULAR,turnover,lost ball,[],1630544,,,1610612760,2,2,2022-03-01T01:11:14Z,110000,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1630544, 203200]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,1.0,Holiday,203200.0,,,,,,,,,,,
12,PT11M12.00S,2022-03-01T01:11:11.3Z,1,REGULAR,steal,,[],203200,,,1610612758,2,2,2022-03-01T01:11:13Z,120000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2022-03-01T01:11:15.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203200,71.69842312746385,15.931372549019606,1610612758,2,5,2022-03-01T01:12:20Z,130000,-170.0,214.0,1,right,J. Holiday 27' 3PT running (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612758.0,SAC,running,,,Holiday,J. Holiday,,,,,27.31,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
15,PT10M48.00S,2022-03-01T01:11:37.8Z,1,REGULAR,foul,personal,[],1627734,,,1610612760,2,5,2022-03-01T01:11:45Z,150000,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 1628983]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,2714.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
17,PT10M39.00S,2022-03-01T01:12:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,10.463206307490145,42.8921568627451,1610612760,2,5,2022-03-01T01:12:05Z,170000,36.0,46.0,1,left,MISS T. Mann driving finger roll Layup,[1630544],1610612760.0,OKC,driving finger roll,,,Mann,T. Mann,,,,,5.8,Missed,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2022-03-01T01:12:03.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,5,2022-03-01T01:12:05Z,180000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
