actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-15T00:10:10.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-15T00:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-03-15T00:10:16.1Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-03-15T00:10:16Z,40000,,,0,,Jump Ball M. Plumlee vs. O. Sarr: Tip to L. Ball,"[1630163, 203486, 1630846]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Sarr,1630846.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-15T00:10:24.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,91.93495400788436,50.0,1610612766,0,2,2022-03-15T00:10:28Z,70000,0.0,23.0,1,right,M. Bridges cutting DUNK (2 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,2.33,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-03-15T00:10:40.5Z,1,REGULAR,3pt,Jump Shot,[],1629647,6.652431011826544,96.07843137254902,1610612760,3,2,2022-03-15T00:10:44Z,90000,-230.0,10.0,1,left,D. Bazley 3PT  (3 PTS) (O. Sarr 1 AST),"[1629647, 1630846]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,23.06,Made,3.0,O. Sarr,1630846.0,1.0,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-03-15T00:11:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1630846,,,1610612766,3,2,2022-03-15T00:11:19Z,110000,,,0,,O. Sarr shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1630846, 203486]",1610612760.0,OKC,shooting,,,Sarr,O. Sarr,,,,,,,,,,,202037.0,1.0,0.0,Plumlee,203486.0,,,,,,,,,,
13,PT11M06.00S,2022-03-15T00:11:29.3Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,3,2,2022-03-15T00:11:29Z,130000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-03-15T00:11:29.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,3,2,2022-03-15T00:11:29Z,140000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,
15,PT11M06.00S,2022-03-15T00:11:43.3Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,3,3,2022-03-15T00:11:43Z,150000,,,0,,M. Plumlee Free Throw 2 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-03-15T00:11:56.3Z,1,REGULAR,3pt,Jump Shot,[],1629647,10.726018396846255,3.431372549019608,1610612760,3,3,2022-03-15T00:12:00Z,160000,233.0,48.0,1,left,MISS D. Bazley 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2022-03-15T00:11:58.7Z,1,REGULAR,rebound,offensive,[],1630846,,,1610612760,3,3,2022-03-15T00:11:58Z,170000,,,0,,O. Sarr REBOUND (Off:1 Def:0),[1630846],1610612760.0,OKC,,,,Sarr,O. Sarr,,,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,
