actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-13T23:15:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T23:15:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-13T23:15:20.7Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-03-13T23:15:20Z,40000,,,0,,Jump Ball S. Adams vs. I. Roby: Tip to J. Morant,"[1629630, 203500, 1629676]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-13T23:15:31.8Z,1,REGULAR,foul,personal,[],1629676,,,1610612763,0,0,2022-03-13T23:15:39Z,70000,,,0,,I. Roby personal FOUL (1 PF),"[1629676, 203500]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,1628172.0,1.0,0.0,Adams,203500.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-03-13T23:15:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,14.799605781865965,49.01960784313725,1610612763,0,0,2022-03-13T23:16:46Z,90000,5.0,87.0,1,left,MISS J. Jackson Jr. 8' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,8.67,Missed,,,,,,,,,,,,,,
10,PT11M35.00S,2022-03-13T23:15:59.5Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2022-03-13T23:16:01Z,100000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M33.00S,2022-03-13T23:16:05.4Z,1,REGULAR,turnover,3-second-violation,[],203500,,,1610612763,0,0,2022-03-13T23:16:24Z,110000,,,0,,S. Adams 3-second-violation TURNOVER (1 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,202058.0,,,,,,,,,,,1.0,,,,,,,,,
12,PT11M22.00S,2022-03-13T23:16:27.4Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612760,0,0,2022-03-13T23:16:36Z,120000,,,0,,D. Brooks shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1628415, 1628983]",1610612763.0,MEM,shooting,,,Brooks,D. Brooks,,,,,1628172.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,
14,PT11M22.00S,2022-03-13T23:16:50.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,1,0,2022-03-13T23:16:50Z,140000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,,,,,,1.0,,,,,,,,
15,PT11M22.00S,2022-03-13T23:17:02.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,2,0,2022-03-13T23:17:02Z,150000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,,,,,,2.0,,,,,,,,
16,PT11M09.00S,2022-03-13T23:17:19.0Z,1,REGULAR,3pt,Jump Shot,[],1628991,28.33442838370565,79.41176470588235,1610612763,2,3,2022-03-13T23:17:24Z,160000,-147.0,214.0,1,left,J. Jackson Jr. 25' 3PT  (3 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,25.95,Made,,,,,,3.0,D. Brooks,1628415.0,1.0,,,,,
18,PT10M48.00S,2022-03-13T23:17:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,95.3515111695138,45.83333333333333,1610612760,4,3,2022-03-13T23:17:42Z,180000,-21.0,-9.0,1,right,I. Roby Layup (2 PTS) (T. Maledon 1 AST),"[1629676, 1630177]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,2.26,Made,,,,,,2.0,T. Maledon,1630177.0,1.0,,,,,
