actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-16T01:10:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T01:10:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-16T01:10:17.4Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2021-11-16T01:10:17Z,40000,,,0,,Jump Ball D. Dedmon vs. J. Robinson-Earl: Tip to P. Tucker,"[200782, 203473, 1630526]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Dedmon,203473.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-16T01:10:35.4Z,1,REGULAR,2pt,Jump Shot,[],200768,85.23324572930355,17.401960784313726,1610612748,0,0,2021-11-16T01:10:40Z,70000,-163.0,86.0,1,right,MISS K. Lowry 18' pullup Shot,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,18.44,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-11-16T01:10:37.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2021-11-16T01:10:40Z,80000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-16T01:10:47.7Z,1,REGULAR,2pt,Jump Shot,[],1630526,9.280551905387648,28.186274509803923,1610612760,0,0,2021-11-16T01:10:55Z,90000,109.0,35.0,1,left,MISS J. Robinson-Earl 11' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,11.45,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2021-11-16T01:10:51.7Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,0,2021-11-16T01:10:55Z,100000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-11-16T01:11:01.8Z,1,REGULAR,2pt,Hook,[],200782,91.93495400788436,66.91176470588235,1610612748,0,0,2021-11-16T01:12:07Z,110000,85.0,23.0,1,right,MISS P. Tucker 8' turnaround Hook,[200782],1610612748.0,MIA,turnaround,,,Tucker,P. Tucker,,,,,8.77,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2021-11-16T01:11:03.8Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,0,0,2021-11-16T01:11:08Z,120000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M55.00S,2021-11-16T01:11:19.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.354139290407357,37.00980392156863,1610612760,0,0,2021-11-16T01:11:26Z,130000,65.0,73.0,1,left,MISS S. Gilgeous-Alexander 9' fadeaway Shot,[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,9.77,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2021-11-16T01:11:21.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2021-11-16T01:11:26Z,140000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M37.00S,2021-11-16T01:11:41.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,0,0,2021-11-16T01:11:41Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2021-11-16T01:11:58.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,93.9060446780552,4.6568627450980395,1610612748,0,0,2021-11-16T01:12:02Z,160000,-227.0,5.0,1,right,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2021-11-16T01:12:01.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2021-11-16T01:12:01Z,170000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M29.00S,2021-11-16T01:12:03.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629652,4.812746386333772,49.26470588235294,1610612760,2,0,2021-11-16T01:12:10Z,180000,4.0,-7.0,1,left,L. Dort running DUNK (2 PTS),[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,0.82,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT10M13.00S,2021-11-16T01:12:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629639,71.43561103810775,78.18627450980392,1610612748,2,3,2021-11-16T01:12:23Z,190000,141.0,216.0,1,right,T. Herro 25' 3PT pullup (3 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,25.79,Made,,,,,3.0,,,,,,,,,,,,,,
20,PT09M59.00S,2021-11-16T01:12:34.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,29.911300919842315,27.450980392156865,1610612760,2,3,2021-11-16T01:12:38Z,200000,113.0,229.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M54.00S,2021-11-16T01:12:39.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,2,3,2021-11-16T01:12:38Z,210000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT09M36.00S,2021-11-16T01:12:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203473,92.32917214191852,54.41176470588235,1610612748,2,3,2021-11-16T01:13:01Z,220000,22.0,20.0,1,right,MISS D. Dedmon cutting Layup,[203473],1610612748.0,MIA,cutting,,,Dedmon,D. Dedmon,,,,,2.95,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M33.00S,2021-11-16T01:12:59.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,3,2021-11-16T01:13:01Z,240000,,,0,,J. Giddey REBOUND (Off:0 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,22.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
25,PT09M25.00S,2021-11-16T01:13:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,5.469776609724048,96.32352941176471,1610612760,5,3,2021-11-16T01:13:12Z,250000,-232.0,-1.0,1,left,L. Dort 3PT  (5 PTS) (J. Robinson-Earl 1 AST),"[1629652, 1630526]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,23.16,Made,,,,,5.0,J. Robinson-Earl,1630526.0,1.0,,,,,,,,,,,
27,PT09M12.00S,2021-11-16T01:13:19.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,93.64323258869908,95.34313725490196,1610612748,5,6,2021-11-16T01:13:23Z,270000,227.0,7.0,1,right,D. Robinson 3PT  (3 PTS) (K. Lowry 1 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.68,Made,,,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,,,,
29,PT09M05.00S,2021-11-16T01:13:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.30946123521682,40.19607843137255,1610612760,5,6,2021-11-16T01:14:49Z,290000,49.0,16.0,1,left,MISS D. Bazley Layup - blocked,"[1629647, 203473]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,5.16,Missed,,,,,,,,,Dedmon,203473.0,,,,,,,,,
61,PT09M05.00S,2021-11-16T01:13:27.5Z,1,REGULAR,block,,[],203473,,,1610612760,5,6,2021-11-16T01:17:28Z,295000,,,0,,D. Dedmon BLOCK (1 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M03.00S,2021-11-16T01:13:29.5Z,1,REGULAR,rebound,offensive,[],1629647,,,1610612760,5,6,2021-11-16T01:14:49Z,300000,,,0,,D. Bazley REBOUND (Off:1 Def:0),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
31,PT09M03.00S,2021-11-16T01:13:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629647,5.338370565045992,46.32352941176471,1610612760,5,6,2021-11-16T01:15:00Z,310000,18.0,-2.0,1,left,MISS D. Bazley putback Layup,[1629647],1610612760.0,OKC,putback,,,Bazley,D. Bazley,,,,,1.85,Missed,,,,,,,,,,,,,,,,,,,
