actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-27T01:10:26.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T01:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-27T01:10:29.2Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2021-11-27T01:10:29Z,40000,,,0,,Jump Ball D. Gafford vs. J. Robinson-Earl: Tip to K. Kuzma,"[1628398, 1629655, 1630526]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Gafford,1629655.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-27T01:10:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,90.88370565045992,43.38235294117647,1610612764,0,0,2021-11-27T01:10:43Z,70000,-33.0,33.0,1,right,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,4.69,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-27T01:10:40.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2021-11-27T01:10:43Z,80000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-11-27T01:10:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,4.812746386333772,47.30392156862745,1610612760,2,0,2021-11-27T01:10:52Z,90000,13.0,-7.0,1,left,J. Giddey driving Layup (2 PTS) (L. Dort 1 AST),"[1630581, 1629652]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,1.53,Made,,,,,2.0,L. Dort,1629652.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2021-11-27T01:11:06.9Z,1,REGULAR,2pt,Jump Shot,[],203484,83.78777923784494,25.245098039215684,1610612764,2,2,2021-11-27T01:11:12Z,110000,-124.0,100.0,1,right,K. Caldwell-Pope 15' pullup Jump Shot (2 PTS),[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,15.91,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M55.00S,2021-11-27T01:11:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,6.258212877792378,40.931372549019606,1610612760,2,2,2021-11-27T01:12:44Z,120000,45.0,6.0,1,left,MISS D. Bazley driving Layup,[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,4.57,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2021-11-27T01:11:31.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,2,2021-11-27T01:11:34Z,130000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M40.00S,2021-11-27T01:11:44.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.77463863337714,50.0,1610612764,2,4,2021-11-27T01:11:48Z,140000,0.0,6.0,1,right,D. Gafford DUNK (2 PTS) (K. Kuzma 1 AST),"[1629655, 1628398]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,0.6,Made,,,,,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,
16,PT10M34.00S,2021-11-27T01:11:53.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,4,2021-11-27T01:11:53Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
