actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-27T00:10:14.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T00:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-27T00:10:17.1Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-10-27T00:10:17Z,40000,,,0,,Jump Ball K. Looney vs. J. Robinson-Earl: Tip to D. Green,"[203110, 1626172, 1630526]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-27T00:10:29.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.85479632063075,57.59803921568627,1610612744,0,0,2021-10-27T00:18:41Z,70000,38.0,15.0,1,right,MISS K. Looney cutting Layup - blocked,"[1626172, 1630581]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,4.07,Missed,Giddey,1630581.0,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-10-27T00:10:29.0Z,1,REGULAR,block,,[],1630581,,,1610612744,0,0,2021-10-27T00:10:43Z,75000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-10-27T00:10:29.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2021-10-27T00:10:43Z,80000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
82,PT11M45.00S,2021-10-27T00:10:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2021-10-27T00:24:02Z,85000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M43.00S,2021-10-27T00:10:45.9Z,1,REGULAR,violation,kicked ball,[],1629647,,,1610612744,0,0,2021-10-27T00:10:54Z,90000,,,0,,D. Bazley kicked ball VIOLATION,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,1155.0,,,,,,,,,,,,,,,
11,PT11M37.00S,2021-10-27T00:11:02.3Z,1,REGULAR,turnover,backcourt,[],203952,,,1610612744,0,0,2021-10-27T00:11:18Z,100000,,,0,,A. Wiggins backcourt TURNOVER (1 TO),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,1155.0,1.0,,,,,,,,,,,,,,
12,PT11M26.00S,2021-10-27T00:11:30.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628983,19.136005256241788,68.62745098039215,1610612760,0,0,2021-10-27T00:12:45Z,110000,-93.0,127.0,1,left,MISS S. Gilgeous-Alexander 15' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,15.78,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2021-10-27T00:11:33.0Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,0,0,2021-10-27T00:11:35Z,120000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,12.0,,,1.0,0.0,1.0,,,,,,,,,,,
14,PT11M21.00S,2021-10-27T00:11:34.9Z,1,REGULAR,turnover,lost ball,[],1630526,,,1610612760,0,0,2021-10-27T00:11:38Z,130000,,,0,,J. Robinson-Earl lost ball TURNOVER (1 TO),"[1630526, 203110]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,1.0,,,,Green,203110.0,,,,,,,,,
15,PT11M21.00S,2021-10-27T00:11:34.9Z,1,REGULAR,steal,,[],203110,,,1610612744,0,0,2021-10-27T00:11:37Z,140000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2021-10-27T00:11:41.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,74.85216819973719,15.441176470588236,1610612744,0,0,2021-10-27T00:19:19Z,150000,-173.0,184.0,1,right,MISS S. Curry 25' running 3PT,[201939],1610612744.0,GSW,running,,,Curry,S. Curry,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M12.00S,2021-10-27T00:11:43.1Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2021-10-27T00:11:45Z,160000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,16.0,,,1.0,1.0,0.0,,,,,,,,,,,
18,PT11M07.00S,2021-10-27T00:11:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,5.338370565045992,50.49019607843137,1610612760,2,0,2021-10-27T00:11:57Z,170000,-2.0,-2.0,1,left,J. Robinson-Earl cutting Layup (2 PTS) (D. Bazley 1 AST),"[1630526, 1629647]",1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,0.34,Made,,,,,,,,,,,2.0,D. Bazley,1629647.0,1.0,,,,,
20,PT10M55.00S,2021-10-27T00:12:01.0Z,1,REGULAR,3pt,Jump Shot,[],203952,81.2910643889619,94.85294117647058,1610612744,2,0,2021-10-27T00:12:06Z,190000,224.0,123.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,,
