actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-02T00:10:35.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T00:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-02T00:10:37.9Z,1,REGULAR,jumpball,recovered,[],1630587,,,1610612765,0,0,2022-04-02T00:10:38Z,40000,,,0,,Jump Ball I. Stewart vs. I. Roby: Tip to I. Livers,"[1630587, 1630191, 1629676]",1610612765.0,DET,startperiod,I. Livers,1630587.0,Livers,I. Livers,Stewart,1630191.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-02T00:10:51.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,67.36202365308804,19.11764705882353,1610612765,0,0,2022-04-02T00:11:00Z,70000,-154.0,254.0,1,right,MISS S. Bey 29' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,29.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-04-02T00:10:55.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2022-04-02T00:11:00Z,80000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-04-02T00:10:59.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,0,0,2022-04-02T00:10:59Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-04-02T00:11:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630595,93.24901445466492,46.568627450980394,1610612765,0,0,2022-04-02T00:11:25Z,100000,-17.0,11.0,1,right,MISS C. Cunningham reverse Layup - blocked,"[1630595, 1629676]",1610612765.0,DET,reverse,,,Cunningham,C. Cunningham,,,,,2.04,Missed,,Roby,1629676.0,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-04-02T00:11:21.0Z,1,REGULAR,block,,[],1629676,,,1610612765,0,0,2022-04-02T00:11:23Z,110000,,,0,,I. Roby BLOCK (1 BLK),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-04-02T00:11:25.0Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612760,0,0,2022-04-02T00:11:25Z,120000,,,0,,V. Krejci REBOUND (Off:0 Def:1),[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,10.0,,,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M16.00S,2022-04-02T00:11:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629658,9.280551905387648,44.36274509803921,1610612760,2,0,2022-04-02T00:12:14Z,130000,28.0,35.0,1,left,J. Hoard cutting Layup (2 PTS) (V. Krejci 1 AST),"[1629658, 1630249]",1610612760.0,OKC,cutting,,,Hoard,J. Hoard,,,,,4.47,Made,,,,,,,2.0,V. Krejci,1630249.0,1.0,,,,,,,,
15,PT11M03.00S,2022-04-02T00:11:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,83.13074901445466,54.41176470588235,1610612765,2,0,2022-04-02T00:11:52Z,150000,22.0,106.0,1,right,MISS S. Bey 10' turnaround Shot,[1630180],1610612765.0,DET,turnaround,,,Bey,S. Bey,,,,,10.84,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-04-02T00:11:46.0Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,2,0,2022-04-02T00:11:52Z,160000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,15.0,,,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M55.00S,2022-04-02T00:11:54.9Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612760,2,0,2022-04-02T00:12:05Z,170000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Maledon 2 FT),"[1630191, 1630177]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Maledon,1630177.0,,,
20,PT10M55.00S,2022-04-02T00:12:14.6Z,1,REGULAR,freethrow,1 of 2,[],1630177,,,1610612760,3,0,2022-04-02T00:12:30Z,190000,,,0,,T. Maledon Free Throw 1 of 2 (1 PTS),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
21,PT10M55.00S,2022-04-02T00:12:14.6Z,1,REGULAR,freethrow,2 of 2,[],1630177,,,1610612760,3,0,2022-04-02T00:12:30Z,200000,,,0,,MISS T. Maledon Free Throw 2 of 2,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M52.00S,2022-04-02T00:12:17.6Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,3,0,2022-04-02T00:12:30Z,210000,,,0,,I. Livers REBOUND (Off:0 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,21.0,,,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M40.00S,2022-04-02T00:12:41.9Z,1,REGULAR,2pt,Jump Shot,[],1630595,76.5604467805519,61.51960784313726,1610612765,3,0,2022-04-02T00:12:48Z,220000,58.0,168.0,1,right,MISS C. Cunningham 17' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,17.74,Missed,,,,,,,,,,,,,,,,,,
24,PT10M36.00S,2022-04-02T00:12:45.9Z,1,REGULAR,rebound,defensive,[],1630177,,,1610612760,3,0,2022-04-02T00:12:48Z,230000,,,0,,T. Maledon REBOUND (Off:0 Def:1),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,23.0,,,1.0,1.0,0.0,,,,,,,,,,,,
25,PT10M19.00S,2022-04-02T00:13:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630177,9.017739816031538,35.78431372549019,1610612760,3,0,2022-04-02T00:14:40Z,240000,71.0,32.0,1,left,MISS T. Maledon 7' pullup Shot,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,7.81,Missed,,,,,,,,,,,,,,,,,,
