actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-17T01:10:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T01:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-17T01:10:12.2Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-02-17T01:10:12Z,40000,,,0,,Jump Ball J. Poeltl vs. I. Roby: Tip to D. Murray,"[1627749, 1627751, 1629676]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-17T01:10:24.3Z,1,REGULAR,turnover,traveling,[],1629640,,,1610612759,0,0,2022-02-17T01:10:30Z,70000,,,0,,K. Johnson traveling TURNOVER (1 TO),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,1628159.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-02-17T01:10:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629676,8.886333771353483,44.11764705882353,1610612760,2,0,2022-02-17T01:10:48Z,80000,29.0,31.0,1,left,I. Roby driving Layup (2 PTS) (J. Giddey 1 AST),"[1629676, 1630581]",1610612760.0,OKC,driving,,,Roby,I. Roby,,,,,,,4.27,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,
10,PT11M26.00S,2022-02-17T01:10:53.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,74.32654402102497,86.76470588235294,1610612759,2,0,2022-02-17T01:11:02Z,100000,184.0,189.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,26.35,Missed,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-02-17T01:10:55.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,0,2022-02-17T01:11:02Z,110000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
12,PT11M24.00S,2022-02-17T01:10:58.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,0,2022-02-17T01:10:58Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-02-17T01:11:12.8Z,1,REGULAR,3pt,Jump Shot,[],1630544,22.026938239159,90.68627450980392,1610612760,2,0,2022-02-17T01:11:20Z,130000,-203.0,155.0,1,left,MISS T. Mann 25' pullup 3PT,[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,,,25.55,Missed,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2022-02-17T01:11:16.8Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,2,0,2022-02-17T01:11:20Z,140000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M05.00S,2022-02-17T01:11:21.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203926,66.17936925098554,45.34313725490196,1610612759,2,0,2022-02-17T01:11:31Z,150000,-23.0,265.0,1,right,MISS D. McDermott 26' running pullup 3PT,[203926],1610612759.0,SAS,running pullup,,,McDermott,D. McDermott,,,,,,,26.64,Missed,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2022-02-17T01:11:24.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,0,2022-02-17T01:11:31Z,160000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M54.00S,2022-02-17T01:11:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,6.389618922470433,55.14705882352941,1610612760,4,0,2022-02-17T01:11:44Z,170000,-26.0,8.0,1,left,I. Roby reverse Layup (4 PTS) (J. Giddey 2 AST),"[1629676, 1630581]",1610612760.0,OKC,reverse,,,Roby,I. Roby,,,,,,,2.68,Made,4.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,
19,PT10M33.00S,2022-02-17T01:11:53.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,94.56307490144546,37.00980392156863,1610612759,4,0,2022-02-17T01:13:47Z,190000,-65.0,-1.0,1,right,MISS J. Poeltl 6' turnaround Hook,[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,,,6.5,Missed,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2022-02-17T01:11:54.7Z,1,REGULAR,rebound,offensive,[],203926,,,1610612759,4,0,2022-02-17T01:11:58Z,200000,,,0,,D. McDermott REBOUND (Off:1 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,19.0,2.0,1.0,1.0,,,,,,,,,
21,PT10M31.00S,2022-02-17T01:11:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203926,91.5407358738502,39.950980392156865,1610612759,4,0,2022-02-17T01:12:02Z,210000,-50.0,27.0,1,right,MISS D. McDermott putback Layup - blocked,"[203926, 1630598]",1610612759.0,SAS,putback,,,McDermott,D. McDermott,,,,,,,5.7,Missed,,,,,,,,,Wiggins,1630598.0,,,,,,,
22,PT10M31.00S,2022-02-17T01:11:55.7Z,1,REGULAR,block,,[],1630598,,,1610612759,4,0,2022-02-17T01:11:57Z,220000,,,0,,A. Wiggins BLOCK (1 BLK),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M29.00S,2022-02-17T01:11:57.7Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,4,0,2022-02-17T01:12:02Z,230000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M17.00S,2022-02-17T01:12:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,11.383048620236531,43.13725490196079,1610612760,4,0,2022-02-17T01:22:46Z,240000,34.0,55.0,1,left,MISS A. Wiggins 6' Layup,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,6.44,Missed,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-02-17T01:12:13.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,4,0,2022-02-17T01:22:46Z,250000,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,
105,PT10M16.00S,2022-02-17T01:12:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,7.408015768725363,51.22549019607843,1610612760,4,0,2022-02-17T01:23:33Z,255000,-6.0,17.0,1,left,MISS J. Giddey tip Layup,[1630581],1610612760.0,OKC,tip,,,Giddey,J. Giddey,,,,,,,1.82,Missed,,,,,,,,,,,,,,,,,
