actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-24T00:10:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-24T00:10:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-24T00:10:15.2Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-03-24T00:10:15Z,40000,,,0,,Jump Ball M. Bamba vs. I. Roby: Tip to C. Anthony,"[1630175, 1628964, 1629676]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-24T00:10:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628964,88.35413929040736,42.892156862745104,1610612753,0,2,2022-03-24T00:10:32Z,70000,-36.0,57.0,1,right,M. Bamba 6' Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628964, 1630532]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,6.72,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-24T00:10:44.6Z,1,REGULAR,turnover,out-of-bounds,[],1629676,,,1610612760,0,2,2022-03-24T00:10:51Z,90000,,,0,,I. Roby bad pass out-of-bounds TURNOVER (1 TO),[1629676],1610612760.0,OKC,bad pass,,,Roby,I. Roby,,,,,,,,,,,1628171.0,1.0,,,,,,,,,,,,,
10,PT11M13.00S,2022-03-24T00:11:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629643,88.61695137976346,97.05882352941177,1610612753,0,5,2022-03-24T00:11:13Z,100000,235.0,55.0,1,right,C. Okeke 24' 3PT  (3 PTS) (C. Anthony 1 AST),"[1629643, 1630175]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,24.15,Made,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,,
12,PT10M56.00S,2022-03-24T00:11:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629676,30.14126149802891,81.61764705882354,1610612760,3,5,2022-03-24T00:11:30Z,120000,-158.0,231.0,1,left,I. Roby 27' 3PT  (3 PTS) (D. Bazley 1 AST),"[1629676, 1629647]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,27.98,Made,3.0,D. Bazley,1629647.0,1.0,,,,,,,,,,,,,,,
14,PT10M45.00S,2022-03-24T00:11:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630181,67.9862023653088,69.36274509803921,1610612753,3,5,2022-03-24T00:11:42Z,140000,97.0,248.0,1,right,MISS R. Hampton 26' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-03-24T00:11:39.3Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,3,5,2022-03-24T00:11:39Z,150000,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
16,PT10M40.00S,2022-03-24T00:11:41.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630532,69.4316688567674,21.813725490196077,1610612753,3,8,2022-03-24T00:11:46Z,160000,-141.0,235.0,1,right,F. Wagner 27' 3PT  (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,27.38,Made,3.0,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2022-03-24T00:11:55.9Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612760,3,8,2022-03-24T00:12:08Z,170000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Bazley 2 FT),"[1628964, 1629647]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,2003.0,,,,,,1.0,0.0,Bazley,1629647.0,,,,,
19,PT10M28.00S,2022-03-24T00:12:38.3Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,3,8,2022-03-24T00:12:38Z,190000,,,0,,MISS D. Bazley Free Throw 1 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2022-03-24T00:12:38.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,3,8,2022-03-24T00:12:38Z,200000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,
21,PT10M28.00S,2022-03-24T00:12:38.8Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,4,8,2022-03-24T00:12:38Z,210000,,,0,,D. Bazley Free Throw 2 of 2 (1 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2022-03-24T00:12:51.2Z,1,REGULAR,3pt,Jump Shot,[],1629643,79.15571616294349,11.029411764705884,1610612753,4,11,2022-03-24T00:12:55Z,220000,-195.0,143.0,1,right,C. Okeke 24' 3PT  (6 PTS) (C. Anthony 2 AST),"[1629643, 1630175]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,24.2,Made,6.0,C. Anthony,1630175.0,2.0,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-03-24T00:13:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,7.276609724047319,38.725490196078425,1610612760,4,11,2022-03-24T00:13:16Z,240000,56.0,16.0,1,left,MISS A. Wiggins turnaround Shot,[1630598],1610612760.0,OKC,turnaround,,,Wiggins,A. Wiggins,,,,,5.86,Missed,,,,,,,,,,,,,,,,,,,
