actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
25,PT09M51.00S,2022-03-24T00:13:14.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,11,2022-03-24T00:13:16Z,250000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,
26,PT09M46.00S,2022-03-24T00:13:19.3Z,1,REGULAR,3pt,Jump Shot,[],1628964,67.19776609724047,54.65686274509804,1610612753,4,11,2022-03-24T00:13:38Z,260000,23.0,256.0,1,right,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2022-03-24T00:13:22.3Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,4,11,2022-03-24T00:13:26Z,270000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
28,PT09M37.00S,2022-03-24T00:13:28.1Z,1,REGULAR,3pt,Jump Shot,[],1629647,33.295006570302235,64.95098039215686,1610612760,4,11,2022-03-24T00:13:33Z,280000,-75.0,260.0,1,left,MISS D. Bazley 27' running pullup 3PT,[1629647],1610612760.0,OKC,running pullup,,,Bazley,D. Bazley,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2022-03-24T00:13:30.1Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,4,11,2022-03-24T00:13:33Z,290000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT09M26.00S,2022-03-24T00:13:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,91.90210249671485,56.127450980392155,1610612753,4,13,2022-03-24T00:13:44Z,300000,31.0,24.0,1,right,M. Bamba alley-oop Layup (4 PTS) (R. Hampton 1 AST),"[1628964, 1630181]",1610612753.0,ORL,alley-oop,,,Bamba,M. Bamba,,,,,3.86,Made,4.0,R. Hampton,1630181.0,1.0,,,,,,,,,,,,,,,
32,PT09M26.00S,2022-03-24T00:13:42.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,4,13,2022-03-24T00:13:42Z,320000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2022-03-24T00:16:43.8Z,1,REGULAR,turnover,out-of-bounds,[],1630544,,,1610612760,4,13,2022-03-24T00:16:52Z,330000,,,0,,T. Mann bad pass out-of-bounds TURNOVER (1 TO),[1630544],1610612760.0,OKC,bad pass,,,Mann,T. Mann,,,,,,,,,,,204058.0,1.0,,,,,,,,,,,,,
34,PT09M04.00S,2022-03-24T00:17:02.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628964,89.27398160315374,85.7843137254902,1610612753,4,13,2022-03-24T00:17:08Z,340000,179.0,48.0,1,right,MISS M. Bamba 18' Jump Shot,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,18.53,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M01.00S,2022-03-24T00:17:05.2Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,4,13,2022-03-24T00:17:08Z,350000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT08M58.00S,2022-03-24T00:17:08.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630598,23.833771353482263,91.17647058823529,1610612760,4,13,2022-03-24T00:17:16Z,360000,-206.0,172.0,1,left,MISS A. Wiggins 26' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,26.8,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M55.00S,2022-03-24T00:17:11.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,13,2022-03-24T00:17:16Z,370000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,
38,PT08M42.00S,2022-03-24T00:17:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,89.79960578186596,41.91176470588235,1610612753,4,13,2022-03-24T00:18:08Z,380000,-40.0,43.0,1,right,MISS C. Anthony driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,5.93,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M40.00S,2022-03-24T00:17:26.0Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,4,13,2022-03-24T00:17:27Z,390000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,38.0,3.0,2.0,1.0,,,,,,,,,
40,PT08M39.00S,2022-03-24T00:17:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,92.69053876478318,60.049019607843135,1610612753,4,13,2022-03-24T00:17:33Z,400000,50.0,16.0,1,right,MISS M. Bamba putback Layup - blocked,"[1628964, 1629676]",1610612753.0,ORL,putback,,,Bamba,M. Bamba,,,,,5.27,Missed,,,,,,,,,,,,,,,Roby,1629676.0,,,
41,PT08M39.00S,2022-03-24T00:17:26.2Z,1,REGULAR,block,,[],1629676,,,1610612753,4,13,2022-03-24T00:17:28Z,410000,,,0,,I. Roby BLOCK (1 BLK),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M39.00S,2022-03-24T00:17:26.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,4,13,2022-03-24T00:17:33Z,420000,,,0,,M. Bamba REBOUND (Off:2 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,40.0,4.0,2.0,2.0,,,,,,,,,
43,PT08M36.00S,2022-03-24T00:17:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,91.77069645203679,56.61764705882353,1610612753,4,15,2022-03-24T00:17:36Z,430000,33.0,25.0,1,right,M. Bamba putback Layup (6 PTS),[1628964],1610612753.0,ORL,putback,,,Bamba,M. Bamba,,,,,4.14,Made,6.0,,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2022-03-24T00:17:42.9Z,1,REGULAR,3pt,Jump Shot,[],1630544,31.32391590013141,86.27450980392157,1610612760,7,15,2022-03-24T00:17:47Z,440000,-181.0,242.0,1,left,T. Mann 30' 3PT  (3 PTS) (I. Roby 1 AST),"[1630544, 1629676]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,30.24,Made,3.0,I. Roby,1629676.0,1.0,,,,,,,,,,,,,,,
46,PT08M05.00S,2022-03-24T00:18:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630181,91.11366622864652,59.31372549019608,1610612753,7,17,2022-03-24T00:18:04Z,460000,47.0,31.0,1,right,R. Hampton turnaround Jump Shot (2 PTS),[1630181],1610612753.0,ORL,turnaround,,,Hampton,R. Hampton,,,,,5.6,Made,2.0,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2022-03-24T00:18:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,18.971747700394218,63.23529411764706,1610612760,9,17,2022-03-24T00:18:15Z,470000,-66.0,126.0,1,left,T. Mann 14' floating Jump Shot (5 PTS),[1630544],1610612760.0,OKC,floating,,,Mann,T. Mann,,,,,14.22,Made,5.0,,,,,,,,,,,,,,,,,,
48,PT07M39.00S,2022-03-24T00:18:26.9Z,1,REGULAR,turnover,bad pass,[],1629643,,,1610612753,9,17,2022-03-24T00:28:03Z,480000,,,0,,C. Okeke bad pass TURNOVER (1 TO),"[1629643, 1629676]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,1.0,,,,,,,,,,,Roby,1629676.0,
49,PT07M39.00S,2022-03-24T00:18:26.9Z,1,REGULAR,steal,,[],1629676,,,1610612760,9,17,2022-03-24T00:18:28Z,490000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M34.00S,2022-03-24T00:18:32.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630197,5.042706964520377,97.05882352941177,1610612760,9,17,2022-03-24T00:18:39Z,500000,-235.0,-5.0,1,left,MISS A. Pokusevski 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M29.00S,2022-03-24T00:18:37.5Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,9,17,2022-03-24T00:18:39Z,510000,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,
52,PT07M20.00S,2022-03-24T00:18:48.2Z,1,REGULAR,foul,offensive,[],1630532,,,1610612753,9,17,2022-03-24T00:18:55Z,520000,,,0,,F. Wagner offensive FOUL (1 PF),"[1630532, 1630544]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,204058.0,,,,,,1.0,0.0,Mann,1630544.0,,,,,
54,PT07M20.00S,2022-03-24T00:18:48.2Z,1,REGULAR,turnover,offensive foul,[],1630532,,,1610612753,9,17,2022-03-24T00:18:48Z,540000,,,0,,F. Wagner offensive foul TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,204058.0,1.0,,,,,,,,,,,,,
55,PT07M04.00S,2022-03-24T00:19:18.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630197,35.528909329829176,63.72549019607843,1610612760,9,17,2022-03-24T00:19:24Z,550000,-69.0,281.0,1,left,MISS A. Pokusevski 28' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,28.97,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M59.00S,2022-03-24T00:19:23.4Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,9,17,2022-03-24T00:19:24Z,560000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,
57,PT06M54.00S,2022-03-24T00:19:26.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,80.33837056504599,7.598039215686271,1610612753,9,17,2022-03-24T00:19:34Z,570000,-212.0,132.0,1,right,MISS F. Wagner 24' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M51.00S,2022-03-24T00:19:29.9Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,9,17,2022-03-24T00:19:34Z,580000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,
59,PT06M46.00S,2022-03-24T00:19:35.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629647,27.11892247043363,88.23529411764706,1610612760,9,17,2022-03-24T00:19:43Z,590000,-191.0,202.0,1,left,MISS D. Bazley 27' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,27.84,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M43.00S,2022-03-24T00:19:38.1Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,9,17,2022-03-24T00:19:43Z,600000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,
61,PT06M28.00S,2022-03-24T00:19:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630181,73.11103810775296,88.23529411764706,1610612753,9,20,2022-03-24T00:19:57Z,610000,191.0,200.0,1,right,R. Hampton 27' 3PT  (5 PTS) (F. Wagner 2 AST),"[1630181, 1630532]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,27.69,Made,5.0,F. Wagner,1630532.0,2.0,,,,,,,,,,,,,,,
63,PT06M14.00S,2022-03-24T00:20:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629676,34.346254927726676,44.36274509803921,1610612760,12,20,2022-03-24T00:20:11Z,630000,28.0,270.0,1,left,I. Roby 27' 3PT  (6 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,27.19,Made,6.0,,,,,,,,,,,,,,,,,,
64,PT06M02.00S,2022-03-24T00:20:19.0Z,1,REGULAR,3pt,Jump Shot,[],1630181,77.44743758212877,8.82352941176471,1610612753,12,20,2022-03-24T00:20:23Z,640000,-206.0,159.0,1,right,MISS R. Hampton 26' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M59.00S,2022-03-24T00:20:22.0Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,12,20,2022-03-24T00:20:22Z,650000,,,0,,M. Bamba REBOUND (Off:3 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,64.0,5.0,2.0,3.0,,,,,,,,,
66,PT05M55.00S,2022-03-24T00:20:29.5Z,1,REGULAR,foul,personal,[],1630197,,,1610612753,12,20,2022-03-24T00:20:37Z,660000,,,0,,A. Pokusevski personal FOUL (1 PF),"[1630197, 1629643]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,2003.0,,,,,,1.0,0.0,Okeke,1629643.0,,,,,
68,PT05M55.00S,2022-03-24T00:20:38.7Z,1,REGULAR,substitution,out,[],1630181,,,1610612753,12,20,2022-03-24T00:20:50Z,680000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M55.00S,2022-03-24T00:20:38.7Z,1,REGULAR,substitution,in,[],1630288,,,1610612753,12,20,2022-03-24T00:20:50Z,690000,,,0,,SUB in: J. Dowtin,[1630288],1610612753.0,ORL,,,,Dowtin,J. Dowtin,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M48.00S,2022-03-24T00:20:57.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629643,85.3318002628121,96.32352941176471,1610612753,12,20,2022-03-24T00:21:07Z,700000,232.0,85.0,1,right,MISS C. Okeke 24' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,24.68,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M43.00S,2022-03-24T00:21:02.4Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,12,20,2022-03-24T00:21:07Z,710000,,,0,,A. Pokusevski REBOUND (Off:0 Def:2),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,
72,PT05M39.00S,2022-03-24T00:21:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629676,7.670827858081481,57.84313725490196,1610612760,12,20,2022-03-24T00:21:16Z,720000,-39.0,20.0,1,left,MISS I. Roby running Layup,[1629676],1610612760.0,OKC,running,,,Roby,I. Roby,,,,,4.38,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M39.00S,2022-03-24T00:21:06.1Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,12,20,2022-03-24T00:21:16Z,730000,,,0,,I. Roby REBOUND (Off:1 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,,
95,PT05M39.00S,2022-03-24T00:21:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629676,7.145203679369246,50.73529411764706,1610612760,12,20,2022-03-24T00:26:37Z,735000,-4.0,15.0,1,left,MISS I. Roby tip Layup - blocked,"[1629676, 1629643]",1610612760.0,OKC,tip,,,Roby,I. Roby,,,,,1.52,Missed,,,,,,,,,,,,,,,Okeke,1629643.0,,,
96,PT05M39.00S,2022-03-24T00:21:08.0Z,1,REGULAR,block,,[],1629643,,,1610612760,12,20,2022-03-24T00:26:37Z,737500,,,0,,C. Okeke BLOCK (1 BLK),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M39.00S,2022-03-24T00:21:08.0Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,12,20,2022-03-24T00:26:37Z,738750,,,0,,I. Roby REBOUND (Off:2 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,95.0,3.0,1.0,2.0,,,,,,,,,
74,PT05M37.00S,2022-03-24T00:21:10.0Z,1,REGULAR,foul,personal,['2freethrow'],1629643,,,1610612760,12,20,2022-03-24T00:21:18Z,740000,,,0,,C. Okeke shooting personal FOUL (1 PF) (Roby 2 FT),"[1629643, 1629676]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,,,,,,,2003.0,,,,,,1.0,0.0,Roby,1629676.0,,,,,
76,PT05M37.00S,2022-03-24T00:21:35.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629676,,,1610612760,12,20,2022-03-24T00:26:37Z,760000,,,0,,MISS I. Roby Free Throw 1 of 2,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M37.00S,2022-03-24T00:21:35.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,12,20,2022-03-24T00:21:35Z,770000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,
78,PT05M37.00S,2022-03-24T00:21:41.0Z,1,REGULAR,substitution,out,[],1630197,,,1610612760,12,20,2022-03-24T00:21:55Z,780000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M37.00S,2022-03-24T00:21:41.0Z,1,REGULAR,substitution,in,[],1630249,,,1610612760,12,20,2022-03-24T00:21:55Z,790000,,,0,,SUB in: V. Krejci,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M37.00S,2022-03-24T00:21:58.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629676,,,1610612760,13,20,2022-03-24T00:26:37Z,800000,,,0,,I. Roby Free Throw 2 of 2 (7 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
81,PT05M14.00S,2022-03-24T00:22:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,93.2161629434954,45.09803921568627,1610612753,13,22,2022-03-24T00:22:29Z,810000,-25.0,11.0,1,right,F. Wagner driving Layup (5 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,2.7,Made,5.0,,,,,,,,,,,,,,,,,,
82,PT04M53.00S,2022-03-24T00:22:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,18.577529566360056,54.90196078431372,1610612760,13,22,2022-03-24T00:22:50Z,820000,-25.0,122.0,1,left,MISS T. Mann 12' floating Shot - blocked,"[1630544, 1628964]",1610612760.0,OKC,floating,,,Mann,T. Mann,,,,,12.45,Missed,,,,,,,,,,,,,,,Bamba,1628964.0,,,
83,PT04M53.00S,2022-03-24T00:22:44.3Z,1,REGULAR,block,,[],1628964,,,1610612760,13,22,2022-03-24T00:23:04Z,830000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
