actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-25T01:10:31.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T01:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-25T01:10:34.0Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-11-25T01:10:34Z,40000,,,0,,Jump Ball R. Gobert vs. J. Robinson-Earl: Tip to R. O'Neale,"[1626220, 203497, 1630526]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-25T01:10:51.8Z,1,REGULAR,3pt,Jump Shot,[],201144,10.726018396846255,95.58823529411765,1610612762,0,3,2021-11-25T01:10:56Z,70000,-228.0,48.0,1,left,M. Conley 3PT step back (3 PTS) (D. Mitchell 1 AST),"[201144, 1628378]",1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,23.3,Made,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2021-11-25T01:11:11.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,74.98357424441524,12.745098039215685,1610612760,0,3,2021-11-25T01:11:17Z,90000,-186.0,183.0,1,right,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-11-25T01:11:13.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,3,2021-11-25T01:11:17Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2021-11-25T01:11:24.9Z,1,REGULAR,3pt,Jump Shot,[],1626220,16.63929040735874,3.9215686274509802,1610612762,0,3,2021-11-25T01:11:29Z,110000,230.0,104.0,1,left,MISS R. O'Neale 25' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2021-11-25T01:11:27.9Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,0,3,2021-11-25T01:11:29Z,120000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M51.00S,2021-11-25T01:11:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,89.56964520367937,45.34313725490196,1610612760,2,3,2021-11-25T01:11:45Z,130000,-23.0,46.0,1,right,J. Giddey driving Layup (2 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,5.11,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M28.00S,2021-11-25T01:12:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,4.28712220762155,45.83333333333333,1610612762,2,5,2021-11-25T01:12:08Z,140000,21.0,-12.0,1,left,D. Mitchell driving finger roll Layup (2 PTS),[1628378],1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,2.41,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M08.00S,2021-11-25T01:12:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,86.67871222076215,59.55882352941176,1610612760,2,5,2021-11-25T01:12:28Z,150000,48.0,73.0,1,right,MISS L. Dort 8' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,8.7,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M05.00S,2021-11-25T01:12:25.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,5,2021-11-25T01:12:28Z,160000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M02.00S,2021-11-25T01:12:29.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,3.892904073587385,94.85294117647058,1610612762,2,5,2021-11-25T01:12:36Z,170000,-224.0,-16.0,1,left,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,22.49,Missed,,,,,,,,,,,,,,,,,,,
18,PT09M59.00S,2021-11-25T01:12:32.1Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,2,5,2021-11-25T01:12:36Z,180000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT09M44.00S,2021-11-25T01:12:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,85.75886990801577,39.21568627450981,1610612760,2,5,2021-11-25T01:20:58Z,190000,-54.0,81.0,1,right,MISS J. Giddey 9' fadeaway Shot,[1630581],1610612760.0,OKC,fadeaway,,,Giddey,J. Giddey,,,,,9.76,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M41.00S,2021-11-25T01:12:49.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,2,5,2021-11-25T01:12:50Z,200000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,
21,PT09M37.00S,2021-11-25T01:12:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202711,5.206964520367937,51.470588235294116,1610612762,2,7,2021-11-25T01:12:58Z,210000,-7.0,-4.0,1,left,B. Bogdanovic driving Layup (2 PTS) (M. Conley 1 AST),"[202711, 201144]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,0.82,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,,
23,PT09M22.00S,2021-11-25T01:13:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,94.69448094612353,44.11764705882353,1610612760,2,7,2021-11-25T01:13:12Z,230000,-29.0,-3.0,1,right,MISS J. Giddey driving Layup - blocked,"[1630581, 203497]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,2.95,Missed,,,,,,,,,Gobert,203497.0,,,,,,,,,
24,PT09M22.00S,2021-11-25T01:13:08.1Z,1,REGULAR,block,,[],203497,,,1610612760,2,7,2021-11-25T01:13:10Z,240000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M20.00S,2021-11-25T01:13:10.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,7,2021-11-25T01:13:12Z,250000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,
26,PT09M15.00S,2021-11-25T01:13:15.6Z,1,REGULAR,3pt,Jump Shot,[],201144,30.831143232588698,31.372549019607842,1610612762,2,10,2021-11-25T01:13:24Z,260000,93.0,237.0,1,left,M. Conley 25' 3PT pullup (6 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,25.49,Made,6.0,,,,,,,,,,,,,,,,,,
27,PT09M00.00S,2021-11-25T01:13:30.9Z,1,REGULAR,turnover,bad pass,[],1629652,,,1610612760,2,10,2021-11-25T01:13:35Z,270000,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 1626220]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,
28,PT09M00.00S,2021-11-25T01:13:30.9Z,1,REGULAR,steal,,[],1626220,,,1610612762,2,10,2021-11-25T01:13:33Z,280000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M56.00S,2021-11-25T01:13:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626220,5.601182654402102,54.65686274509803,1610612762,2,10,2021-11-25T01:13:41Z,290000,-23.0,0.0,1,left,MISS R. O'Neale running Layup,[1626220],1610612762.0,UTA,running,,,O'Neale,R. O'Neale,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M54.00S,2021-11-25T01:13:37.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,10,2021-11-25T01:13:41Z,300000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,
31,PT08M50.00S,2021-11-25T01:13:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,91.01511169513797,47.794117647058826,1610612760,2,10,2021-11-25T01:13:48Z,310000,-11.0,32.0,1,right,MISS J. Giddey cutting Layup - blocked,"[1630581, 203497]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,3.38,Missed,,,,,,,,,Gobert,203497.0,,,,,,,,,
32,PT08M50.00S,2021-11-25T01:13:41.1Z,1,REGULAR,block,,[],203497,,,1610612760,2,10,2021-11-25T01:13:43Z,320000,,,0,,R. Gobert BLOCK (2 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M50.00S,2021-11-25T01:13:41.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,2,10,2021-11-25T01:13:48Z,330000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,
34,PT08M50.00S,2021-11-25T01:13:46.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,2,10,2021-11-25T01:13:46Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M39.00S,2021-11-25T01:14:03.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,29.122864651773984,17.401960784313726,1610612762,2,10,2021-11-25T01:14:08Z,350000,163.0,221.0,1,left,MISS R. O'Neale 27' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M36.00S,2021-11-25T01:14:06.5Z,1,REGULAR,rebound,offensive,[],201144,,,1610612762,2,10,2021-11-25T01:14:06Z,360000,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,
37,PT08M29.00S,2021-11-25T01:14:13.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202711,11.251642575558476,4.901960784313726,1610612762,2,10,2021-11-25T01:14:19Z,370000,225.0,53.0,1,left,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.17,Missed,,,,,,,,,,,,,,,,,,,
