actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-10T00:10:14.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-10T00:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-10T00:10:17.7Z,1,REGULAR,jumpball,recovered,[],203210,,,1610612743,0,0,2022-01-10T00:10:17Z,40000,,,0,,Jump Ball N. Jokic vs. D. Favors: Tip to J. Green,"[203210, 203999, 202324]",1610612743.0,DEN,startperiod,J. Green,203210.0,Green,J. Green,Jokic,203999.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-10T00:10:31.6Z,1,REGULAR,foul,offensive,[],203210,,,1610612743,0,0,2022-01-10T00:10:45Z,70000,,,0,,J. Green offensive FOUL (1 PF),"[203210, 1629652]",1610612743.0,DEN,,,,Green,J. Green,,,,,101283.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-01-10T00:10:31.6Z,1,REGULAR,turnover,offensive foul,[],203210,,,1610612743,0,0,2022-01-10T00:10:31Z,90000,,,0,,J. Green offensive foul TURNOVER (1 TO),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,101283.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M25.00S,2022-01-10T00:11:04.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630526,30.17411300919842,21.813725490196077,1610612760,0,0,2022-01-10T00:11:10Z,100000,141.0,231.0,1,left,MISS J. Robinson-Earl 27' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,27.07,Missed,,,,,,,,,,,,
11,PT11M22.00S,2022-01-10T00:11:07.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-01-10T00:11:30Z,110000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M15.00S,2022-01-10T00:11:13.3Z,1,REGULAR,3pt,Jump Shot,[],203115,72.7496714848883,14.705882352941178,1610612743,0,3,2022-01-10T00:11:18Z,120000,-176.0,204.0,1,right,W. Barton 26' 3PT running (3 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,,,,,,,26.95,Made,,,,,3.0,N. Jokic,203999.0,1.0,,,,
13,PT11M00.00S,2022-01-10T00:11:31.6Z,1,REGULAR,foul,personal,[],203932,,,1610612760,0,3,2022-01-10T00:11:40Z,130000,,,0,,A. Gordon personal FOUL (1 PF),"[203932, 1628983]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,101283.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-01-10T00:11:54.6Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,0,3,2022-01-10T00:11:58Z,150000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1628420]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,1.0,,,,,,,,,,,Morris,1628420.0,,
17,PT10M52.00S,2022-01-10T00:11:54.6Z,1,REGULAR,steal,,[],1628420,,,1610612743,0,3,2022-01-10T00:14:11Z,160000,,,0,,M. Morris STEAL (1 STL),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2022-01-10T00:12:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203932,91.93495400788436,40.931372549019606,1610612743,0,3,2022-01-10T00:12:14Z,170000,-45.0,23.0,1,right,MISS A. Gordon reverse Layup,[203932],1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,,,,,,,5.09,Missed,,,,,,,,,,,,
19,PT10M34.00S,2022-01-10T00:12:12.6Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,3,2022-01-10T00:12:14Z,180000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,
20,PT10M34.00S,2022-01-10T00:12:12.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203932,94.40999984741211,50.0,1610612743,0,5,2022-01-10T00:19:08Z,190000,0.0,0.0,1,right,A. Gordon tip Layup (2 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,,,,,,,0.0,Made,,,,,2.0,,,,,,,
21,PT10M28.00S,2022-01-10T00:12:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,8.492115637319317,47.30392156862745,1610612760,0,5,2022-01-10T00:12:25Z,200000,13.0,27.0,1,left,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,,,,,,3.05,Missed,,,,,,,,,,,,
22,PT10M25.00S,2022-01-10T00:12:20.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,5,2022-01-10T00:12:25Z,210000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,
