actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2022-01-25T01:10:18.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-25T01:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT11M47.00S,2022-01-25T01:10:31.0Z,1,REGULAR,3pt,Jump Shot,[],203897,27.677398160315374,82.59803921568627,1610612741,0,0,2022-01-25T01:10:39Z,30000,-163.0,208.0,1,left,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,26.4,Missed,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M43.00S,2022-01-25T01:10:35.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2022-01-25T01:10:39Z,40000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,3.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
5,PT11M37.00S,2022-01-25T01:10:40.4Z,1,REGULAR,3pt,Jump Shot,[],1630526,69.07030223390277,72.54901960784314,1610612760,3,0,2022-01-25T01:10:45Z,50000,113.0,238.0,1,right,J. Robinson-Earl 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,,26.35,Made,Robinson-Earl,J. Robinson-Earl,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,,,
7,PT11M19.00S,2022-01-25T01:10:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,2.9730617608409986,35.294117647058826,1610612741,3,0,2022-01-25T01:11:04Z,70000,74.0,-25.0,1,left,MISS N. Vucevic 7' Jump Shot,[202696],1610612741.0,CHI,,7.75,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2022-01-25T01:11:00.6Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,3,0,2022-01-25T01:11:04Z,80000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2022-01-25T01:11:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,91.93495400788436,61.274509803921575,1610612760,5,0,2022-01-25T01:11:17Z,90000,56.0,23.0,1,right,J. Giddey 6' running Layup (2 PTS),[1630581],1610612760.0,OKC,running,6.1,Made,Giddey,J. Giddey,,,,,2.0,,,,,,,,,,,,,,,,,,,
10,PT10M56.00S,2022-01-25T01:11:20.8Z,1,REGULAR,2pt,Jump Shot,[],1630245,18.74178712220762,24.754901960784316,1610612741,5,2,2022-01-25T01:11:25Z,100000,126.0,124.0,1,left,A. Dosunmu 17' pullup Jump Shot (2 PTS) (Z. LaVine 1 AST),"[1630245, 203897]",1610612741.0,CHI,pullup,17.67,Made,Dosunmu,A. Dosunmu,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,,,
12,PT10M34.00S,2022-01-25T01:11:44.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,5,2,2022-01-25T01:11:44Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M33.00S,2022-01-25T01:12:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630526,82.60512483574244,40.44117647058824,1610612760,5,2,2022-01-25T01:13:02Z,130000,-48.0,111.0,1,right,MISS J. Robinson-Earl 12' driving floating Shot,[1630526],1610612760.0,OKC,driving floating,12.09,Missed,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
