actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-18T01:10:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T01:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-18T01:10:31.3Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,0,2021-11-18T01:10:31Z,40000,,,0,,Jump Ball C. Wood vs. J. Robinson-Earl: Tip to E. Gordon,"[201569, 1626174, 1630526]",1610612745.0,HOU,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Wood,1626174.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-18T01:10:46.5Z,1,REGULAR,turnover,lost ball,[],1630256,,,1610612745,0,0,2021-11-18T01:10:51Z,70000,,,0,,J. Tate lost ball TURNOVER (1 TO),"[1630256, 1628983]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-18T01:10:46.5Z,1,REGULAR,steal,,[],1628983,,,1610612760,0,0,2021-11-18T01:10:48Z,80000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-18T01:10:51.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629652,6.389618922470433,50.245098039215684,1610612760,2,0,2021-11-18T01:10:58Z,90000,-1.0,8.0,1,left,L. Dort cutting DUNK (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,,,,0.77,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,
11,PT11M26.00S,2021-11-18T01:11:01.7Z,1,REGULAR,3pt,Jump Shot,[],201569,71.56701708278581,21.07843137254902,1610612745,2,0,2021-11-18T01:11:06Z,110000,-145.0,215.0,1,right,MISS E. Gordon 25' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,25.89,Missed,,,,,,,,,,,,,,,,
12,PT11M23.00S,2021-11-18T01:11:04.7Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,2,0,2021-11-18T01:11:06Z,120000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M16.00S,2021-11-18T01:11:11.4Z,1,REGULAR,3pt,Jump Shot,[],1630526,25.443495400788436,81.86274509803921,1610612760,2,0,2021-11-18T01:11:15Z,130000,-159.0,187.0,1,left,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,24.54,Missed,,,,,,,,,,,,,,,,
14,PT11M14.00S,2021-11-18T01:11:13.4Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612745,2,0,2021-11-18T01:11:15Z,140000,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M06.00S,2021-11-18T01:11:22.3Z,1,REGULAR,3pt,Jump Shot,[],1627863,76.82325886990802,12.254901960784313,1610612745,2,0,2021-11-18T01:11:26Z,150000,-189.0,165.0,1,right,MISS D. House Jr. 25' 3PT,[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,25.09,Missed,,,,,,,,,,,,,,,,
16,PT11M02.00S,2021-11-18T01:11:26.3Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,2,0,2021-11-18T01:11:26Z,160000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
17,PT10M58.00S,2021-11-18T01:11:32.8Z,1,REGULAR,violation,kicked ball,[],1626174,,,1610612760,2,0,2021-11-18T01:12:51Z,170000,,,0,,C. Wood kicked ball VIOLATION,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,202056.0,,,,,,,
18,PT10M44.00S,2021-11-18T01:12:01.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,13.485545335085414,35.53921568627451,1610612760,2,0,2021-11-18T01:12:05Z,180000,72.0,74.0,1,left,MISS J. Giddey 10' pullup Shot,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,,,,10.37,Missed,,,,,,,,,,,,,,,,
19,PT10M42.00S,2021-11-18T01:12:03.0Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,2,0,2021-11-18T01:12:56Z,190000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,18.0,3.0,2.0,1.0,,,,,,,,
20,PT10M42.00S,2021-11-18T01:12:06.0Z,1,REGULAR,foul,personal,['2freethrow'],1627863,,,1610612760,2,0,2021-11-18T01:12:12Z,200000,,,0,,D. House Jr. shooting personal FOUL (1 PF) (Robinson-Earl 2 FT),"[1627863, 1630526]",1610612745.0,HOU,shooting,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Robinson-Earl,1630526.0,,,
22,PT10M42.00S,2021-11-18T01:12:35.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630526,,,1610612760,3,0,2021-11-18T01:12:35Z,220000,,,0,,J. Robinson-Earl Free Throw 1 of 2 (1 PTS),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
23,PT10M42.00S,2021-11-18T01:12:45.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630526,,,1610612760,4,0,2021-11-18T01:12:45Z,230000,,,0,,J. Robinson-Earl Free Throw 2 of 2 (2 PTS),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
24,PT10M29.00S,2021-11-18T01:13:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,89.30683311432325,46.81372549019608,1610612745,4,0,2021-11-18T01:17:11Z,240000,-16.0,48.0,1,right,MISS C. Wood floating Shot,[1626174],1610612745.0,HOU,floating,,,Wood,C. Wood,,,,,,,,5.06,Missed,,,,,,,,,,,,,,,,
25,PT10M27.00S,2021-11-18T01:13:04.9Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,4,0,2021-11-18T01:17:11Z,250000,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,
59,PT10M27.00S,2021-11-18T01:13:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,92.55913272010513,49.754901960784316,1610612745,4,0,2021-11-18T01:17:34Z,255000,-1.0,17.0,1,right,MISS J. Tate tip Layup,[1630256],1610612745.0,HOU,tip,,,Tate,J. Tate,,,,,,,,1.74,Missed,,,,,,,,,,,,,,,,
60,PT10M26.00S,2021-11-18T01:13:05.8Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,4,0,2021-11-18T01:17:34Z,257500,,,0,,J. Tate REBOUND (Off:2 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,59.0,2.0,0.0,2.0,,,,,,,,
26,PT10M23.00S,2021-11-18T01:13:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,94.56307490144546,50.245098039215684,1610612745,4,0,2021-11-18T01:17:34Z,260000,1.0,-1.0,1,right,MISS J. Tate putback Layup,[1630256],1610612745.0,HOU,putback,,,Tate,J. Tate,,,,,,,,0.18,Missed,,,,,,,,,,,,,,,,
27,PT10M23.00S,2021-11-18T01:13:06.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,4,0,2021-11-18T01:13:17Z,270000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,
28,PT10M21.00S,2021-11-18T01:13:13.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,4,0,2021-11-18T01:13:13Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M13.00S,2021-11-18T01:13:34.7Z,1,REGULAR,turnover,lost ball,[],201569,,,1610612745,4,0,2021-11-18T01:13:38Z,290000,,,0,,E. Gordon lost ball TURNOVER (1 TO),"[201569, 1628983]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,,,
30,PT10M13.00S,2021-11-18T01:13:34.7Z,1,REGULAR,steal,,[],1628983,,,1610612760,4,0,2021-11-18T01:13:36Z,300000,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M08.00S,2021-11-18T01:13:39.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629652,22.421156373193167,87.00980392156863,1610612760,7,0,2021-11-18T01:13:47Z,310000,-185.0,158.0,1,left,L. Dort 24' 3PT  (5 PTS) (S. Gilgeous-Alexander 2 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,24.35,Made,5.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,
33,PT09M55.00S,2021-11-18T01:13:52.0Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.51576872536137,77.94117647058823,1610612745,7,3,2021-11-18T01:13:55Z,330000,140.0,225.0,1,right,J. Green 26' 3PT pullup (3 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,,,,26.46,Made,3.0,,,,,,,,,,,,,,,
34,PT09M33.00S,2021-11-18T01:14:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,18.347568988173457,94.36274509803921,1610612760,7,3,2021-11-18T01:14:18Z,340000,-222.0,120.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,25.22,Missed,,,,,,,,,,,,,,,,
35,PT09M30.00S,2021-11-18T01:14:16.7Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,3,2021-11-18T01:14:18Z,350000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT09M14.00S,2021-11-18T01:14:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627863,86.81011826544021,51.225490196078425,1610612745,7,3,2021-11-18T01:14:37Z,360000,6.0,71.0,1,right,MISS D. House Jr. 7' floating Shot,[1627863],1610612745.0,HOU,floating,,,House Jr.,D. House Jr.,,,,,,,,7.18,Missed,,,,,,,,,,,,,,,,
37,PT09M13.00S,2021-11-18T01:14:33.8Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,7,3,2021-11-18T01:14:37Z,370000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:3),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,36.0,4.0,3.0,1.0,,,,,,,,
38,PT09M07.00S,2021-11-18T01:14:40.8Z,1,REGULAR,3pt,Jump Shot,[],1629647,7.966491458607096,3.1862745098039214,1610612760,7,3,2021-11-18T01:14:45Z,380000,234.0,22.0,1,left,MISS D. Bazley 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,23.52,Missed,,,,,,,,,,,,,,,,
