actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-23T01:10:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-23T01:10:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-23T01:10:28.3Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2021-12-23T01:10:28Z,40000,,,0,,Jump Ball D. Favors vs. N. Jokic: Tip to J. Giddey,"[1630581, 202324, 203999]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Favors,202324.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2021-12-23T01:10:33.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,3.4986859395532193,95.09803921568627,1610612760,3,0,2021-12-23T01:10:38Z,70000,-225.0,-20.0,1,left,L. Dort 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,22.64,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-23T01:11:00.0Z,1,REGULAR,foul,technical,['1freethrow'],1630581,,,1610612743,3,0,2021-12-23T01:11:07Z,90000,,,0,,J. Giddey defensive-3-second technical FOUL (1 Tech),[1630581],1610612760.0,OKC,defensive-3-second,,,Giddey,J. Giddey,,,,,,,,,,,1662.0,0.0,1.0,,,,,,,,,,,
10,PT11M30.00S,2021-12-23T01:11:15.8Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,3,1,2021-12-23T01:11:15Z,100000,,,0,,N. Jokic technical Free Throw 1 of 1 (1 PTS),[203999],1610612743.0,DEN,technical,,,Jokic,N. Jokic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2021-12-23T01:11:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,90.22667542706965,49.26470588235294,1610612743,3,1,2021-12-23T01:11:48Z,110000,-4.0,39.0,1,right,MISS W. Barton floating Shot,[203115],1610612743.0,DEN,floating,,,Barton,W. Barton,,,,,3.96,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2021-12-23T01:11:36.3Z,1,REGULAR,rebound,offensive,[],203115,,,1610612743,3,1,2021-12-23T01:11:38Z,120000,,,0,,W. Barton REBOUND (Off:1 Def:0),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M21.00S,2021-12-23T01:11:35.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203115,94.40999984741211,50.0,1610612743,3,1,2021-12-23T01:11:41Z,130000,0.0,0.0,1,right,MISS W. Barton tip Layup,[203115],1610612743.0,DEN,tip,,,Barton,W. Barton,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2021-12-23T01:11:35.6Z,1,REGULAR,rebound,offensive,[],203115,,,1610612743,3,1,2021-12-23T01:11:41Z,140000,,,0,,W. Barton REBOUND (Off:2 Def:0),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,13.0,2.0,0.0,2.0,,,,,,,
15,PT11M17.00S,2021-12-23T01:11:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203115,94.40999984741211,50.0,1610612743,3,3,2021-12-23T01:11:39Z,150000,0.0,0.0,1,right,W. Barton putback Layup (2 PTS),[203115],1610612743.0,DEN,putback,,,Barton,W. Barton,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
