actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-11-13T01:11:01.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T01:11:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-13T01:11:03.2Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2021-11-13T01:11:03Z,40000,,,0,,Jump Ball R. Holmes vs. J. Robinson-Earl: Tip to T. Haliburton,"[1630169, 1626158, 1630526]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Holmes,1626158.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2021-11-13T01:11:26.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,74.45795006570303,83.33333333333334,1610612758,0,0,2021-11-13T01:11:34Z,70000,167.0,188.0,1,right,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-11-13T01:11:26.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2021-11-13T01:11:44Z,80000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2021-11-13T01:11:49.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612758,0,0,2021-11-13T01:12:19Z,100000,,,0,,SAC shot clock Team TURNOVER,[],1610612758.0,SAC,,,,,,,,,,,,,1626302.0,,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-11-13T01:12:09.6Z,1,REGULAR,violation,kicked ball,[],1629002,,,1610612760,0,0,2021-11-13T01:13:47Z,110000,,,0,,C. Metu kicked ball VIOLATION,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,203593.0,,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-11-13T01:12:38.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,29.122864651773984,21.568627450980394,1610612760,0,0,2021-11-13T01:12:46Z,120000,142.0,221.0,1,left,MISS L. Dort 26' step back 3PT,[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-11-13T01:12:42.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2021-11-13T01:12:42Z,130000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,12.0,,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M58.00S,2021-11-13T01:12:48.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203084,93.77463863337714,38.48039215686275,1610612758,0,0,2021-11-13T01:14:26Z,140000,-58.0,6.0,1,right,MISS H. Barnes driving Layup,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,5.79,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2021-11-13T01:12:49.6Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,0,0,2021-11-13T01:13:08Z,150000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,14.0,,1.0,0.0,1.0,,,,,,,,,,,,,
16,PT10M54.00S,2021-11-13T01:13:52.4Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612758,0,0,2021-11-13T01:13:52Z,160000,,,0,,Jump Ball J. Robinson-Earl vs. R. Holmes: Tip to S. Gilgeous-Alexander,"[1628983, 1630526, 1626158]",1610612760.0,OKC,heldball,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Robinson-Earl,1630526.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,
19,PT10M54.00S,2021-11-13T01:13:52.4Z,1,REGULAR,turnover,lost ball,[],1626158,,,1610612758,0,0,2021-11-13T01:13:52Z,190000,,,0,,R. Holmes lost ball TURNOVER (1 TO),"[1626158, 1630526]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,1.0,Robinson-Earl,1630526.0,,,,,,,,,,
20,PT10M54.00S,2021-11-13T01:13:52.4Z,1,REGULAR,steal,,[],1630526,,,1610612760,0,0,2021-11-13T01:13:52Z,200000,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2021-11-13T01:13:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630581,5.469776609724048,54.65686274509803,1610612760,0,0,2021-11-13T01:14:03Z,210000,-23.0,-1.0,1,left,MISS J. Giddey Layup,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,
22,PT10M44.00S,2021-11-13T01:14:02.9Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,0,0,2021-11-13T01:14:03Z,220000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,21.0,,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M39.00S,2021-11-13T01:14:08.0Z,1,REGULAR,3pt,Jump Shot,[],1629002,79.05716162943496,91.17647058823529,1610612758,0,0,2021-11-13T01:14:16Z,230000,206.0,144.0,1,right,MISS C. Metu 25' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,
