actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-16T01:10:15.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T01:10:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-16T01:10:16.7Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2021-12-16T01:10:16Z,40000,,,0,,Jump Ball D. Favors vs. J. Valanciunas: Tip to J. Giddey,"[1630581, 202324, 202685]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Favors,202324.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-16T01:10:30.9Z,1,REGULAR,foul,personal,[],1628984,,,1610612760,0,0,2021-12-16T01:10:43Z,70000,,,0,,D. Graham personal FOUL (1 PF),"[1628984, 1630581]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,1193.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-12-16T01:10:55.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,0,0,2021-12-16T01:10:55Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2021-12-16T01:11:29.5Z,1,REGULAR,3pt,Jump Shot,[],1628983,71.30420499342969,16.42156862745098,1610612760,0,0,2021-12-16T01:11:34Z,100000,-168.0,217.0,1,right,MISS S. Gilgeous-Alexander 27' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,27.45,Missed,,,,,,,,,,,,,,
11,PT11M30.00S,2021-12-16T01:11:32.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2021-12-16T01:11:34Z,110000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M21.00S,2021-12-16T01:11:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,5.601182654402102,52.450980392156865,1610612740,0,0,2021-12-16T01:11:45Z,120000,-12.0,0.0,1,left,MISS B. Ingram Layup,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,1.23,Missed,,,,,,,,,,,,,,
13,PT11M19.00S,2021-12-16T01:11:43.3Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2021-12-16T01:11:45Z,130000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M10.00S,2021-12-16T01:11:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,93.64323258869908,47.05882352941176,1610612760,2,0,2021-12-16T01:11:56Z,140000,-15.0,7.0,1,right,A. Wiggins cutting Layup (2 PTS) (D. Favors 1 AST),"[1630598, 202324]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,,,,,,1.64,Made,,,,,2.0,D. Favors,202324.0,1.0,,,,,,
16,PT10M47.00S,2021-12-16T01:12:15.1Z,1,REGULAR,2pt,Jump Shot,[],1628984,22.421156373193167,59.31372549019608,1610612740,2,0,2021-12-16T01:12:24Z,160000,-47.0,158.0,1,left,MISS D. Graham 16' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,16.5,Missed,,,,,,,,,,,,,,
17,PT10M45.00S,2021-12-16T01:12:17.1Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,0,2021-12-16T01:12:24Z,170000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,,
18,PT10M44.00S,2021-12-16T01:12:18.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,4.5499342969776615,48.77450980392157,1610612740,2,2,2021-12-16T01:12:26Z,180000,6.0,-10.0,1,left,J. Valanciunas putback Layup (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,,,,,,1.15,Made,,,,,2.0,,,,,,,,,
19,PT10M29.00S,2021-12-16T01:12:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202324,85.23324572930355,50.245098039215684,1610612760,2,2,2021-12-16T01:12:45Z,190000,1.0,86.0,1,right,MISS D. Favors 8' floating Shot,[202324],1610612760.0,OKC,floating,,,Favors,D. Favors,,,,,,,,,,8.63,Missed,,,,,,,,,,,,,,
20,PT10M27.00S,2021-12-16T01:12:35.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,2,2021-12-16T01:12:35Z,200000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,19.0,3.0,2.0,1.0,,,,,,,,,,
21,PT10M26.00S,2021-12-16T01:12:35.7Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,2,2,2021-12-16T01:12:48Z,210000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1630581]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,1.0,Giddey,1630581.0,,,
22,PT10M26.00S,2021-12-16T01:12:35.7Z,1,REGULAR,steal,,[],1630581,,,1610612760,2,2,2021-12-16T01:12:37Z,220000,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M24.00S,2021-12-16T01:12:38.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202324,93.51182654402102,48.77450980392157,1610612760,4,2,2021-12-16T01:12:47Z,230000,-6.0,8.0,1,right,D. Favors Layup (2 PTS) (J. Giddey 1 AST),"[202324, 1630581]",1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,1.05,Made,,,,,2.0,J. Giddey,1630581.0,1.0,,,,,,
25,PT10M04.00S,2021-12-16T01:12:58.9Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612740,4,2,2021-12-16T01:13:02Z,250000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1630598]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,1.0,Wiggins,1630598.0,,,
