actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-08T01:12:05.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-08T01:12:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-08T01:12:08.2Z,1,REGULAR,jumpball,recovered,[],1630544,,,1610612760,0,0,2022-02-08T01:12:08Z,40000,,,0,,Jump Ball D. Favors vs. K. Looney: Tip to T. Mann,"[1630544, 202324, 1626172]",1610612760.0,OKC,startperiod,T. Mann,1630544.0,Mann,T. Mann,Favors,202324.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-08T01:12:28.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,33.065045992115635,29.411764705882355,1610612760,0,0,2022-02-08T01:12:35Z,70000,103.0,258.0,1,left,MISS L. Dort 27' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,27.8,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-02-08T01:12:30.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2022-02-08T01:12:35Z,80000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-02-08T01:12:34.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2022-02-08T01:12:34Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-02-08T01:12:53.4Z,1,REGULAR,3pt,Jump Shot,[],202691,68.80749014454665,78.18627450980392,1610612744,0,0,2022-02-08T01:12:58Z,100000,141.0,241.0,1,right,MISS K. Thompson 27' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,27.89,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-02-08T01:12:55.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2022-02-08T01:12:58Z,110000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-02-08T01:13:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,7.5722733245729295,57.107843137254896,1610612760,2,0,2022-02-08T01:13:09Z,120000,-36.0,19.0,1,left,J. Giddey running Layup (2 PTS),[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,4.01,Made,,,,,2.0,,,,,,,,,,,,,,
13,PT11M02.00S,2022-02-08T01:13:14.9Z,1,REGULAR,violation,kicked ball,[],202324,,,1610612744,2,0,2022-02-08T01:13:21Z,130000,,,0,,D. Favors kicked ball VIOLATION,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,2530.0,,,,,,,,,,,,,
14,PT10M54.00S,2022-02-08T01:13:36.2Z,1,REGULAR,2pt,Jump Shot,[],1626172,89.30683311432325,17.401960784313726,1610612744,2,0,2022-02-08T01:13:41Z,140000,-163.0,48.0,1,right,MISS K. Looney 16' Jump Shot,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,16.99,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2022-02-08T01:13:40.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,0,2022-02-08T01:13:41Z,150000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-02-08T01:13:49.6Z,1,REGULAR,turnover,bad pass,[],1629652,,,1610612760,2,0,2022-02-08T01:13:52Z,160000,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 202691]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,1.0,Thompson,202691.0,,,,,,,,,,
17,PT10M40.00S,2022-02-08T01:13:49.6Z,1,REGULAR,steal,,[],202691,,,1610612744,2,0,2022-02-08T01:18:36Z,170000,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2022-02-08T01:13:57.5Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612744,2,0,2022-02-08T01:14:03Z,180000,,,0,,J. Giddey shooting personal FOUL (1 PF) (Thompson 2 FT),"[1630581, 202691]",1610612760.0,OKC,shooting,,,Giddey,J. Giddey,,,,,,,,,,,,1627541.0,,,,1.0,0.0,Thompson,202691.0,,,,,,
20,PT10M36.00S,2022-02-08T01:14:26.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202691,,,1610612744,2,1,2022-02-08T01:14:26Z,200000,,,0,,K. Thompson Free Throw 1 of 2 (1 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
21,PT10M36.00S,2022-02-08T01:14:42.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202691,,,1610612744,2,2,2022-02-08T01:14:42Z,210000,,,0,,K. Thompson Free Throw 2 of 2 (2 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT10M14.00S,2022-02-08T01:15:09.3Z,1,REGULAR,foul,offensive,[],1630544,,,1610612760,2,2,2022-02-08T01:15:24Z,220000,,,0,,T. Mann charge offensive FOUL (1 PF),"[1630544, 201939]",1610612760.0,OKC,charge,,,Mann,T. Mann,,,,,,,,,,,,2530.0,,,,1.0,0.0,Curry,201939.0,,,,,,
24,PT10M14.00S,2022-02-08T01:15:09.3Z,1,REGULAR,turnover,offensive foul,[],1630544,,,1610612760,2,2,2022-02-08T01:15:09Z,240000,,,0,,T. Mann offensive foul TURNOVER (1 TO),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,2530.0,1.0,,,,,,,,,,,,
25,PT10M02.00S,2022-02-08T01:15:38.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203952,79.31997371879106,22.058823529411764,1610612744,2,4,2022-02-08T01:15:43Z,250000,-140.0,142.0,1,right,A. Wiggins 19' pullup Jump Shot (2 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,19.91,Made,,,,,2.0,,,,,,,,,K. Thompson,202691.0,1.0,,,
27,PT09M47.00S,2022-02-08T01:15:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,8.754927726675426,39.705882352941174,1610612760,4,4,2022-02-08T01:17:16Z,270000,51.0,30.0,1,left,J. Giddey driving finger roll Layup (4 PTS),[1630581],1610612760.0,OKC,driving finger roll,,,Giddey,J. Giddey,,,,,5.95,Made,,,,,4.0,,,,,,,,,,,,,,
28,PT09M39.00S,2022-02-08T01:16:01.6Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,4,4,2022-02-08T01:16:06Z,280000,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,,,,,,,,1628487.0,1.0,,,,,,,,,,,,
29,PT09M26.00S,2022-02-08T01:16:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630544,8.886333771353483,42.64705882352941,1610612760,6,4,2022-02-08T01:16:24Z,290000,37.0,31.0,1,left,T. Mann driving Layup (2 PTS),[1630544],1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,4.81,Made,,,,,2.0,,,,,,,,,,,,,,
30,PT09M18.00S,2022-02-08T01:16:27.0Z,1,REGULAR,3pt,Jump Shot,[],202691,94.03745072273325,95.58823529411765,1610612744,6,4,2022-02-08T01:17:57Z,300000,228.0,4.0,1,right,MISS K. Thompson running 3PT,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2022-02-08T01:16:28.0Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,6,4,2022-02-08T01:16:41Z,310000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M10.00S,2022-02-08T01:16:37.6Z,1,REGULAR,violation,kicked ball,[],201939,,,1610612760,6,4,2022-02-08T01:16:45Z,320000,,,0,,S. Curry kicked ball VIOLATION,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,1628487.0,,,,,,,,,,,,,
33,PT09M03.00S,2022-02-08T01:16:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,9.674770039421814,45.34313725490196,1610612760,8,4,2022-02-08T01:16:59Z,330000,23.0,38.0,1,left,L. Dort driving Layup (2 PTS),[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,4.49,Made,,,,,2.0,,,,,,,,,,,,,,
34,PT08M52.00S,2022-02-08T01:17:07.4Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,8,4,2022-02-08T01:17:14Z,340000,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 1629647]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,2.0,Bazley,1629647.0,,,,,,,,,,
35,PT08M52.00S,2022-02-08T01:17:07.4Z,1,REGULAR,steal,,[],1629647,,,1610612760,8,4,2022-02-08T01:17:08Z,350000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
