actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-19T01:10:30.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-19T01:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-19T01:10:32.2Z,1,REGULAR,jumpball,recovered,[],1626159,,,1610612746,0,0,2021-12-19T01:10:32Z,40000,,,0,,Jump Ball I. Zubac vs. J. Robinson-Earl: Tip to J. Winslow,"[1626159, 1627826, 1630526]",1610612746.0,LAC,startperiod,J. Winslow,1626159.0,Winslow,J. Winslow,Zubac,1627826.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-19T01:10:45.7Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,0,0,2021-12-19T01:10:51Z,70000,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,bad pass,,,Jackson,R. Jackson,,,,,1627529.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-19T01:11:04.9Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,0,0,2021-12-19T01:11:08Z,80000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1627826]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,1.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-19T01:11:04.9Z,1,REGULAR,steal,,[],1627826,,,1610612746,0,0,2021-12-19T01:11:06Z,90000,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-12-19T01:11:11.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628379,11.777266754270697,3.6764705882352944,1610612746,0,3,2021-12-19T01:11:15Z,100000,232.0,58.0,1,left,L. Kennard 3PT  (3 PTS) (T. Mann 1 AST),"[1628379, 1629611]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,23.88,Made,3.0,T. Mann,1629611.0,1.0,,,,,,,,,,,
12,PT11M02.00S,2021-12-19T01:11:36.9Z,1,REGULAR,3pt,Jump Shot,[],1630598,84.57621550591328,4.6568627450980395,1610612760,3,3,2021-12-19T01:11:41Z,120000,-227.0,92.0,1,right,A. Wiggins 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,24.48,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,
14,PT10M40.00S,2021-12-19T01:11:59.1Z,1,REGULAR,2pt,Jump Shot,[],202704,23.73521681997372,73.2843137254902,1610612746,3,3,2021-12-19T01:12:04Z,140000,-116.0,171.0,1,left,MISS R. Jackson 20' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,20.65,Missed,,,,,,,,,,,,,,,
15,PT10M37.00S,2021-12-19T01:12:02.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,3,3,2021-12-19T01:12:04Z,150000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M28.00S,2021-12-19T01:12:10.9Z,1,REGULAR,3pt,Jump Shot,[],1630526,76.95466491458606,9.803921568627452,1610612760,3,3,2021-12-19T01:12:15Z,160000,-201.0,164.0,1,right,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,25.95,Missed,,,,,,,,,,,,,,,
