actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-13T00:10:33.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-13T00:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-13T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-12-13T00:10:35Z,40000,,,0,,Jump Ball K. Porzingis vs. J. Robinson-Earl: Tip to D. Powell,"[203939, 204001, 1630526]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-13T00:10:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,83.919185282523,50.245098039215684,1610612742,0,0,2021-12-13T00:12:13Z,70000,1.0,99.0,1,right,MISS J. Brunson 9' driving floating Shot,[1628973],1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,9.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-12-13T00:10:56.1Z,1,REGULAR,rebound,offensive,[],1628973,,,1610612742,0,0,2021-12-13T00:11:04Z,80000,,,0,,J. Brunson REBOUND (Off:1 Def:0),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-13T00:10:59.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203493,72.09264126149803,14.215686274509803,1610612742,0,3,2021-12-13T00:11:06Z,90000,-179.0,210.0,1,right,R. Bullock 27' 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[203493, 1627827]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,27.57,Made,,,,,3.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,
10,PT11M19.00S,2021-12-13T00:11:17.1Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,0,3,2021-12-13T00:11:23Z,100000,,,0,,S. Gilgeous-Alexander lost ball out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,lost ball,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,1628951.0,1.0,,,,,,,,
11,PT11M00.00S,2021-12-13T00:11:40.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,93.9060446780552,95.58823529411765,1610612742,0,3,2021-12-13T00:11:47Z,110000,228.0,5.0,1,right,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2021-12-13T00:11:44.9Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,0,3,2021-12-13T00:11:47Z,120000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M55.00S,2021-12-13T00:11:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203939,92.85479632063075,51.71568627450981,1610612742,0,5,2021-12-13T00:11:50Z,130000,9.0,15.0,1,right,D. Powell putback Layup (2 PTS),[203939],1610612742.0,DAL,putback,,,Powell,D. Powell,,,,,1.7,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M43.00S,2021-12-13T00:11:57.1Z,1,REGULAR,3pt,Jump Shot,[],1630526,24.392247043363994,85.04901960784314,1610612760,0,5,2021-12-13T00:12:01Z,140000,-175.0,177.0,1,left,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,
