actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-11-08T00:10:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-08T00:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-08T00:10:39.7Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-11-08T00:10:39Z,40000,,,0,,Jump Ball D. Eubanks vs. J. Robinson-Earl: Tip to D. Murray,"[1627749, 1629234, 1630526]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Eubanks,1629234.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-11-08T00:10:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,88.38699080157687,43.872549019607845,1610612759,0,0,2021-11-08T00:11:06Z,70000,-31.0,57.0,1,right,MISS D. White 6' driving Layup,[1628401],1610612759.0,SAS,driving,,,White,D. White,,,,,6.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-11-08T00:11:01.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2021-11-08T00:11:06Z,80000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2021-11-08T00:11:06.7Z,1,REGULAR,3pt,Jump Shot,[],1630581,5.469776609724048,95.09803921568627,1610612760,0,0,2021-11-08T00:11:16Z,90000,-225.0,-1.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-11-08T00:11:09.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,0,2021-11-08T00:11:16Z,100000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2021-11-08T00:11:17.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,91.67214191852825,55.392156862745104,1610612759,0,2,2021-11-08T00:11:24Z,110000,27.0,26.0,1,right,K. Johnson cutting Layup (2 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,cutting,,,Johnson,K. Johnson,,,,,3.73,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,
13,PT11M07.00S,2021-11-08T00:11:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,14.14257555847569,40.68627450980392,1610612760,0,2,2021-11-08T00:11:34Z,130000,47.0,80.0,1,left,MISS J. Giddey 9' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,9.29,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2021-11-08T00:11:32.0Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,0,2,2021-11-08T00:11:32Z,140000,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT10M57.00S,2021-11-08T00:11:39.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,7.966491458607096,58.82352941176471,1610612760,0,2,2021-11-08T00:11:46Z,150000,-44.0,22.0,1,left,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1627749]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.95,Missed,,,,,,,,,Murray,1627749.0,,,,,,,,
