actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
19,PT10M51.00S,2022-03-05T01:12:28.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626156,,,1610612750,4,3,2022-03-05T01:13:00Z,190000,,,0,,D. Russell Free Throw 1 of 2 (3 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
20,PT10M51.00S,2022-03-05T01:12:28.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626156,,,1610612750,4,4,2022-03-05T01:13:00Z,200000,,,0,,D. Russell Free Throw 2 of 2 (4 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2022-03-05T01:13:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,7.5722733245729295,58.57843137254902,1610612760,4,4,2022-03-05T01:13:22Z,210000,-43.0,19.0,1,left,MISS A. Pokusevski Layup - blocked,"[1630197, 1630183]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,4.68,Missed,,,,,,,,,,,,,McDaniels,1630183.0,,,,
22,PT10M33.00S,2022-03-05T01:13:12.7Z,1,REGULAR,block,,[],1630183,,,1610612760,4,4,2022-03-05T01:13:19Z,220000,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M24.00S,2022-03-05T01:13:21.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,4,4,2022-03-05T01:13:22Z,230000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0
24,PT10M22.00S,2022-03-05T01:13:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626157,92.06636005256242,53.92156862745098,1610612750,4,4,2022-03-05T01:13:38Z,240000,20.0,22.0,1,right,MISS K. Towns Layup - blocked,"[1626157, 1629647]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,2.95,Missed,,,,,,,,,,,,,Bazley,1629647.0,,,,
25,PT10M22.00S,2022-03-05T01:13:23.4Z,1,REGULAR,block,,[],1629647,,,1610612750,4,4,2022-03-05T01:13:30Z,250000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M21.00S,2022-03-05T01:13:24.4Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,4,4,2022-03-05T01:14:32Z,260000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,24.0,1.0,0.0,1.0
27,PT10M20.00S,2022-03-05T01:13:35.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201976,73.66951379763469,89.95098039215686,1610612750,4,4,2022-03-05T01:14:52Z,270000,200.0,195.0,1,right,MISS P. Beverley 27' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,27.92,Missed,,,,,,,,,,,,,,,,,,
28,PT10M18.00S,2022-03-05T01:13:37.9Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,4,4,2022-03-05T01:16:06Z,280000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0
