actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-31T00:10:10.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T00:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-31T00:10:11.9Z,1,REGULAR,jumpball,recovered,[],1630177,,,1610612760,0,0,2022-03-31T00:10:11Z,40000,,,0,,Jump Ball I. Roby vs. C. Capela: Tip to T. Maledon,"[1630177, 1629676, 203991]",1610612760.0,OKC,startperiod,T. Maledon,1630177.0,Maledon,T. Maledon,Roby,1629676.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-31T00:10:24.3Z,1,REGULAR,turnover,traveling,[],1629676,,,1610612760,0,0,2022-03-31T00:10:29Z,70000,,,0,,I. Roby traveling TURNOVER (1 TO),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,202049.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-03-31T00:10:51.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,74.58935611038108,11.27450980392157,1610612737,0,0,2022-03-31T00:10:56Z,80000,-194.0,186.0,1,right,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,26.87,Missed,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-03-31T00:10:55.3Z,1,REGULAR,rebound,defensive,[],1630177,,,1610612760,0,0,2022-03-31T00:10:56Z,90000,,,0,,T. Maledon REBOUND (Off:0 Def:1),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M19.00S,2022-03-31T00:11:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,11.908672798948752,41.911764705882355,1610612760,0,0,2022-03-31T00:11:07Z,100000,40.0,59.0,1,left,MISS A. Pokusevski 7' running Layup,[1630197],1610612760.0,OKC,running,,,Pokusevski,A. Pokusevski,,,,,,,7.18,Missed,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-03-31T00:11:04.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-03-31T00:11:07Z,110000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M14.00S,2022-03-31T00:11:08.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,60.528909329829176,37.99019607843137,1610612737,0,3,2022-03-31T00:11:51Z,120000,-60.0,319.0,1,right,T. Young 32' 3PT running pullup (3 PTS),[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,,,32.41,Made,,,,,3.0,,,,,,,,,,,,
13,PT10M58.00S,2022-03-31T00:11:23.1Z,1,REGULAR,2pt,Jump Shot,[],1630177,19.267411300919843,21.323529411764707,1610612760,0,3,2022-03-31T00:11:27Z,130000,143.0,129.0,1,left,MISS T. Maledon 19' pullup Shot,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,,,19.26,Missed,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2022-03-31T00:11:25.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,0,3,2022-03-31T00:11:27Z,140000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
