actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-06T00:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-06T00:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-06T00:10:35.7Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612757,0,0,2022-04-06T00:10:35Z,40000,,,0,,Jump Ball D. Eubanks vs. I. Roby: Tip to K. Dunn,"[1627739, 1629234, 1629676]",1610612757.0,POR,startperiod,K. Dunn,1627739.0,Dunn,K. Dunn,Eubanks,1629234.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-04-06T00:10:56.2Z,1,REGULAR,foul,personal,['2freethrow'],1630285,,,1610612757,0,0,2022-04-06T00:11:03Z,70000,,,0,,Z. Simpson shooting personal FOUL (1 PF) (Eubanks 2 FT),"[1630285, 1629234]",1610612760.0,OKC,shooting,,,Simpson,Z. Simpson,,,,,101284.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-04-06T00:11:18.5Z,1,REGULAR,freethrow,1 of 2,[],1629234,,,1610612757,0,1,2022-04-06T00:11:18Z,90000,,,0,,D. Eubanks Free Throw 1 of 2 (1 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M36.00S,2022-04-06T00:11:32.5Z,1,REGULAR,freethrow,2 of 2,[],1629234,,,1610612757,0,2,2022-04-06T00:11:32Z,100000,,,0,,D. Eubanks Free Throw 2 of 2 (2 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-04-06T00:11:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630285,5.469776609724048,55.63725490196079,1610612760,2,2,2022-04-06T00:12:01Z,110000,-28.0,-1.0,1,left,Z. Simpson driving Layup (2 PTS),[1630285],1610612760.0,OKC,driving,,,Simpson,Z. Simpson,,,,,,,,,,Made,2.0,2.82,,,,,,,,,,,,,
12,PT10M50.00S,2022-04-06T00:12:23.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,2,2,2022-04-06T00:12:23Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2022-04-06T00:12:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,87.46714848883047,54.90196078431373,1610612757,2,2,2022-04-06T00:12:43Z,130000,25.0,65.0,1,right,MISS K. Dunn 6' floating Shot,[1627739],1610612757.0,POR,floating,,,Dunn,K. Dunn,,,,,,,,,,Missed,,6.97,,,,,,,,,,,,,
14,PT10M45.00S,2022-04-06T00:12:41.5Z,1,REGULAR,rebound,offensive,[],1627739,,,1610612757,2,2,2022-04-06T00:12:41Z,140000,,,0,,K. Dunn REBOUND (Off:1 Def:0),[1627739],1610612757.0,POR,,,,Dunn,K. Dunn,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,
15,PT10M44.00S,2022-04-06T00:12:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627739,94.43166885676742,54.41176470588235,1610612757,2,4,2022-04-06T00:12:47Z,150000,22.0,0.0,1,right,K. Dunn reverse Layup (2 PTS),[1627739],1610612757.0,POR,reverse,,,Dunn,K. Dunn,,,,,,,,,,Made,2.0,2.21,,,,,,,,,,,,,
16,PT10M20.00S,2022-04-06T00:13:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630686,8.492115637319317,57.35294117647059,1610612760,4,4,2022-04-06T00:13:35Z,160000,-37.0,27.0,1,left,G. Kalaitzakis driving floating bank Jump Shot (2 PTS),[1630686],1610612760.0,OKC,driving floating bank,,,Kalaitzakis,G. Kalaitzakis,,,,,,,,,,Made,2.0,4.58,,,,,,,,,,,,,
17,PT10M07.00S,2022-04-06T00:13:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630535,89.96386333771353,50.0,1610612757,4,6,2022-04-06T00:13:25Z,170000,0.0,42.0,1,right,G. Brown III cutting Layup (2 PTS) (K. Dunn 1 AST),"[1630535, 1627739]",1610612757.0,POR,cutting,,,Brown III,G. Brown III,,,,,,,,,,Made,2.0,4.18,,,,,K. Dunn,1627739.0,1.0,,,,,,
