actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-22T00:10:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-22T00:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-22T00:10:32.9Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2022-03-22T00:10:32Z,40000,,,0,,Jump Ball A. Horford vs. I. Roby: Tip to G. Williams,"[1629684, 201143, 1629676]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-22T00:10:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.09789750328515,57.84313725490197,1610612738,0,2,2022-03-22T00:10:47Z,70000,-39.0,24.0,1,left,J. Tatum cutting Layup (2 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,4.58,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-03-22T00:10:57.9Z,1,REGULAR,foul,personal,[],1627759,,,1610612760,0,2,2022-03-22T00:11:09Z,90000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1628983]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1626301.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,
11,PT11M27.00S,2022-03-22T00:11:26.8Z,1,REGULAR,3pt,Jump Shot,[],1629647,70.51576872536137,22.058823529411764,1610612760,0,2,2022-03-22T00:11:31Z,110000,-140.0,225.0,1,right,MISS D. Bazley 26' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-03-22T00:11:29.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2022-03-22T00:11:31Z,120000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M14.00S,2022-03-22T00:11:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.14257555847569,46.07843137254902,1610612738,0,4,2022-03-22T00:11:46Z,130000,20.0,80.0,1,left,J. Brown 8' turnaround Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,8.28,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-03-22T00:11:43.5Z,1,REGULAR,foul,personal,['1freethrow'],1630598,,,1610612738,0,4,2022-03-22T00:11:49Z,140000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Brown 1 FT),"[1630598, 1627759]",1610612760.0,OKC,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,1626301.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
16,PT11M14.00S,2022-03-22T00:12:03.8Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,0,5,2022-03-22T00:12:03Z,160000,,,0,,J. Brown Free Throw 1 of 1 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2022-03-22T00:12:15.4Z,1,REGULAR,2pt,Jump Shot,[],1628983,82.34231274638634,68.38235294117648,1610612760,0,5,2022-03-22T00:12:19Z,170000,92.0,113.0,1,right,MISS S. Gilgeous-Alexander 14' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,14.6,Missed,,,,,,,,,,,,,,,,,,,
18,PT11M00.00S,2022-03-22T00:12:19.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,5,2022-03-22T00:12:19Z,180000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M54.00S,2022-03-22T00:12:24.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,33.590670170827856,39.950980392156865,1610612738,0,5,2022-03-22T00:12:32Z,190000,50.0,263.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,26.8,Missed,,,,,,,,,,,,,,,,,,,
