actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-03T23:10:43.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T23:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-03T23:10:44.8Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-04-03T23:10:44Z,40000,,,0,,Jump Ball J. McGee vs. I. Roby: Tip to C. Paul,"[101108, 201580, 1629676]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,McGee,201580.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-03T23:11:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,8.229303547963205,53.431372549019606,1610612756,0,0,2022-04-03T23:11:05Z,70000,-17.0,25.0,1,left,MISS J. McGee alley-oop Layup,[201580],1610612756.0,PHX,alley-oop,,,McGee,J. McGee,,,,,3.03,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-04-03T23:11:03.6Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,0,0,2022-04-03T23:11:05Z,80000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-04-03T23:11:07.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630249,89.70105124835742,3.431372549019608,1610612760,0,0,2022-04-03T23:11:15Z,90000,-233.0,44.0,1,right,MISS V. Krejci 3PT,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-04-03T23:11:11.3Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,0,0,2022-04-03T23:11:15Z,100000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2022-04-03T23:11:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,8.360709592641262,38.970588235294116,1610612756,0,2,2022-04-03T23:11:24Z,110000,55.0,26.0,1,left,J. McGee 6' Layup (2 PTS) (L. Shamet 1 AST),"[201580, 1629013]",1610612756.0,PHX,,,,McGee,J. McGee,,,,,6.1,Made,,,,,2.0,L. Shamet,1629013.0,1.0,,,,,,,,,,
13,PT11M04.00S,2022-04-03T23:11:41.5Z,1,REGULAR,turnover,double dribble,[],1630177,,,1610612760,0,2,2022-04-03T23:11:49Z,130000,,,0,,T. Maledon double dribble TURNOVER (1 TO),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,1148.0,1.0,,,,,,,,
14,PT10M54.00S,2022-04-03T23:12:01.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628969,12.565703022339028,64.70588235294117,1610612756,0,2,2022-04-03T23:12:05Z,140000,-74.0,66.0,1,left,MISS M. Bridges 9' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,9.85,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2022-04-03T23:12:03.3Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,0,2,2022-04-03T23:12:05Z,150000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M39.00S,2022-04-03T23:12:16.5Z,1,REGULAR,3pt,Jump Shot,[],1629676,71.96123521681997,14.950980392156863,1610612760,0,2,2022-04-03T23:12:22Z,160000,-175.0,211.0,1,right,MISS I. Roby 27' 3PT,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,27.43,Missed,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2022-04-03T23:12:17.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,2,2022-04-03T23:12:22Z,170000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2022-04-03T23:12:22.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,0,2,2022-04-03T23:12:22Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2022-04-03T23:13:06.9Z,1,REGULAR,2pt,Jump Shot,[],1629013,16.63929040735874,10.294117647058822,1610612756,0,4,2022-04-03T23:13:11Z,190000,199.0,104.0,1,left,L. Shamet 22' pullup Jump Shot (2 PTS) (C. Johnson 1 AST),"[1629013, 1629661]",1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,22.4,Made,,,,,2.0,C. Johnson,1629661.0,1.0,,,,,,,,,,
21,PT10M00.00S,2022-04-03T23:13:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630249,93.11760840998686,59.55882352941176,1610612760,2,4,2022-04-03T23:13:34Z,210000,48.0,12.0,1,right,V. Krejci driving Layup (2 PTS),[1630249],1610612760.0,OKC,driving,,,Krejci,V. Krejci,,,,,4.93,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M00.00S,2022-04-03T23:13:31.7Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612760,2,4,2022-04-03T23:13:39Z,220000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Krejci 1 FT),"[1628969, 1630249]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,202035.0,,1.0,0.0,Krejci,1630249.0,,,,
24,PT10M00.00S,2022-04-03T23:13:52.6Z,1,REGULAR,freethrow,1 of 1,[],1630249,,,1610612760,3,4,2022-04-03T23:13:52Z,240000,,,0,,V. Krejci Free Throw 1 of 1 (3 PTS),[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
25,PT09M48.00S,2022-04-03T23:14:07.8Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612756,3,4,2022-04-03T23:14:11Z,250000,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1629676]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,1.0,,,,,Roby,1629676.0,,
